X0,Y0,Y1,Y2
0.00000,219.125,0,56.375
0.16949,252.576,0,53.728
0.33898,255.000,0,63.620
0.50847,255.000,0,80.458
0.67797,255.000,0,98.761
0.84746,255.000,0,117.302
1.01695,255.000,0,145.851
1.18644,255.000,0,161.603
1.35593,255.000,0,168.143
1.52542,239.919,0,170.438
1.69492,202.367,0,178.648
1.86441,179.894,0,191.403
2.03390,176.735,0,201.840
2.20339,156.324,0,203.179
2.37288,121.077,0,207.326
2.54237,106.128,0,228.103
2.71186,104.798,0,247.929
2.88136,96.838,0,245.275
3.05085,90.736,0,238.843
3.22034,82.104,0,247.500
3.38983,77.143,0,239.209
3.55932,70.702,0,216.721
3.72881,70.516,0,192.102
3.89831,68.500,0,175.000
