X0,Y0,Y1,Y2
0.00000,93.333,158.667,0
0.16949,96.222,173.333,0
0.33898,100.111,209.667,0
0.50847,96.889,231.778,0
0.67797,94.444,225.778,0
0.84746,91.000,239.333,0
1.01695,87.111,243.667,0
1.18644,85.778,238.222,0
1.35593,89.667,205.333,0
1.52542,89.889,169.222,0
1.69492,93.444,145.889,0
1.86441,120.778,122.889,0
2.03390,178.889,106.444,0
2.20339,237.222,101.667,0
2.37288,255.000,100.000,0
2.54237,255.000,96.222,0
2.71186,255.000,87.778,0
2.88136,255.000,85.000,0
3.05085,255.000,95.333,0
3.22034,255.000,95.444,0
3.38983,255.000,94.111,0
3.55932,255.000,100.000,0
