X0,Y0,Y1,Y2
0.00000,211.772,0,80.324
0.16949,236.258,0,79.161
0.33898,232.697,0,80.887
0.50847,234.352,0,78.966
0.67797,246.611,0,79.739
0.84746,239.516,0,81.627
1.01695,212.837,0,83.198
1.18644,194.987,0,87.774
1.35593,176.445,0,92.974
1.52542,139.321,0,106.315
1.69492,104.034,0,117.565
1.86441,72.401,0,147.342
2.03390,55.835,0,174.519
2.20339,44.809,0,176.909
2.37288,37.578,0,169.581
2.54237,37.189,0,181.029
2.71186,40.469,0,184.344
2.88136,42.380,0,180.000
3.05085,55.708,0,173.401
3.22034,63.420,0,171.228
3.38983,63.390,0,165.734
3.55932,50.794,0,165.415
3.72881,51.037,0,151.616
