X0,Y0,Y1,Y2
0.00000,242.500,0,108.500
0.16949,255.000,0,102.560
0.33898,255.000,0,101.685
0.50847,254.037,0,99.426
0.67797,239.403,0,98.432
0.84746,215.967,0,103.366
1.01695,219.056,0,103.259
1.18644,216.755,0,110.156
1.35593,230.831,0,125.745
1.52542,230.500,0,148.833
1.69492,210.860,0,192.107
1.86441,171.704,0,240.107
2.03390,135.667,0,255.000
2.20339,104.652,0,255.000
2.37288,93.634,0,255.000
2.54237,94.833,0,255.000
2.71186,85.632,0,255.000
2.88136,79.885,0,255.000
3.05085,83.500,0,255.000
3.22034,89.051,0,255.000
3.38983,93.848,0,255.000
3.55932,87.667,0,246.519
3.72881,81.938,0,241.276
3.89831,79.444,0,255.000
4.06780,74.759,0,251.648
4.23729,75.957,0,251.924
4.40678,81.095,0,245.064
4.57627,80.000,0,200.500
