 ,Label,Area,BX,BY,Width,Height,Angle,Length
153,c75(a1-c2)-7.tif:0002-0786-0397:2,0.345,67.288,132.373,0.169,1.864,-84.806,1.811
154,c75(a1-c2)-7.tif:0002-0734-0706:2,0.259,119.492,123.729,0.508,1.356,-69.444,1.429
155,c75(a1-c2)-7.tif:0002-0410-0768:2,0.431,129.492,68.644,1.525,1.864,50.711,2.329
156,c75(a1-c2)-7.tif:0002-0423-0492:2,0.373,83.390,70.678,0.000,2.034,-90.000,2.034
157,c75(a1-c2)-7.tif:0002-0536-0427:2,0.517,72.203,89.492,0.339,2.881,82.875,2.845
158,c75(a1-c2)-7.tif:0002-0921-0964:2,0.345,163.220,155.254,0.339,1.864,-78.690,1.839
159,c75(a1-c2)-7.tif:0002-0992-0953:2,0.373,161.525,167.119,0.169,2.034,-85.236,2.046
160,c75(a1-c2)-7.tif:0002-0474-0307:2,0.603,51.695,78.644,0.678,3.390,78.690,3.457
161,c75(a1-c2)-7.tif:0002-0721-1037:2,0.575,175.763,120.678,0.169,3.220,-86.820,3.172
162,c75(a1-c2)-7.tif:0001-0084-0653:1,0.345,110.169,13.559,1.186,1.525,48.814,1.849
163,c75(a1-c2)-7.tif:0001-0159-0923:1,0.316,156.271,26.271,0.508,1.525,-71.565,1.642
164,c75(a1-c2)-7.tif:0001-0044-0932:1,0.287,157.627,6.780,0.847,1.356,-57.995,1.567
165,c75(a1-c2)-7.tif:0001-0223-0333:1,0.632,55.254,36.610,2.373,2.542,46.975,3.512
166,c75(a1-c2)-7.tif:0001-0116-0335:1,0.460,56.610,18.475,0.339,2.542,81.870,2.504
167,c75(a1-c2)-7.tif:0001-0170-0615:1,0.546,103.729,27.458,1.186,2.881,64.799,3.080
168,c75(a1-c2)-7.tif:0001-0090-1105:1,0.517,186.271,14.407,2.203,1.864,-42.510,2.875
169,c75(a1-c2)-7.tif:0001-0345-0983:1,0.373,166.102,57.627,1.186,1.695,55.008,2.098
170,c75(a1-c2)-7.tif:0001-0280-1109:1,0.402,187.966,46.441,0.000,2.203,90.000,2.255
171,c75(a1-c2)-8.tif:0001-0571-0369:1,0.431,62.203,95.763,0.847,2.203,68.962,2.429
172,c75(a1-c2)-8.tif:0001-0630-0379:1,0.431,64.237,105.593,0.169,2.373,-85.914,2.379
173,c75(a1-c2)-8.tif:0001-0634-0444:1,0.546,75.254,105.932,0.169,3.051,-86.820,3.047
174,c75(a1-c2)-8.tif:0001-0903-0228:1,0.287,38.136,152.712,1.186,0.847,35.538,1.444
175,c75(a1-c2)-8.tif:0001-0932-0205:1,0.402,34.237,157.119,1.186,1.864,57.529,2.224
176,c75(a1-c2)-8.tif:0001-0958-0180:1,0.345,30.169,161.695,0.847,1.525,-60.945,1.818
177,c75(a1-c2)-8.tif:0001-0880-0505:1,0.373,85.254,148.305,0.678,1.864,-70.017,2.033
178,c75(a1-c2)-8.tif:0001-0056-0704:1,0.402,118.644,8.644,1.356,1.695,51.340,2.166
179,c75(a1-c2)-8.tif:0001-0030-0736:1,0.373,124.746,4.068,0.000,2.034,90.000,2.030
180,c75(a1-c2)-8.tif:0001-0049-0773:1,0.488,130.847,6.949,0.508,2.712,79.380,2.744
181,c75(a1-c2)-8.tif:0001-0052-0729:1,0.230,123.559,8.305,0.169,1.186,81.870,1.150
182,c75(a1-c2)-8.tif:0001-0472-1173:1,0.402,198.814,78.983,0.169,2.203,-85.601,2.154
183,c75(a1-c2)-8.tif:0001-0430-1163:1,0.431,196.949,71.864,0.508,2.203,74.055,2.325
184,c75(a1-c2)-8.tif:0001-0207-0455:1,0.373,76.949,34.068,0.508,2.034,75.964,2.079
