 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,c48(a1-6b)-1.tif:0002-0137-0690:2,0.546,116.441,21.864,1.017,2.881,70.560,3.002
2,c48(a1-6b)-1.tif:0002-0203-0494:2,0.287,83.729,33.729,0.000,1.525,-90.000,1.469
3,c48(a1-6b)-1.tif:0002-0232-0494:2,0.345,83.559,38.475,0.508,1.695,-73.301,1.787
4,c48(a1-6b)-1.tif:0002-0247-0681:2,0.402,115.424,40.847,0.169,2.203,94.086,2.271
5,c48(a1-6b)-1.tif:0002-0101-0718:2,0.632,120.508,15.932,2.542,2.542,43.025,3.516
6,c48(a1-6b)-1.tif:0002-0099-0875:2,0.488,147.627,15.763,1.356,2.203,58.392,2.635
7,c48(a1-6b)-1.tif:0002-0058-0908:2,0.488,153.051,8.814,1.695,2.203,50.194,2.735
8,c48(a1-6b)-1.tif:0002-0259-1239:2,0.373,209.153,43.559,1.864,0.847,30.964,2.021
9,c48(a1-6b)-1.tif:0002-0235-1266:2,0.287,214.068,39.322,1.186,1.017,36.870,1.606
10,c48(a1-6b)-1.tif:0002-0254-1333:2,0.345,225.254,42.542,1.525,1.186,37.875,1.944
11,c48(a1-6b)-1.tif:0002-0280-1005:2,0.230,169.831,47.288,1.017,0.339,15.945,1.144
12,c48(a1-6b)-10.tif:0002-0220-0537:2,0.402,90.339,36.441,1.525,1.695,48.013,2.218
13,c48(a1-6b)-10.tif:0002-0190-0585:2,0.431,98.814,31.186,0.847,2.203,-111.038,2.361
14,c48(a1-6b)-10.tif:0002-0302-0393:2,0.287,65.932,50.847,1.356,0.847,-32.005,1.556
15,c48(a1-6b)-10.tif:0002-0319-0445:2,0.373,74.407,53.729,2.034,0.678,14.036,2.037
16,c48(a1-6b)-10.tif:0002-0445-0483:2,0.431,81.186,74.407,1.356,2.034,57.529,2.327
17,c48(a1-6b)-10.tif:0002-0478-0463:2,0.402,77.966,80.000,1.017,2.034,67.380,2.237
18,c48(a1-6b)-10.tif:0002-0728-0179:2,0.316,29.492,123.220,1.695,0.508,16.699,1.747
19,c48(a1-6b)-10.tif:0002-0102-0428:2,0.201,72.203,16.949,0.678,0.847,51.340,1.085
20,c48(a1-6b)-10.tif:0002-0112-0421:2,0.172,71.186,18.644,0.508,0.847,59.036,0.917
21,c48(a1-6b)-10.tif:0002-0143-0308:2,0.460,51.695,23.051,1.017,2.373,70.346,2.549
22,c48(a1-6b)-10.tif:0002-0127-0321:2,0.287,54.068,20.847,0.678,1.356,63.435,1.516
23,c48(a1-6b)-10.tif:0002-0021-0105:2,0.287,17.288,3.051,1.186,1.017,-40.601,1.499
24,c48(a1-6b)-10.tif:0002-0067-0226:2,0.230,37.797,11.186,1.186,0.339,-15.945,1.153
25,c48(a1-6b)-10.tif:0002-0032-0398:2,0.259,66.949,4.915,1.017,1.017,39.806,1.318
26,c48(a1-6b)-10.tif:0002-0554-0824:2,0.345,139.661,93.051,0.169,1.864,-84.806,1.872
27,c48(a1-6b)-10.tif:0002-0647-0625:2,0.431,105.593,108.644,0.847,2.203,68.962,2.361
28,c48(a1-6b)-10.tif:0002-0686-0458:2,0.287,77.288,115.593,0.678,1.525,63.435,1.592
29,c48(a1-6b)-10.tif:0002-0721-0468:2,0.287,78.644,121.864,1.356,0.847,29.745,1.482
30,c48(a1-6b)-10.tif:0002-0913-0785:2,0.345,132.881,153.898,0.339,1.864,-79.695,1.895
31,c48(a1-6b)-10.tif:0002-0841-0869:2,0.316,146.780,141.864,1.186,1.356,45.000,1.682
32,c48(a1-6b)-10.tif:0002-0719-1006:2,0.345,169.661,121.864,1.864,0.169,5.194,1.872
33,c48(a1-6b)-10.tif:0002-0725-1021:2,0.345,172.542,122.203,1.017,1.525,-56.310,1.833
34,c48(a1-6b)-10.tif:0002-0517-1175:2,0.287,198.644,87.119,1.186,1.017,-35.538,1.509
35,c48(a1-6b)-2.tif:0001-0188-0081:1,0.603,13.051,30.339,1.356,3.051,66.038,3.339
36,c48(a1-6b)-2.tif:0001-0224-0051:1,0.373,8.475,37.119,0.508,1.864,74.745,2.002
37,c48(a1-6b)-2.tif:0001-0426-0300:1,0.517,50.000,71.186,1.864,2.203,49.764,2.966
38,c48(a1-6b)-2.tif:0001-0411-0328:1,0.402,55.424,68.644,0.339,2.203,-98.746,2.285
39,c48(a1-6b)-2.tif:0001-0352-0351:1,0.373,58.814,58.983,1.525,1.356,41.634,1.999
40,c48(a1-6b)-2.tif:0001-0321-0355:1,0.287,59.831,53.898,0.847,1.186,54.462,1.473
41,c48(a1-6b)-2.tif:0001-0321-0331:1,0.345,55.763,53.559,0.678,1.864,70.017,1.931
42,c48(a1-6b)-2.tif:0001-0348-0311:1,0.316,52.034,58.475,1.356,1.017,-36.870,1.695
43,c48(a1-6b)-2.tif:0001-0188-0817:1,0.259,137.797,31.695,1.356,0.339,-14.036,1.398
44,c48(a1-6b)-2.tif:0001-0218-0806:1,0.402,136.102,36.102,1.186,1.864,53.973,2.194
45,c48(a1-6b)-2.tif:0001-0203-0897:1,0.345,151.356,33.898,1.525,1.186,37.875,1.924
46,c48(a1-6b)-2.tif:0001-0067-0737:1,0.345,124.237,10.847,1.525,1.017,33.690,1.881
47,c48(a1-6b)-2.tif:0001-0066-0628:1,0.488,105.593,10.339,1.864,1.864,-45.000,2.638
48,c48(a1-6b)-2.tif:0001-0351-0650:1,0.546,109.322,58.305,1.864,2.373,51.843,3.053
49,c48(a1-6b)-2.tif:0001-0397-0881:1,0.661,148.814,65.593,1.017,3.559,74.055,3.647
50,c48(a1-6b)-2.tif:0001-0364-0889:1,0.488,150.508,60.508,0.508,2.542,82.875,2.638
51,c48(a1-6b)-2.tif:0001-0919-0979:1,0.747,164.237,154.576,3.559,2.373,33.690,4.231
52,c48(a1-6b)-2.tif:0001-0667-1183:1,0.517,199.492,112.203,2.203,1.695,-35.538,2.825
53,c48(a1-6b)-2.tif:0001-0085-1018:1,0.431,171.864,13.559,1.525,1.864,51.340,2.329
54,c48(a1-6b)-3.tif:0002-0076-0444:2,0.402,74.915,12.034,0.847,1.864,-67.380,2.123
55,c48(a1-6b)-3.tif:0002-0532-1240:2,0.546,209.153,89.153,2.203,2.034,42.709,3.040
56,c48(a1-6b)-3.tif:0002-0493-0965:2,0.402,162.712,83.051,1.864,1.186,28.610,2.132
57,c48(a1-6b)-3.tif:0002-0503-0962:2,0.259,162.373,85.254,1.356,0.169,7.125,1.361
58,c48(a1-6b)-3.tif:0002-0718-0804:2,0.345,135.593,121.356,1.525,0.847,33.690,1.822
59,c48(a1-6b)-3.tif:0002-0912-1023:2,0.488,172.542,153.729,1.864,1.864,45.000,2.638
60,c48(a1-6b)-3.tif:0002-0669-0643:2,0.287,108.983,112.712,0.000,1.525,-90.000,1.469
61,c48(a1-6b)-3.tif:0002-0693-0645:2,0.345,109.153,116.610,0.508,1.695,-68.199,1.787
62,c48(a1-6b)-3.tif:0002-0657-0984:2,0.402,165.763,111.017,2.203,0.847,17.103,2.288
63,c48(a1-6b)-3.tif:0002-0035-1082:2,0.460,182.712,4.915,1.525,2.034,56.310,2.509
64,c48(a1-6b)-3.tif:0002-0135-0847:2,0.316,142.881,22.542,1.525,0.847,29.055,1.769
65,c48(a1-6b)-3.tif:0002-0246-0839:2,0.575,142.203,40.169,0.000,3.220,-90.000,3.277
66,c48(a1-6b)-3.tif:0002-0325-0051:2,0.460,7.458,55.085,2.542,0.000,0.000,2.599
67,c48(a1-6b)-4.tif:0002-0255-0818:2,0.517,137.627,42.373,2.034,1.864,45.000,2.798
68,c48(a1-6b)-4.tif:0002-0223-0862:2,0.373,145.593,37.119,1.186,1.525,51.340,2.012
69,c48(a1-6b)-4.tif:0002-0066-0972:2,0.287,164.576,10.508,0.508,1.356,63.435,1.469
70,c48(a1-6b)-4.tif:0002-0192-1135:2,0.373,191.695,31.864,1.356,1.525,45.000,1.999
71,c48(a1-6b)-4.tif:0002-0399-0934:2,0.402,158.136,66.610,0.508,2.203,-72.897,2.220
72,c48(a1-6b)-4.tif:0002-0876-0582:2,0.431,97.797,147.797,1.864,1.525,42.274,2.402
73,c48(a1-6b)-4.tif:0002-0222-0512:2,0.804,86.780,35.424,0.169,4.576,87.955,4.638
74,c48(a1-6b)-4.tif:0002-0149-0409:2,0.460,68.475,24.407,1.864,1.695,45.000,2.478
75,c48(a1-6b)-4.tif:0002-0185-0379:2,0.460,63.390,30.508,1.864,1.695,45.000,2.478
76,c48(a1-6b)-4.tif:0002-0165-0311:2,0.402,52.034,27.119,1.356,1.864,-51.340,2.260
77,c48(a1-6b)-4.tif:0002-0148-0287:2,0.345,48.475,24.237,0.508,1.864,-79.695,1.864
