 ;Label;Area;BX;BY;Width;Height;Angle;Length
165;ms510(a1-c5)-5.tif:0003-0376-0636:3;0.718;106.441;62.203;2.712;3.051;-50.194;4.026
166;ms510(a1-c5)-5.tif:0003-0242-0904:3;0.345;152.712;40.169;1.017;1.695;-60.945;1.861
167;ms510(a1-c5)-5.tif:0003-0351-0269:3;0.345;45.085;58.814;1.017;1.525;-56.310;1.788
168;ms510(a1-c5)-5.tif:0003-0273-0143:3;0.488;23.390;45.254;1.864;2.034;-47.490;2.697
169;ms510(a1-c5)-5.tif:0003-0299-0154:3;0.431;25.424;49.831;1.525;1.864;-50.711;2.356
170;ms510(a1-c5)-5.tif:0003-0257-0413:3;0.402;69.322;42.712;1.356;1.695;55.008;2.119
171;ms510(a1-c5)-5.tif:0003-0462-0416:3;0.373;69.831;77.627;1.525;1.356;45.000;1.978
172;ms510(a1-c5)-5.tif:0003-0626-0435:3;0.603;73.220;104.407;1.017;3.390;-73.301;3.458
173;ms510(a1-c5)-5.tif:0003-0651-0451:3;0.316;75.932;109.661;1.017;1.356;-53.130;1.695
174;ms510(a1-c5)-5.tif:0003-0576-0479:3;0.546;80.508;96.271;1.356;2.712;-63.435;3.032
175;ms510(a1-c5)-5.tif:0003-0608-0887:3;0.632;150.169;101.356;0.339;3.559;95.440;3.575
176;ms510(a1-c5)-5.tif:0003-0658-0925:3;0.373;156.610;110.508;0.508;2.034;104.036;2.096
177;ms510(a1-c5)-5.tif:0003-0772-0779:3;0.891;131.695;128.305;0.847;5.085;-80.538;5.071
178;ms510(a1-c5)-5.tif:0003-0950-0994:3;0.402;167.797;160.169;1.356;1.695;-51.340;2.119
179;ms510(a1-c5)-5.tif:0003-0882-1008:3;0.402;170.508;148.475;0.847;2.034;-67.380;2.125
180;ms510(a1-c5)-5.tif:0003-0177-1163:3;0.345;196.441;29.492;1.525;1.186;-37.875;1.882
181;ms510(a1-c5)-5.tif:0003-0299-1108:3;0.373;187.288;49.831;1.017;1.695;-59.036;1.977
182;ms510(a1-c5)-5.tif:0003-0462-0140:3;0.575;23.220;76.780;1.017;3.051;-71.565;3.190
183;ms510(a1-c5)-5.tif:0003-0979-0393:3;0.431;66.441;164.746;0.508;2.373;-77.005;2.344
184;ms510(a1-c5)-5.tif:0003-1006-0541:3;0.460;91.525;169.322;0.508;2.542;-78.690;2.494
185;ms510(a1-c5)-5.tif:0003-0959-0505:3;0.460;85.593;161.356;0.169;2.542;93.814;2.544
186;ms510(a1-c5)-5.tif:0003-0892-0573:3;0.460;96.949;150.000;0.339;2.542;93.814;2.555
187;ms510(a1-c5)-5.tif:0003-0437-0913:3;0.718;153.559;72.542;2.373;3.220;-53.616;4.000
188;ms510(a1-c5)-5.tif:0003-0453-1028:3;0.373;173.390;76.441;1.864;0.847;-26.565;1.971
189;ms510(a1-c5)-5.tif:0003-0448-1035:3;0.230;175.085;75.593;0.847;0.847;-45.000;1.198
190;ms510(a1-c5)-5.tif:0003-0198-0878:3;0.402;148.475;32.542;0.678;2.034;-71.565;2.144
191;ms510(a1-c5)-5.tif:0003-0201-0710:3;0.345;120.339;33.220;0.000;1.864;-90.000;1.864
192;ms510(a1-c5)-5.tif:0003-0172-0700:3;0.603;118.136;27.458;1.017;3.390;-72.474;3.434
193;ms510(a1-c5)-5.tif:0003-0161-0653:3;0.488;109.492;26.949;2.542;0.847;18.435;2.680
194;ms510(a1-c5)-5.tif:0003-0008-0126:3;0.345;21.017;0.508;0.847;1.695;-63.435;1.820
195;ms510(a1-c5)-6.tif:0001-0174-0934:1;0.460;157.458;28.644;1.864;1.695;-42.274;2.520
196;ms510(a1-c5)-6.tif:0001-0199-0955:1;0.345;161.186;33.051;1.356;1.356;-41.186;1.798
197;ms510(a1-c5)-6.tif:0001-0179-0909:1;0.345;153.390;29.831;1.525;1.186;-37.875;1.933
198;ms510(a1-c5)-6.tif:0001-0415-0941:1;0.603;158.983;68.814;1.186;3.220;-72.474;3.404
199;ms510(a1-c5)-6.tif:0001-0834-0659:1;0.517;111.525;140.000;0.508;2.881;79.992;2.926
200;ms510(a1-c5)-6.tif:0001-0868-0665:1;0.517;112.373;145.763;0.847;2.881;107.354;2.922
201;ms510(a1-c5)-6.tif:0001-0786-0426:1;0.488;71.356;132.203;1.864;2.034;-47.490;2.703
202;ms510(a1-c5)-6.tif:0001-0659-0278:1;0.517;46.780;110.339;0.847;2.712;107.354;2.817
203;ms510(a1-c5)-6.tif:0001-0120-0283:1;0.431;47.288;19.322;1.356;2.034;-56.310;2.374
204;ms510(a1-c5)-6.tif:0001-0089-0293:1;0.373;49.322;14.237;0.847;1.864;-63.435;1.971
205;ms510(a1-c5)-6.tif:0001-0132-0583:1;0.402;98.644;21.356;0.508;2.203;-75.964;2.179
206;ms510(a1-c5)-6.tif:0001-0023-0381:1;0.259;64.407;3.220;0.339;1.356;-74.055;1.316
207;ms510(a1-c5)-6.tif:0001-0631-0255:1;0.402;42.373;106.271;1.695;1.525;-45.000;2.161
208;ms510(a1-c5)-6.tif:0001-0688-0144:1;0.345;23.729;116.102;1.356;1.186;-41.186;1.802
209;ms510(a1-c5)-6.tif:0001-0294-0593:1;0.488;100.000;48.644;1.186;2.542;-64.983;2.729
210;ms510(a1-c5)-6.tif:0001-0325-0614:1;0.460;103.390;54.068;1.525;2.034;-53.130;2.475
211;ms510(a1-c5)-6.tif:0001-0230-0641:1;0.517;108.136;37.797;1.186;2.542;-64.983;2.806
212;ms510(a1-c5)-6.tif:0001-0417-0431:1;0.517;72.034;69.661;2.034;2.203;-45.000;2.879
213;ms510(a1-c5)-6.tif:0001-0197-0967:1;0.402;162.881;32.881;2.034;1.186;-30.256;2.239
