 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,c54(a1-b5)-1.tif:0003-0497-0729:3,0.373,122.712,84.068,1.864,0.508,-19.983,2.002
2,c54(a1-b5)-1.tif:0003-0431-1077:3,0.661,181.695,71.525,1.695,3.220,-62.241,3.689
3,c54(a1-b5)-1.tif:0003-0463-1121:3,0.287,190.000,77.797,0.169,1.525,-75.964,1.486
4,c54(a1-b5)-1.tif:0003-0366-1085:3,0.431,183.220,61.186,1.525,1.864,-48.013,2.329
5,c54(a1-b5)-1.tif:0003-0241-1180:3,0.488,199.153,39.831,1.695,2.034,-50.194,2.648
6,c54(a1-b5)-1.tif:0003-0404-1329:3,0.316,224.915,67.797,0.847,1.525,-56.310,1.725
7,c54(a1-b5)-1.tif:0003-0384-1311:3,0.316,221.864,64.407,0.847,1.525,-60.945,1.725
8,c54(a1-b5)-1.tif:0003-0867-0269:3,0.373,45.254,146.102,0.847,1.864,-61.390,2.021
9,c54(a1-b5)-1.tif:0003-0581-0163:3,0.431,27.119,97.458,1.017,2.203,-63.435,2.376
10,c54(a1-b5)-1.tif:0003-0656-0058:3,0.431,9.492,110.169,0.847,2.203,-68.962,2.434
11,c54(a1-b5)-1.tif:0003-0714-0460:3,0.402,77.458,120.169,1.186,1.864,-57.529,2.229
12,c54(a1-b5)-1.tif:0003-0684-0348:3,0.402,58.305,115.254,1.525,1.525,-48.013,2.237
13,c54(a1-b5)-1.tif:0003-0777-0249:3,0.345,41.525,131.186,1.525,1.186,37.875,1.924
14,c54(a1-b5)-1.tif:0003-0997-0355:3,0.287,59.831,168.305,0.847,1.356,57.995,1.570
15,c54(a1-b5)-1.tif:0003-0976-0363:3,0.287,61.186,164.746,0.847,1.356,57.995,1.570
16,c54(a1-b5)-1.tif:0003-0982-0382:3,0.431,63.559,166.441,2.373,0.169,-4.086,2.384
17,c54(a1-b5)-1.tif:0003-0829-0515:3,0.460,86.610,139.661,1.525,1.864,-50.711,2.488
18,c54(a1-b5)-1.tif:0003-0788-0503:3,0.373,85.085,132.542,0.508,2.034,-75.964,2.111
19,c54(a1-b5)-1.tif:0003-0784-0590:3,0.488,99.153,132.034,1.864,1.864,-39.806,2.638
20,c54(a1-b5)-1.tif:0003-0555-0552:3,0.460,93.559,92.881,0.169,2.542,-93.576,2.609
21,c54(a1-b5)-1.tif:0003-0583-0796:3,0.603,134.576,97.288,0.678,3.220,-78.111,3.346
22,c54(a1-b5)-1.tif:0003-0610-0921:3,0.460,155.763,102.203,0.847,2.373,-74.055,2.501
23,c54(a1-b5)-1.tif:0003-0654-0937:3,0.632,157.966,109.322,1.695,3.051,-60.945,3.490
24,c54(a1-b5)-1.tif:0003-0502-0954:3,0.402,161.017,84.407,1.525,1.525,-41.987,2.237
25,c54(a1-b5)-1.tif:0003-0596-0546:3,0.345,92.542,100.169,0.169,1.864,-79.695,1.822
26,c54(a1-b5)-1.tif:0001-0067-1180:1,0.373,199.322,10.678,1.356,1.525,51.340,2.084
27,c54(a1-b5)-1.tif:0001-0057-1203:1,0.517,202.542,9.492,2.881,0.339,-7.125,2.845
28,c54(a1-b5)-1.tif:0001-0053-1123:1,0.575,189.153,7.966,2.542,2.034,-38.660,3.212
29,c54(a1-b5)-1.tif:0001-0081-1150:1,0.259,194.576,13.220,0.847,1.186,-50.194,1.379
30,c54(a1-b5)-1.tif:0001-0104-1154:1,0.373,195.254,16.780,0.847,1.864,-65.556,1.973
31,c54(a1-b5)-1.tif:0001-0069-1093:1,0.460,184.915,10.508,0.847,2.373,-74.055,2.501
32,c54(a1-b5)-1.tif:0001-0098-1096:1,0.230,185.763,16.102,0.000,1.186,90.000,1.130
33,c54(a1-b5)-1.tif:0001-0088-1042:1,0.402,176.271,14.068,0.847,1.864,-67.380,2.123
34,c54(a1-b5)-1.tif:0001-0136-0904:1,0.603,152.373,21.695,1.864,2.881,-57.995,3.354
35,c54(a1-b5)-1.tif:0001-0185-0959:1,0.431,161.864,30.508,1.525,1.864,-53.973,2.418
36,c54(a1-b5)-1.tif:0001-0183-0795:1,0.431,133.898,30.339,1.864,1.525,-39.289,2.329
37,c54(a1-b5)-1.tif:0001-0858-0946:1,0.287,160.339,144.746,0.169,1.525,96.340,1.598
38,c54(a1-b5)-1.tif:0001-0844-1068:1,0.287,180.847,142.373,0.339,1.525,-77.471,1.508
39,c54(a1-b5)-1.tif:0001-0829-1056:1,0.373,178.136,140.339,1.864,0.339,-10.305,1.951
40,c54(a1-b5)-1.tif:0001-0865-1070:1,0.345,181.017,145.763,0.847,1.695,-63.435,1.921
41,c54(a1-b5)-1.tif:0001-1001-0881:1,0.431,148.644,168.814,1.525,1.864,-50.711,2.329
42,c54(a1-b5)-1.tif:0001-0966-0798:1,0.431,135.085,162.712,0.508,2.203,107.103,2.329
43,c54(a1-b5)-1.tif:0001-0963-0842:1,0.373,141.864,162.712,1.864,1.017,28.610,2.074
44,c54(a1-b5)-1.tif:0001-0946-1043:1,0.402,176.780,159.322,0.169,2.203,85.601,2.271
45,c54(a1-b5)-1.tif:0001-0978-1043:1,0.402,176.780,164.746,0.000,2.203,90.000,2.260
46,c54(a1-b5)-1.tif:0001-1009-1112:1,0.287,187.797,171.017,1.525,0.169,0.000,1.473
47,c54(a1-b5)-1.tif:0001-1000-1242:1,0.287,210.000,168.983,1.186,1.017,40.601,1.520
48,c54(a1-b5)-1.tif:0001-0675-0771:1,0.460,129.661,113.898,2.203,1.017,-23.199,2.478
49,c54(a1-b5)-1.tif:0001-0656-0754:1,0.373,127.627,110.169,0.508,2.034,-75.964,2.111
50,c54(a1-b5)-1.tif:0001-0650-0797:1,0.345,134.237,110.169,1.864,0.000,0.000,1.808
51,c54(a1-b5)-1.tif:0001-0646-0765:1,0.287,128.983,109.322,1.525,0.508,-12.529,1.537
52,c54(a1-b5)-10.tif:0001-0838-1031:1,0.546,173.559,141.186,2.542,1.864,-35.538,3.074
53,c54(a1-b5)-10.tif:0001-0806-0999:1,0.460,168.475,135.763,1.864,1.695,-42.274,2.562
54,c54(a1-b5)-10.tif:0001-0820-0828:1,0.431,140.000,137.966,0.847,2.203,-68.962,2.434
55,c54(a1-b5)-10.tif:0001-0794-0820:1,0.402,138.644,133.559,0.678,2.034,-71.565,2.144
56,c54(a1-b5)-10.tif:0001-0735-0723:1,0.661,121.017,123.729,3.220,1.864,33.690,3.701
57,c54(a1-b5)-10.tif:0001-0714-0742:1,0.373,125.254,120.169,1.017,1.864,59.036,2.074
58,c54(a1-b5)-10.tif:0001-0882-0763:1,0.431,129.153,148.475,0.508,2.203,98.746,2.305
59,c54(a1-b5)-10.tif:0001-0874-0817:1,0.431,138.136,147.119,0.678,2.203,105.945,2.359
60,c54(a1-b5)-10.tif:0001-0996-1132:1,0.259,191.356,168.644,1.186,0.508,14.036,1.323
