 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,pdc29(a1-b1)-1.tif:0001-0549-0731:1,0.833,122.034,91.695,3.898,2.712,33.690,4.795
2,pdc29(a1-b1)-1.tif:0001-0580-1068:1,0.632,180.339,96.780,1.525,3.220,68.199,3.591
3,pdc29(a1-b1)-1.tif:0001-0595-1047:1,0.460,176.441,100.339,2.203,1.017,23.199,2.478
4,pdc29(a1-b1)-1.tif:0001-0519-1042:1,0.488,176.102,86.780,1.186,2.542,60.255,2.779
5,pdc29(a1-b1)-1.tif:0001-0497-1261:1,0.632,212.712,82.881,2.203,2.881,52.595,3.639
6,pdc29(a1-b1)-1.tif:0001-0520-1239:1,0.259,210.000,87.458,0.000,1.356,-90.000,1.356
7,pdc29(a1-b1)-1.tif:0001-0517-0773:1,0.977,128.983,85.932,4.237,3.559,38.928,5.613
8,pdc29(a1-b1)-1.tif:0001-0744-0987:1,0.488,166.102,125.593,2.373,1.186,26.565,2.679
9,pdc29(a1-b1)-1.tif:0001-0736-1013:1,0.259,171.017,124.576,1.356,0.508,20.556,1.429
10,pdc29(a1-b1)-1.tif:0001-0839-0857:1,0.373,144.576,141.525,1.525,1.356,41.634,2.084
11,pdc29(a1-b1)-1.tif:0001-0111-0566:1,0.402,95.593,17.797,0.847,2.034,71.565,2.182
12,pdc29(a1-b1)-1.tif:0001-0369-1004:1,0.575,169.322,61.356,1.864,2.542,56.310,3.166
13,pdc29(a1-b1)-1.tif:0001-0389-0988:1,0.460,166.610,65.085,1.695,1.864,47.726,2.478
14,pdc29(a1-b1)-1.tif:0001-0222-0966:1,0.546,162.712,36.610,2.034,2.203,49.399,3.040
15,pdc29(a1-b1)-1.tif:0001-0278-0938:1,0.575,157.797,46.271,2.542,1.864,33.690,3.166
16,pdc29(a1-b1)-1.tif:0001-0362-0305:1,0.431,50.678,61.017,2.203,0.847,-17.103,2.394
17,pdc29(a1-b1)-1.tif:0001-0421-0435:1,0.460,73.051,70.339,1.525,2.203,55.305,2.601
18,pdc29(a1-b1)-1.tif:0001-0448-0416:1,0.488,69.661,75.085,1.864,1.864,47.490,2.638
19,pdc29(a1-b1)-1.tif:0001-0897-0807:1,0.517,135.424,151.695,2.712,0.847,17.354,2.859
20,pdc29(a1-b1)-1.tif:0001-0569-0677:1,0.345,114.407,95.593,0.678,1.864,70.017,1.931
21,pdc29(a1-b1)-1.tif:0001-0612-0619:1,0.517,103.898,102.712,2.034,2.034,45.000,2.876
22,pdc29(a1-b1)-1.tif:0001-0589-0639:1,0.431,107.458,99.153,1.864,1.525,38.660,2.329
23,pdc29(a1-b1)-1.tif:0001-0616-1073:1,0.546,180.508,104.068,2.881,0.847,15.524,3.042
24,pdc29(a1-b1)-1.tif:0001-0115-1076:1,0.460,181.186,19.492,2.542,0.169,3.576,2.601
25,pdc29(a1-b1)-1.tif:0001-0145-0747:1,0.460,126.441,23.390,0.339,2.542,-81.870,2.509
26,pdc29(a1-b1)-1.tif:0001-0070-0958:1,0.402,162.373,10.847,0.169,2.203,90.000,2.263
27,pdc29(a1-b1)-1.tif:0001-0045-1022:1,0.287,173.220,6.949,0.169,1.525,-90.000,1.586
28,pdc29(a1-b1)-2.tif:0001-0350-0885:1,0.488,149.322,58.136,1.356,2.373,60.255,2.733
29,pdc29(a1-b1)-2.tif:0001-0322-0918:1,0.689,154.068,53.390,3.051,2.373,37.875,3.865
30,pdc29(a1-b1)-2.tif:0001-0877-0618:1,0.603,103.559,147.627,2.542,2.203,40.914,3.371
31,pdc29(a1-b1)-2.tif:0001-0864-0638:1,0.460,107.288,145.593,1.864,1.695,45.000,2.478
32,pdc29(a1-b1)-2.tif:0001-0840-0672:1,0.431,113.051,141.695,1.864,1.356,36.027,2.351
33,pdc29(a1-b1)-2.tif:0001-0674-0671:1,0.373,112.881,113.729,1.695,1.186,34.992,2.102
34,pdc29(a1-b1)-2.tif:0001-0671-0690:1,0.345,116.102,113.729,1.864,0.000,0.000,1.921
35,pdc29(a1-b1)-2.tif:0001-0651-0971:1,0.575,163.390,109.492,2.542,1.864,36.254,3.232
36,pdc29(a1-b1)-2.tif:0001-0597-1031:1,0.431,173.898,100.508,1.864,1.356,36.027,2.351
37,pdc29(a1-b1)-2.tif:0001-0366-0599:1,0.575,101.356,60.508,0.508,3.220,83.991,3.196
38,pdc29(a1-b1)-2.tif:0001-0339-0608:1,0.575,101.864,56.441,2.373,2.203,42.879,3.200
39,pdc29(a1-b1)-2.tif:0001-0287-0376:1,0.402,62.712,48.136,2.034,1.017,26.565,2.274
40,pdc29(a1-b1)-2.tif:0001-0299-0352:1,0.431,58.814,50.000,1.864,1.356,33.690,2.351
41,pdc29(a1-b1)-2.tif:0001-0039-0181:1,0.575,29.153,6.441,3.220,0.339,6.009,3.294
42,pdc29(a1-b1)-2.tif:0001-0027-0213:1,0.517,34.746,4.237,2.881,0.847,19.440,2.966
43,pdc29(a1-b1)-2.tif:0001-0133-0158:1,0.345,26.271,21.864,1.186,1.525,52.125,1.924
44,pdc29(a1-b1)-2.tif:0001-0122-0194:1,0.402,32.034,20.339,1.864,0.847,22.620,2.123
45,pdc29(a1-b1)-2.tif:0001-0838-0261:1,0.517,43.220,141.186,2.203,1.864,40.236,2.881
46,pdc29(a1-b1)-2.tif:0001-0820-0285:1,0.488,47.288,138.136,2.034,1.695,39.806,2.648
47,pdc29(a1-b1)-2.tif:0001-0478-1246:1,0.402,210.678,80.169,1.186,1.864,57.529,2.194
48,pdc29(a1-b1)-2.tif:0001-0497-1230:1,0.575,207.627,83.051,1.864,2.542,53.746,3.232
49,pdc29(a1-b1)-2.tif:0001-0469-1333:1,0.517,224.576,79.153,2.712,0.847,17.354,2.859
