 ,Label,Area,BX,BY,Width,Height,Angle,Length
186,pdc40(a1-b1)-5.tif:0001-0176-0148:1,0.488,23.898,29.322,2.373,1.186,-26.565,2.679
187,pdc40(a1-b1)-5.tif:0001-0115-0250:1,0.460,41.695,18.644,1.525,1.864,-50.711,2.488
188,pdc40(a1-b1)-5.tif:0001-0132-0250:1,0.546,41.695,21.017,1.525,2.712,-63.435,3.084
189,pdc40(a1-b1)-5.tif:0001-0106-0736:1,0.259,124.237,17.627,1.017,0.847,39.806,1.361
190,pdc40(a1-b1)-5.tif:0001-0108-0754:1,0.402,126.949,17.966,1.864,0.847,-24.444,2.123
191,pdc40(a1-b1)-5.tif:0001-0114-0930:1,0.287,157.119,18.983,1.186,0.847,-29.745,1.473
192,pdc40(a1-b1)-5.tif:0001-0520-0884:1,0.373,149.661,87.288,0.508,1.864,-71.565,2.002
193,pdc40(a1-b1)-5.tif:0001-0533-0899:1,0.316,151.864,89.661,1.017,1.356,-53.130,1.695
194,pdc40(a1-b1)-5.tif:0001-0555-0976:1,0.373,164.746,93.390,1.525,1.525,-48.366,2.077
195,pdc40(a1-b1)-5.tif:0001-0544-0950:1,0.316,160.508,91.695,1.186,1.186,-45.000,1.680
196,pdc40(a1-b1)-5.tif:0001-0568-1103:1,0.431,185.763,96.271,2.373,0.169,0.000,2.376
197,pdc40(a1-b1)-5.tif:0001-0606-1034:1,0.345,175.085,101.864,0.339,1.864,-79.695,1.839
198,pdc40(a1-b1)-5.tif:0001-0736-0692:1,0.373,116.441,124.407,1.864,0.847,-18.435,2.077
199,pdc40(a1-b1)-5.tif:0001-0847-1093:1,0.373,185.254,142.542,0.169,2.034,-85.236,2.046
200,pdc40(a1-b1)-5.tif:0001-0737-1225:1,0.345,207.288,124.068,0.678,1.864,-68.199,1.931
201,pdc40(a1-b1)-5.tif:0001-0774-0907:1,0.460,152.881,130.339,1.864,1.695,-42.274,2.562
202,pdc40(a1-b1)-5.tif:0001-0689-0841:1,0.373,141.864,116.102,1.356,1.525,-48.366,1.999
203,pdc40(a1-b1)-5.tif:0001-0675-0835:1,0.345,140.678,114.068,1.695,0.847,-26.565,1.870
204,pdc40(a1-b1)-5.tif:0001-0923-0763:1,0.402,128.814,155.593,1.017,1.864,-61.390,2.173
205,pdc40(a1-b1)-5.tif:0001-0921-0631:1,0.402,105.932,155.763,2.203,0.847,-21.038,2.288
206,pdc40(a1-b1)-5.tif:0001-0898-0855:1,0.431,144.915,151.017,0.169,2.373,-94.086,2.376
207,pdc40(a1-b1)-5.tif:0001-0925-1019:1,0.345,172.203,156.102,1.017,1.525,-56.310,1.787
208,pdc40(a1-b1)-5.tif:0001-0766-0415:1,0.460,69.322,129.322,2.203,1.017,-24.775,2.478
209,pdc40(a1-b1)-5.tif:0001-0772-0523:1,0.402,88.305,130.000,0.847,1.864,-65.556,2.123
210,pdc40(a1-b1)-6.tif:0001-0604-0622:1,0.661,104.068,101.356,2.881,2.203,-37.405,3.706
211,pdc40(a1-b1)-6.tif:0001-0192-0269:1,0.373,45.254,31.695,0.847,1.864,-61.390,2.021
212,pdc40(a1-b1)-6.tif:0001-0158-0256:1,0.402,42.881,25.763,1.017,2.034,-63.435,2.274
213,pdc40(a1-b1)-6.tif:0001-0109-0273:1,0.402,45.424,18.136,1.864,0.847,-28.610,2.123
214,pdc40(a1-b1)-6.tif:0001-0084-0265:1,0.316,44.746,13.559,0.508,1.525,-71.565,1.680
215,pdc40(a1-b1)-6.tif:0001-0220-0533:1,0.603,89.661,35.763,1.356,3.051,-66.038,3.339
216,pdc40(a1-b1)-6.tif:0001-0228-0379:1,0.460,63.559,37.627,1.356,2.203,-56.310,2.539
217,pdc40(a1-b1)-6.tif:0001-0317-0295:1,0.316,49.322,53.390,1.525,0.847,-33.690,1.725
218,pdc40(a1-b1)-6.tif:0001-0689-1129:1,0.287,190.678,116.780,1.525,0.000,0.000,1.582
219,pdc40(a1-b1)-6.tif:0001-0904-0947:1,0.373,159.661,152.881,1.864,0.678,-19.983,2.037
220,pdc40(a1-b1)-6.tif:0001-0894-0936:1,0.373,157.627,151.525,2.034,0.000,0.000,2.034
221,pdc40(a1-b1)-6.tif:0001-0657-0846:1,0.373,142.881,110.508,1.017,1.864,-61.390,2.074
222,pdc40(a1-b1)-6.tif:0001-0671-0752:1,0.287,126.780,113.390,1.356,0.678,-26.565,1.516
223,pdc40(a1-b1)-6.tif:0001-0253-1024:1,0.632,172.034,42.034,3.051,1.864,-31.430,3.605
224,pdc40(a1-b1)-6.tif:0001-0518-0728:1,0.402,122.712,86.949,1.356,1.864,-53.973,2.260
225,pdc40(a1-b1)-6.tif:0001-0514-0693:1,0.488,116.102,87.119,2.712,0.169,-3.576,2.721
226,pdc40(a1-b1)-6.tif:0001-0536-0746:1,0.287,125.932,90.508,1.186,0.847,-35.538,1.447
227,pdc40(a1-b1)-6.tif:0001-0255-0569:1,0.402,95.593,42.542,1.695,1.525,-41.987,2.243
228,pdc40(a1-b1)-6.tif:0001-0265-0593:1,0.373,99.831,44.237,1.525,1.525,-45.000,2.077
229,pdc40(a1-b1)-6.tif:0001-0612-0479:1,0.373,80.339,103.220,1.695,1.186,-34.992,2.037
230,pdc40(a1-b1)-6.tif:0001-0341-0812:1,0.287,137.627,57.119,0.169,1.525,-90.000,1.586
231,pdc40(a1-b1)-6.tif:0001-0388-0713:1,0.402,120.339,64.915,1.186,1.864,-59.744,2.288
232,pdc40(a1-b1)-6.tif:0001-0676-1135:1,0.431,191.356,114.407,2.203,0.508,-8.130,2.305
233,pdc40(a1-b1)-6.tif:0001-0698-1164:1,0.488,195.932,118.305,2.712,0.000,0.000,2.712
234,pdc40(a1-b1)-6.tif:0001-0730-0917:1,0.603,153.898,123.220,3.220,1.186,-21.251,3.399
235,pdc40(a1-b1)-6.tif:0001-0749-1062:1,0.546,178.644,126.271,2.881,1.356,-26.565,3.133
236,pdc40(a1-b1)-6.tif:0001-0639-0849:1,0.345,143.898,107.458,0.169,1.864,-84.806,1.811
237,pdc40(a1-b1)-6.tif:0001-0790-0796:1,0.345,134.068,133.559,1.695,0.847,-30.964,1.921
238,pdc40(a1-b1)-6.tif:0001-0778-0782:1,0.546,131.356,131.186,2.542,1.525,-29.358,2.985
239,pdc40(a1-b1)-6.tif:0001-0755-0981:1,0.402,165.254,127.797,2.203,0.508,-12.995,2.220
240,pdc40(a1-b1)-7.tif:0002-0143-1012:2,0.460,171.186,23.051,0.847,2.542,-74.055,2.609
241,pdc40(a1-b1)-7.tif:0002-0178-0960:2,0.402,162.203,29.322,1.186,1.864,-57.529,2.132
242,pdc40(a1-b1)-7.tif:0002-0283-0893:2,0.345,151.017,47.119,0.847,1.695,59.036,1.921
243,pdc40(a1-b1)-7.tif:0002-0131-0896:2,0.402,151.017,21.525,1.695,1.525,-41.987,2.243
244,pdc40(a1-b1)-7.tif:0002-0108-1043:2,0.345,175.932,18.136,1.695,0.508,-21.801,1.787
245,pdc40(a1-b1)-7.tif:0002-0106-1009:2,0.345,170.847,17.119,0.508,1.695,-73.301,1.787
246,pdc40(a1-b1)-7.tif:0002-0073-1007:2,0.431,170.339,11.356,0.678,2.203,72.897,2.359
247,pdc40(a1-b1)-7.tif:0002-0310-1021:2,0.345,172.373,52.034,1.525,1.186,-37.875,1.924
248,pdc40(a1-b1)-7.tif:0002-0353-0844:2,0.345,142.203,59.492,1.864,0.678,-19.983,1.931
249,pdc40(a1-b1)-7.tif:0002-0581-0847:2,0.373,142.712,98.136,1.864,0.847,-24.444,2.077
250,pdc40(a1-b1)-7.tif:0002-0745-0536:2,0.402,90.339,125.424,1.186,1.864,-59.036,2.132
