 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,ms542(a1-b4)-1.tif:0001-0341-0648:1,0.431,108.814,57.288,2.203,1.186,-30.256,2.426
2,ms542(a1-b4)-1.tif:0001-0349-0629:1,0.373,106.102,58.305,1.017,1.864,61.390,2.074
3,ms542(a1-b4)-1.tif:0001-0528-0315:1,0.402,53.390,88.475,0.169,2.203,81.254,2.159
4,ms542(a1-b4)-1.tif:0001-0648-0633:1,0.316,107.119,109.153,0.339,1.525,78.690,1.618
5,ms542(a1-b4)-1.tif:0001-0655-0619:1,0.230,104.407,111.017,1.186,0.000,0.000,1.243
6,ms542(a1-b4)-1.tif:0001-0658-0607:1,0.373,102.881,110.508,0.169,2.034,94.764,2.037
7,ms542(a1-b4)-1.tif:0001-0759-1246:1,0.603,210.678,127.119,1.017,3.220,72.474,3.323
8,ms542(a1-b4)-1.tif:0001-0959-1180:1,0.488,199.831,161.186,0.508,2.712,79.380,2.749
9,ms542(a1-b4)-1.tif:0001-0847-1149:1,0.460,193.729,143.051,2.203,1.017,-23.199,2.478
10,ms542(a1-b4)-1.tif:0001-0905-0704:1,0.575,118.475,152.034,1.695,2.712,-57.995,3.198
11,ms542(a1-b4)-1.tif:0001-0918-1305:1,0.431,221.017,154.576,0.508,2.203,-77.005,2.329
12,ms542(a1-b4)-1.tif:0001-0828-1026:1,0.575,173.729,138.814,0.339,3.220,83.991,3.294
13,ms542(a1-b4)-1.tif:0001-0865-1019:1,0.431,172.712,145.424,0.169,2.373,-81.870,2.384
14,ms542(a1-b4)-1.tif:0001-0919-1073:1,0.259,181.695,155.254,0.508,1.186,69.444,1.365
15,ms542(a1-b4)-1.tif:0001-0689-0941:1,0.259,159.153,116.271,0.847,1.017,50.194,1.288
16,ms542(a1-b4)-1.tif:0001-0701-1349:1,0.373,227.966,118.136,1.525,1.356,41.634,1.999
17,ms542(a1-b4)-1.tif:0001-0343-1301:1,0.460,219.831,57.119,1.356,2.203,58.392,2.539
18,ms542(a1-b4)-1.tif:0001-0215-0226:1,0.488,37.458,35.424,1.695,2.034,50.194,2.648
19,ms542(a1-b4)-1.tif:0001-0267-0281:1,0.431,46.610,44.915,2.203,0.847,24.775,2.329
20,ms542(a1-b4)-1.tif:0001-0022-0345:1,0.546,57.458,2.712,2.203,2.034,40.601,3.040
21,ms542(a1-b4)-1.tif:0001-0017-0376:1,0.373,62.881,2.542,1.864,0.847,24.444,1.973
22,ms542(a1-b4)-1.tif:0001-0178-0044:1,0.488,6.610,29.322,1.864,1.864,-45.000,2.717
23,ms542(a1-b4)-1.tif:0001-0143-0017:1,0.546,1.525,23.898,2.881,0.847,-15.524,3.074
24,ms542(a1-b4)-1.tif:0001-0122-0016:1,0.488,1.525,20.169,2.542,1.017,-21.801,2.686
25,ms542(a1-b4)-1.tif:0001-0614-0211:1,0.718,34.407,102.712,2.712,2.881,46.736,3.998
26,ms542(a1-b4)-1.tif:0001-0634-0203:1,0.776,33.729,105.424,1.525,4.068,-69.444,4.365
27,ms542(a1-b4)-1.tif:0001-0659-0176:1,0.488,29.492,110.508,0.847,2.542,75.069,2.717
28,ms542(a1-b4)-1.tif:0001-0767-0262:1,0.517,43.559,128.983,1.864,2.203,-47.291,2.966
29,ms542(a1-b4)-1.tif:0001-0602-0511:1,0.517,86.441,100.678,0.339,2.881,-96.710,2.957
30,ms542(a1-b4)-1.tif:0001-0813-0215:1,0.546,35.085,137.119,2.712,1.356,26.565,3.032
31,ms542(a1-b4)-1.tif:0001-0864-0446:1,0.575,75.085,145.085,1.186,2.881,-66.038,3.190
32,ms542(a1-b4)-1.tif:0001-0266-0324:1,0.575,54.407,43.559,1.186,3.051,66.038,3.294
33,ms542(a1-b4)-1.tif:0001-0239-0323:1,0.460,53.898,39.661,1.695,1.864,47.726,2.562
34,ms542(a1-b4)-1.tif:0001-0144-0493:1,0.575,82.203,23.559,2.712,1.864,34.509,3.259
35,ms542(a1-b4)-1.tif:0001-0153-0257:1,0.402,43.051,25.085,1.186,1.864,61.390,2.229
36,ms542(a1-b4)-1.tif:0001-0138-0263:1,0.373,43.729,22.881,1.695,1.017,30.964,1.977
37,ms542(a1-b4)-1.tif:0001-0182-0255:1,0.460,42.373,30.000,1.695,1.864,47.726,2.478
38,ms542(a1-b4)-1.tif:0001-0091-0328:1,0.431,54.576,15.085,2.203,0.678,-17.103,2.359
39,ms542(a1-b4)-1.tif:0001-0048-0078:1,0.345,13.051,7.288,0.508,1.695,-68.199,1.787
40,ms542(a1-b4)-1.tif:0001-0046-0433:1,0.431,72.373,7.288,2.034,1.186,-30.256,2.384
41,ms542(a1-b4)-1.tif:0001-0031-0432:1,0.431,72.034,5.254,2.373,0.169,-4.086,2.376
42,ms542(a1-b4)-1.tif:0001-0250-0513:1,0.776,84.746,42.203,4.407,0.339,4.399,4.420
43,ms542(a1-b4)-1.tif:0001-0256-0472:1,0.718,78.136,42.881,3.898,1.186,17.650,4.005
44,ms542(a1-b4)-10.tif:0001-0420-0305:1,0.661,50.847,69.661,1.864,3.220,63.435,3.742
45,ms542(a1-b4)-10.tif:0001-0382-0338:1,0.402,57.288,63.729,0.169,2.203,94.764,2.159
46,ms542(a1-b4)-10.tif:0001-0367-0686:1,0.517,116.271,60.847,0.000,2.881,-90.000,2.938
47,ms542(a1-b4)-10.tif:0001-0224-1073:1,0.517,181.017,36.949,1.864,2.203,47.490,2.807
48,ms542(a1-b4)-10.tif:0001-0281-0977:1,0.603,164.746,46.271,1.695,2.881,59.534,3.392
49,ms542(a1-b4)-10.tif:0001-0352-0887:1,0.488,149.831,58.475,1.017,2.542,68.199,2.791
50,ms542(a1-b4)-10.tif:0001-0579-0115:1,0.373,19.492,97.119,0.169,2.034,-85.236,2.037
51,ms542(a1-b4)-10.tif:0001-0694-0344:1,0.776,57.119,115.932,2.542,3.559,55.713,4.388
52,ms542(a1-b4)-10.tif:0001-0719-0537:1,0.517,90.339,120.678,1.525,2.542,59.036,2.887
53,ms542(a1-b4)-10.tif:0001-0708-0322:1,0.488,53.898,118.814,1.525,2.373,60.255,2.791
54,ms542(a1-b4)-10.tif:0001-0486-0985:1,0.402,166.441,81.525,1.186,1.864,57.529,2.288
55,ms542(a1-b4)-10.tif:0001-0587-0781:1,0.488,132.373,98.136,0.169,2.712,-86.424,2.721
56,ms542(a1-b4)-10.tif:0001-0784-1077:1,0.575,181.695,131.695,1.864,2.542,51.843,3.142
57,ms542(a1-b4)-10.tif:0001-0837-0981:1,0.431,165.932,140.847,0.678,2.203,-72.897,2.359
58,ms542(a1-b4)-10.tif:0001-0838-0744:1,0.402,125.593,141.186,1.186,1.864,55.008,2.132
59,ms542(a1-b4)-10.tif:0001-0871-0732:1,0.431,123.559,146.610,1.186,2.034,59.744,2.327
60,ms542(a1-b4)-10.tif:0001-0549-0706:1,0.431,119.492,91.864,0.508,2.373,-77.905,2.416
61,ms542(a1-b4)-10.tif:0001-0601-0874:1,0.402,147.627,101.017,1.186,1.864,57.529,2.132
62,ms542(a1-b4)-10.tif:0001-0693-1146:1,0.460,193.559,116.441,1.356,2.203,56.310,2.539
63,ms542(a1-b4)-10.tif:0001-0724-1102:1,0.460,186.271,121.695,1.186,2.203,58.392,2.579
64,ms542(a1-b4)-10.tif:0001-0740-0942:1,0.517,159.322,124.068,0.847,2.712,72.646,2.859
65,ms542(a1-b4)-10.tif:0001-0430-1080:1,0.488,182.712,71.695,0.847,2.542,68.199,2.752
66,ms542(a1-b4)-10.tif:0001-0434-0980:1,0.345,165.424,73.051,1.525,1.017,33.690,1.787
67,ms542(a1-b4)-10.tif:0001-0416-0978:1,0.373,165.763,69.492,0.169,2.034,85.236,2.037
68,ms542(a1-b4)-10.tif:0001-0329-0907:1,0.488,152.542,55.085,2.373,1.356,29.745,2.733
69,ms542(a1-b4)-10.tif:0001-0266-1101:1,0.546,185.763,43.898,1.695,2.542,57.995,3.103
70,ms542(a1-b4)-10.tif:0001-0239-1028:1,0.546,174.237,38.983,0.000,3.051,-90.000,3.051
71,ms542(a1-b4)-10.tif:0001-0183-1090:1,0.517,184.746,29.661,0.169,2.881,-86.634,2.940
72,ms542(a1-b4)-10.tif:0001-0307-1250:1,0.431,211.186,51.186,1.525,1.864,48.013,2.329
73,ms542(a1-b4)-10.tif:0001-0103-0475:1,0.517,79.492,16.441,2.034,2.203,47.291,2.957
74,ms542(a1-b4)-10.tif:0001-0199-0595:1,0.488,100.508,32.542,0.678,2.542,75.069,2.686
75,ms542(a1-b4)-10.tif:0001-0337-0420:1,0.460,71.017,55.932,0.508,2.542,-81.870,2.527
76,ms542(a1-b4)-10.tif:0001-0028-0536:1,0.287,90.847,4.068,0.169,1.525,-82.875,1.473
77,ms542(a1-b4)-10.tif:0001-0596-0159:1,0.431,26.610,100.000,0.847,2.203,68.962,2.434
78,ms542(a1-b4)-10.tif:0001-0956-0183:1,0.373,30.508,161.186,1.186,1.695,59.036,2.037
79,ms542(a1-b4)-2.tif:0001-0368-0780:1,0.517,130.847,62.034,2.712,0.847,17.354,2.841
80,ms542(a1-b4)-2.tif:0001-0358-0825:1,0.603,138.305,60.169,3.220,1.017,17.526,3.377
81,ms542(a1-b4)-2.tif:0001-0319-0861:1,0.431,144.746,54.068,2.373,0.169,4.086,2.379
82,ms542(a1-b4)-2.tif:0001-0315-0841:1,0.345,141.695,53.220,1.864,0.508,-15.255,1.933
83,ms542(a1-b4)-2.tif:0001-0380-0291:1,0.488,48.305,63.559,2.203,1.695,-37.569,2.780
84,ms542(a1-b4)-2.tif:0001-0388-0312:1,0.575,51.356,65.254,3.051,1.186,21.251,3.273
85,ms542(a1-b4)-2.tif:0001-0342-0593:1,0.804,98.644,56.780,3.898,2.542,33.111,4.654
86,ms542(a1-b4)-2.tif:0001-0727-0620:1,0.431,104.237,122.542,1.864,1.356,-36.027,2.305
87,ms542(a1-b4)-2.tif:0001-0748-0740:1,0.862,125.254,124.407,0.339,4.915,93.945,4.927
88,ms542(a1-b4)-2.tif:0001-0802-0735:1,0.718,124.576,133.898,0.169,4.068,92.386,4.071
89,ms542(a1-b4)-2.tif:0001-0099-0117:1,0.402,18.814,16.441,2.203,0.678,-17.103,2.282
90,ms542(a1-b4)-2.tif:0001-0089-0152:1,0.345,25.085,14.576,1.525,1.017,29.055,1.788
91,ms542(a1-b4)-2.tif:0001-0054-0164:1,0.373,26.949,8.644,1.695,1.186,34.992,2.069
92,ms542(a1-b4)-2.tif:0001-0078-0375:1,0.632,61.864,13.220,3.559,0.169,2.862,3.479
93,ms542(a1-b4)-2.tif:0001-0286-0014:1,0.402,1.356,48.136,2.034,0.678,-18.435,2.119
94,ms542(a1-b4)-2.tif:0001-0305-0315:1,0.488,52.034,51.525,2.712,0.339,3.576,2.724
95,ms542(a1-b4)-2.tif:0001-0206-0179:1,0.402,29.661,34.068,1.525,1.695,51.340,2.224
96,ms542(a1-b4)-2.tif:0001-0996-1306:1,0.517,221.017,167.458,0.847,2.881,72.646,2.922
