 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,ms404(a1-3d)-1.tif:0001-0895-0061:2,0.718,8.475,151.017,3.898,1.525,19.983,4.113
2,ms404(a1-3d)-1.tif:0001-0686-0115:2,0.546,17.966,115.932,3.051,0.678,12.529,3.125
3,ms404(a1-3d)-1.tif:0001-0691-0074:2,0.632,11.017,116.271,3.051,1.695,29.055,3.490
4,ms404(a1-3d)-1.tif:0001-0624-0116:2,0.488,18.475,105.424,2.542,0.847,18.435,2.752
5,ms404(a1-3d)-1.tif:0001-0590-0222:2,0.776,35.424,99.661,4.407,0.847,10.886,4.477
6,ms404(a1-3d)-1.tif:0001-0877-0165:2,0.460,26.780,148.644,2.542,0.000,0.000,2.599
7,ms404(a1-3d)-1.tif:0001-0889-0170:2,0.661,27.119,150.169,3.559,1.017,16.699,3.647
8,ms404(a1-3d)-1.tif:0001-0590-0519:2,0.488,86.610,99.661,2.712,0.678,14.036,2.795
9,ms404(a1-3d)-1.tif:0001-0585-0556:2,0.575,92.712,98.644,3.051,1.186,21.251,3.253
10,ms404(a1-3d)-1.tif:0001-0215-0561:2,0.460,94.068,35.932,2.203,1.186,28.301,2.579
11,ms404(a1-3d)-1.tif:0001-0210-0585:2,0.316,98.305,35.593,1.695,0.169,174.289,1.710
12,ms404(a1-3d)-1.tif:0001-0347-1067:2,0.575,179.322,58.475,3.220,0.847,14.744,3.290
13,ms404(a1-3d)-1.tif:0001-0345-1029:2,0.488,173.051,58.305,2.712,0.339,-7.125,2.733
14,ms404(a1-3d)-1.tif:0001-0346-1006:2,0.546,169.153,58.305,2.881,0.678,-13.241,3.015
15,ms404(a1-3d)-1.tif:0001-0078-1136:2,0.603,190.847,13.220,3.390,0.000,0.000,3.390
16,ms404(a1-3d)-1.tif:0001-0613-1240:2,0.460,208.983,103.898,2.542,0.000,0.000,2.486
17,ms404(a1-3d)-1.tif:0001-0617-1273:2,0.460,214.576,104.576,2.542,0.169,-3.814,2.601
18,ms404(a1-3d)-1.tif:0001-0566-1104:2,0.661,185.424,95.254,3.390,1.525,24.228,3.741
19,ms404(a1-3d)-1.tif:0001-0649-1011:2,0.431,170.508,109.322,1.864,1.356,-36.027,2.351
20,ms404(a1-3d)-1.tif:0001-0283-0158:2,0.373,25.763,47.966,2.034,0.169,9.462,2.046
21,ms404(a1-3d)-1.tif:0001-0285-0178:2,0.517,28.814,48.305,2.881,0.000,0.000,2.825
22,ms404(a1-3d)-1.tif:0001-0114-0545:2,0.431,91.356,18.814,2.034,1.186,30.256,2.327
23,ms404(a1-3d)-10.tif:0001-0022-0273:1,0.431,45.254,3.220,2.034,1.186,30.256,2.327
24,ms404(a1-3d)-10.tif:0001-0237-0456:1,0.603,75.763,39.492,3.051,1.525,29.055,3.437
25,ms404(a1-3d)-10.tif:0001-0631-1068:1,0.632,179.322,106.780,3.559,0.508,8.531,3.548
26,ms404(a1-3d)-10.tif:0001-0629-1113:1,0.517,187.288,106.610,2.881,0.169,-3.180,2.940
27,ms404(a1-3d)-10.tif:0001-0661-1073:1,0.460,180.678,112.034,2.542,0.169,-4.086,2.488
28,ms404(a1-3d)-10.tif:0001-0695-1073:1,0.546,180.508,117.119,2.712,1.356,26.565,3.032
29,ms404(a1-3d)-10.tif:0001-0702-1037:1,0.747,173.729,118.475,4.068,1.017,14.036,4.193
30,ms404(a1-3d)-10.tif:0001-0621-1306:1,0.689,219.492,105.254,3.898,0.169,-2.490,3.961
31,ms404(a1-3d)-10.tif:0001-0700-1224:1,0.373,206.441,118.475,2.034,0.339,9.462,2.062
32,ms404(a1-3d)-10.tif:0001-0736-1208:1,0.603,203.220,124.407,3.220,0.678,11.889,3.346
33,ms404(a1-3d)-10.tif:0001-0823-1161:1,0.546,195.424,138.983,2.881,1.017,-19.440,3.002
34,ms404(a1-3d)-10.tif:0001-0874-1327:1,0.603,223.220,147.966,3.390,0.339,-5.711,3.407
35,ms404(a1-3d)-10.tif:0001-0949-1084:1,0.804,181.525,160.508,4.576,0.678,8.427,4.570
36,ms404(a1-3d)-10.tif:0001-0957-1041:1,0.833,174.068,162.203,4.746,0.169,4.086,4.751
37,ms404(a1-3d)-10.tif:0001-0968-0835:1,0.546,141.525,162.542,0.169,3.051,-83.660,3.059
38,ms404(a1-3d)-10.tif:0001-0553-0237:1,0.402,39.322,93.051,1.864,1.356,38.660,2.260
39,ms404(a1-3d)-10.tif:0001-0716-0359:1,0.603,59.153,121.186,3.390,0.508,-11.310,3.437
40,ms404(a1-3d)-10.tif:0001-0782-0327:1,0.632,53.729,132.373,3.559,0.339,-5.194,3.632
41,ms404(a1-3d)-10.tif:0001-0770-0424:1,0.689,70.000,130.169,3.898,0.847,9.866,3.922
42,ms404(a1-3d)-10.tif:0001-0988-0115:1,0.632,17.797,167.458,3.559,0.169,0.000,3.505
43,ms404(a1-3d)-10.tif:0001-0977-0116:1,0.517,18.305,165.254,2.881,0.678,14.036,2.905
44,ms404(a1-3d)-10.tif:0001-0592-0683:1,0.632,114.068,100.169,3.559,0.508,-8.531,3.548
45,ms404(a1-3d)-10.tif:0001-0588-0719:1,0.431,121.017,98.983,1.864,1.525,36.027,2.329
46,ms404(a1-3d)-10.tif:0001-0817-0622:1,0.402,104.407,138.136,2.034,0.847,22.620,2.182
47,ms404(a1-3d)-10.tif:0001-0574-0510:1,0.977,83.729,96.780,5.593,1.017,10.305,5.629
48,ms404(a1-3d)-10.tif:0001-0587-0508:1,0.373,85.085,99.322,2.034,0.339,9.462,2.062
49,ms404(a1-3d)-10.tif:0001-0934-0525:1,0.661,87.288,157.627,3.390,1.356,21.801,3.651
50,ms404(a1-3d)-10.tif:0001-0771-0747:1,0.546,125.085,130.678,3.051,0.169,-3.180,3.053
51,ms404(a1-3d)-10.tif:0002-0088-0905:2,0.287,152.712,14.915,1.525,0.169,0.000,1.586
52,ms404(a1-3d)-10.tif:0002-0084-0939:2,0.546,157.797,13.729,2.881,1.186,22.380,3.042
53,ms404(a1-3d)-10.tif:0002-0121-0786:2,0.402,132.203,20.508,2.203,0.000,0.000,2.147
54,ms404(a1-3d)-10.tif:0002-0121-0768:2,0.373,129.153,20.339,2.034,0.508,14.036,2.111
55,ms404(a1-3d)-10.tif:0002-0150-0771:2,0.460,129.661,24.915,2.203,1.186,28.301,2.579
56,ms404(a1-3d)-10.tif:0002-0155-0780:2,0.546,130.678,26.102,3.051,0.508,9.462,3.103
57,ms404(a1-3d)-10.tif:0002-0205-0664:2,0.402,111.525,34.407,2.034,0.847,22.620,2.226
58,ms404(a1-3d)-10.tif:0002-0208-0619:2,0.460,103.729,35.254,2.542,0.000,0.000,2.486
