 ,Label,Area,BX,BY,Width,Height,Angle,Length
67,ms535(a1-5b)-10.tif:0001-0346-0816:1,0.460,137.458,57.797,1.695,1.864,-50.194,2.562
68,ms535(a1-5b)-10.tif:0001-0334-1065:1,0.402,179.492,56.441,2.203,0.508,14.036,2.194
69,ms535(a1-5b)-10.tif:0001-0332-1093:1,0.661,183.390,56.271,3.729,0.000,0.000,3.729
70,ms535(a1-5b)-10.tif:0001-0723-1196:1,0.488,201.695,121.695,2.034,1.695,-39.806,2.648
71,ms535(a1-5b)-10.tif:0001-0704-1159:1,0.488,195.254,118.983,2.542,0.847,-18.435,2.717
72,ms535(a1-5b)-10.tif:0001-0667-1085:1,0.172,183.559,112.881,0.678,0.508,-36.870,0.883
73,ms535(a1-5b)-10.tif:0001-0948-1159:1,0.402,195.593,160.000,1.695,1.356,38.660,2.171
74,ms535(a1-5b)-10.tif:0001-0936-1187:1,0.431,200.169,158.305,2.203,0.847,19.654,2.394
75,ms535(a1-5b)-10.tif:0001-0824-0920:1,0.546,154.746,138.814,2.542,1.864,33.690,3.074
76,ms535(a1-5b)-10.tif:0001-0810-0950:1,0.431,160.000,136.610,2.034,1.356,33.690,2.444
77,ms535(a1-5b)-10.tif:0001-1000-1131:1,0.373,190.847,168.983,1.695,1.186,-30.964,2.037
78,ms535(a1-5b)-10.tif:0001-0553-1067:1,0.345,180.169,93.220,1.525,1.186,-37.875,1.944
79,ms535(a1-5b)-10.tif:0001-0677-0680:1,0.546,114.576,113.559,1.525,2.542,60.642,3.042
80,ms535(a1-5b)-10.tif:0001-0896-0390:1,0.345,65.763,151.186,0.847,1.525,60.945,1.822
81,ms535(a1-5b)-10.tif:0001-0667-0396:1,0.460,66.780,111.864,0.847,2.373,-66.801,2.539
82,ms535(a1-5b)-10.tif:0001-0053-1186:1,0.373,200.169,8.475,1.695,1.186,34.992,2.102
83,ms535(a1-5b)-10.tif:0001-0495-1290:1,0.431,217.797,83.220,1.695,1.525,41.987,2.318
84,ms535(a1-5b)-10.tif:0001-0476-1308:1,0.460,221.186,79.492,1.017,2.373,66.801,2.582
85,ms535(a1-5b)-10.tif:0001-0202-0907:1,0.546,152.373,34.068,2.881,0.508,-13.241,2.992
86,ms535(a1-5b)-10.tif:0001-0946-0270:1,0.546,45.254,158.983,1.186,2.881,-67.620,3.042
87,ms535(a1-5b)-10.tif:0001-0817-0592:1,0.488,99.831,137.288,1.186,2.373,-63.435,2.628
88,ms535(a1-5b)-11.tif:0003-0580-0462:3,0.632,77.627,96.780,1.525,3.220,-64.654,3.537
89,ms535(a1-5b)-11.tif:0003-0603-0482:3,0.488,80.678,101.356,2.034,1.864,-39.806,2.721
90,ms535(a1-5b)-11.tif:0003-0652-0721:3,0.977,119.661,109.492,5.254,2.034,21.161,5.582
91,ms535(a1-5b)-11.tif:0003-0694-0644:3,0.603,108.475,116.271,1.525,2.881,62.103,3.337
92,ms535(a1-5b)-11.tif:0003-0709-0208:3,0.603,33.729,119.661,3.220,1.017,-18.435,3.323
93,ms535(a1-5b)-11.tif:0003-0725-0248:3,0.575,41.186,121.695,1.864,2.542,-53.746,3.232
94,ms535(a1-5b)-11.tif:0003-0604-0276:3,0.718,45.085,101.356,3.390,2.203,-33.024,4.074
95,ms535(a1-5b)-11.tif:0003-0637-0245:3,1.149,39.322,105.593,4.576,4.915,-47.045,6.636
96,ms535(a1-5b)-11.tif:0003-0583-0239:3,0.517,39.322,98.136,2.542,1.525,-30.964,2.947
97,ms535(a1-5b)-11.tif:0003-0502-0339:3,0.488,56.610,84.237,1.864,1.864,45.000,2.638
98,ms535(a1-5b)-11.tif:0003-0478-0357:3,0.517,60.000,79.661,1.017,2.712,69.444,2.896
99,ms535(a1-5b)-11.tif:0003-0684-0984:3,1.149,164.576,113.559,4.576,4.746,-46.042,6.554
100,ms535(a1-5b)-11.tif:0003-0704-1016:3,0.460,171.356,118.475,1.864,1.864,-45.000,2.557
101,ms535(a1-5b)-11.tif:0003-0478-1145:3,0.402,193.051,80.847,2.203,0.508,-12.995,2.194
102,ms535(a1-5b)-11.tif:0003-0251-0740:3,1.235,122.542,40.678,5.932,3.898,33.311,7.083
103,ms535(a1-5b)-11.tif:0003-0268-0685:3,0.517,115.085,44.407,2.034,2.203,-47.291,2.957
104,ms535(a1-5b)-11.tif:0003-0265-0618:3,0.460,103.559,44.915,2.542,0.000,0.000,2.599
105,ms535(a1-5b)-11.tif:0003-0246-0664:3,0.603,112.034,40.169,1.186,3.220,68.749,3.360
106,ms535(a1-5b)-11.tif:0003-0051-0263:3,0.575,43.220,8.136,2.881,1.186,18.435,3.148
107,ms535(a1-5b)-11.tif:0003-0059-0236:3,0.373,39.153,9.831,1.864,0.508,10.305,1.973
108,ms535(a1-5b)-11.tif:0003-0338-0116:3,0.373,18.814,57.119,1.864,0.339,9.462,1.951
109,ms535(a1-5b)-11.tif:0003-0336-0143:3,0.546,22.712,56.949,3.051,0.169,0.000,3.053
110,ms535(a1-5b)-11.tif:0003-0329-0282:3,0.718,46.949,54.068,1.864,3.559,-60.255,3.995
111,ms535(a1-5b)-11.tif:0003-0620-0110:3,0.747,16.780,104.068,3.729,2.203,-28.610,4.303
112,ms535(a1-5b)-11.tif:0003-0632-0143:3,0.431,23.390,106.441,1.864,1.356,-36.027,2.351
113,ms535(a1-5b)-11.tif:0003-0685-0152:3,0.460,24.746,115.424,2.034,1.525,-36.870,2.577
114,ms535(a1-5b)-11.tif:0003-0672-0133:3,0.287,22.203,113.390,0.847,1.186,-57.995,1.537
115,ms535(a1-5b)-11.tif:0003-0669-0459:3,0.460,76.949,112.542,1.864,1.695,-42.274,2.478
116,ms535(a1-5b)-11.tif:0003-0656-0441:3,0.287,74.237,110.847,1.186,0.847,-40.601,1.447
117,ms535(a1-5b)-11.tif:0003-0634-0759:3,0.575,127.458,106.441,2.542,2.203,40.914,3.285
118,ms535(a1-5b)-11.tif:0003-0940-0416:3,0.575,69.492,158.305,2.203,2.203,45.000,3.196
119,ms535(a1-5b)-11.tif:0003-0998-0900:3,0.488,151.186,168.983,2.712,0.508,10.620,2.749
120,ms535(a1-5b)-11.tif:0003-0997-0872:3,0.517,146.441,168.983,2.881,0.000,0.000,2.825
121,ms535(a1-5b)-11.tif:0003-0961-0918:3,0.575,154.068,162.712,3.220,0.339,6.009,3.182
122,ms535(a1-5b)-11.tif:0003-0260-1227:3,1.005,206.102,42.034,3.898,4.237,46.219,5.755
123,ms535(a1-5b)-12.tif:0003-0260-0536:3,0.632,89.153,43.559,3.390,1.186,-20.225,3.512
124,ms535(a1-5b)-12.tif:0003-0236-0372:3,0.546,62.034,38.983,2.203,2.203,-45.000,2.996
125,ms535(a1-5b)-12.tif:0003-0262-0390:3,0.546,65.085,43.220,2.034,2.373,-49.399,3.061
126,ms535(a1-5b)-12.tif:0003-0362-0283:3,0.316,47.288,60.847,1.525,1.017,-33.690,1.763
127,ms535(a1-5b)-12.tif:0002-0265-0209:2,0.345,34.576,44.915,1.864,0.169,5.194,1.866
128,ms535(a1-5b)-12.tif:0002-0272-0242:2,0.460,39.831,45.763,2.373,0.847,-19.654,2.492
129,ms535(a1-5b)-12.tif:0002-0244-0141:2,0.919,22.203,39.492,3.559,3.898,-47.603,5.279
130,ms535(a1-5b)-12.tif:0002-0220-0122:2,0.316,20.169,36.780,1.186,1.186,-45.000,1.619
131,ms535(a1-5b)-12.tif:0002-0486-0408:2,0.632,68.475,80.678,1.356,3.390,68.199,3.572
132,ms535(a1-5b)-12.tif:0002-0230-0493:2,1.408,80.339,36.610,6.610,4.746,145.305,8.088
133,ms535(a1-5b)-12.tif:0002-0398-0957:2,0.689,160.847,66.102,2.712,2.881,-46.736,3.837
134,ms535(a1-5b)-12.tif:0002-0352-0917:2,0.373,154.576,59.153,1.695,1.186,-34.992,2.069
135,ms535(a1-5b)-12.tif:0002-0367-0933:2,0.287,157.627,61.695,1.186,1.017,-40.601,1.499
136,ms535(a1-5b)-12.tif:0002-0431-1115:2,0.201,188.644,72.712,0.678,0.847,-45.000,1.020
137,ms535(a1-5b)-12.tif:0002-0444-1129:2,0.316,190.678,74.915,1.525,0.678,-23.962,1.669
138,ms535(a1-5b)-12.tif:0002-0729-0885:2,0.373,149.492,122.712,1.017,1.864,63.435,2.009
139,ms535(a1-5b)-12.tif:0002-0727-0785:2,0.488,132.034,122.373,2.203,1.695,37.569,2.780
140,ms535(a1-5b)-12.tif:0002-0722-0810:2,0.689,135.932,121.017,2.881,2.712,-43.264,3.957
141,ms535(a1-5b)-12.tif:0002-0706-0765:2,0.431,128.475,119.322,2.373,0.678,12.995,2.364
142,ms535(a1-5b)-12.tif:0002-0696-0841:2,0.287,141.864,117.627,1.356,0.847,35.538,1.528
143,ms535(a1-5b)-12.tif:0002-0658-0866:2,0.287,146.610,110.847,0.508,1.356,69.444,1.448
144,ms535(a1-5b)-12.tif:0002-0658-1069:2,1.034,179.153,109.322,4.237,4.407,-46.123,5.994
145,ms535(a1-5b)-12.tif:0002-0577-1162:2,0.460,196.780,96.610,0.339,2.542,85.914,2.471
146,ms535(a1-5b)-12.tif:0002-0606-1162:2,0.488,196.780,101.356,0.339,2.712,-82.875,2.733
147,ms535(a1-5b)-12.tif:0001-0897-0158:1,0.833,24.746,150.847,4.068,2.542,32.005,4.753
148,ms535(a1-5b)-12.tif:0001-0948-0247:1,0.575,40.339,160.169,3.051,1.186,18.435,3.244
149,ms535(a1-5b)-12.tif:0001-0996-0326:1,0.402,54.576,167.966,1.356,1.864,-51.340,2.187
150,ms535(a1-5b)-12.tif:0001-0701-0365:1,0.345,61.017,118.305,1.695,1.017,30.964,1.934
151,ms535(a1-5b)-12.tif:0001-0167-0793:1,0.747,132.373,27.627,4.068,1.525,18.435,4.315
152,ms535(a1-5b)-12.tif:0001-0024-1140:1,1.005,190.508,3.051,5.424,2.034,20.556,5.713
153,ms535(a1-5b)-2.tif:0001-0250-1117:1,0.488,188.475,41.356,1.695,2.034,50.194,2.648
