X0,Y0,Y1,Y2
0.00000,255.000,0,131.0000
0.16949,254.711,0,143.6325
0.33898,247.406,0,146.0552
0.50847,253.047,0,155.5385
0.67797,254.527,0,140.6923
0.84746,255.000,0,146.4319
1.01695,255.000,0,157.0592
1.18644,255.000,0,157.1315
1.35593,255.000,0,149.0802
1.52542,255.000,0,151.1302
1.69492,255.000,0,150.7002
1.86441,255.000,0,148.5871
2.03390,255.000,0,151.0296
2.20339,253.111,0,163.4444
2.37288,244.943,0,175.6995
2.54237,216.249,0,193.9349
2.71186,193.037,0,190.0224
2.88136,173.654,0,216.0552
3.05085,150.260,0,214.2130
3.22034,153.597,0,213.9645
3.38983,158.135,0,219.2466
3.55932,160.396,0,236.8757
3.72881,168.979,0,221.5996
3.89831,178.302,0,218.0191
4.06780,182.385,0,201.3314
4.23729,199.158,0,199.1446
4.40678,183.444,0,195.5556
4.57627,165.467,0,188.1775
4.74576,156.011,0,188.0901
4.91525,162.786,0,203.4675
5.08475,171.260,0,214.6686
5.25424,167.920,0,219.3905
5.42373,152.008,0,223.4306
5.59322,139.467,0,216.9231
5.76271,134.999,0,207.6456
5.93220,130.714,0,211.3918
6.10170,121.095,0,200.3728
6.27119,117.335,0,176.0914
6.44068,113.025,0,157.2735
6.61017,115.000,0,158.0000
