3.61	2.213	1.632	2.74	2.858	2.69	2.517	1.898	1.186	1.725	1.978
2.219	3.041	1.41	2.682	3.168	2.189	1.967	1.731	1.596	1.534	2.055
3.138	2.177	1.612	2.517	2.718	2.279	2.643	1.59	1.773	1.089	2.074
2.77	1.55	2.507	2.293	2.941	1.709	2.404	1.921	1.7	1.613	1.369
2.691	2.46	2.876	2.499	1.583	2.095	2.213	2.395	1.37	1.606	2.097
3.508	2.192	2.66	2.963	1.74	2.168	1.951	3.077	1.652	1.54	1.982
3.251	2.921	1.62	2.658	2.016	2.029	2.019	2.747	1.219	1.255	1.945
1.94	1.838	2.308	2.631	2.941	1.52	2.38	2.281	1.694	1.312	1.453
3.068	1.99	1.937	2.141	1.827	3.305	3.179	2.314	2.108	1.838	1.122
2.538	2.66	2.305	2.162	2.019	3.421	2.69	1.606	1.632	1.292	1.888
3.068	3.472	2.271	2.371	2.561	2.095	2.189	1.233	1.784	1.73	1.725
3.328	1.769	2.101	2.502	1.583	2.349	1.967	2.735	2.417	1.453	1.633
2.299	1.769	3.079	1.897	2.74	1.683	1.937	2.334	1.897	1.491	2.342
3.068	1.587	2.054	2.308	2.423	2.349	2.417	1.911	1.928	1.818	2.415
2.77	2.245	2.293	2.054	2.417	1.967	1.937	1.882	1.359	1.255	2.108
2.77	2.856	2.548	2.455	2.271	2.517	1.855	2.144	1.391	1.491	1.426
2.809	2.621	2.921	2.455	2.417	2.189	2.279	3.266	1.299	1.341	1.605
2.102	1.886	2.517	2.308	1.937	1.773	2.177	2.322	1.315	1.292	1.88
3.277	1.14	1.879	2.668	1.802	1.855	2.291	1.622	1.565	1.975	1.491
3.614	1.769	1.951	2.192	2.507	1.823	2.502	2.768	1.773	1.41	1.775
2.963	1.947	2.455	2.668	2.856	1.967	2.74	1.697	1.652	1.459	1.835
3.142	2.972	2.129	2.561	1.841	2.417	2.201	2.419	1.676	1.76	1.824
3.664	1.827	2.213	2.101	1.274	2.676	2.53	2.564	1.55	1.928	1.814
2.409	1.967	2.213	2.517	2.972	3.457	2.514	2.144	1.886	1.461	2.101
2.155	2.019	2.201	2.601	2.029	2.325	1.709	2.308	1.438	1.7	1.784
3.138	1.827	5.268	2.455	2.941	2.659	1.849	1.882	1.76	1.789	1.428
2.129	1.827	3.143	2.305	2.423	3.59	1.731	2.032	1.411	1.759	2.001
2.69	2.279	2.845	2.548	2.919	1.911	1.522	1.029	1.76	2.145	1.915
2.905	2.338	2.248	2.571	2.74	1.461	1.841	1.911	1.694	1.583	1.505
2.423	2.054	3.082	2.271	2.054	2.447	1.949	1.951	0.98	1.45	1.769
2.38	2.095	2.447	2.393	2.548	2.087	1.391	2.43	1.37	2.108	2.051
3.129	1.855	3.082	2.396	2.393	2.3	2.116	2.3	1.76	1.99	1.767
2.239	2.177	2.325	2.631	2.168	3.301	1.47	1.993	1.894	2.065	2.059
3.096	2.192	2.447	2.46	2.282	2.325	1.697	2.826	1.499	1.486	1.994
2.815	1.329	2.762	1.52	3.322	1.302	1.029	2.479	1.47	1.915	1.788
2.972	2.064	2.756	2.737	2.548	2.324	1.754	1.697	2.074	1.28	1.736
2.775	1.941	2.756	2.803	2.305	2.371	1.949	2.179	2.074	2.058	1.835
2.507	1.162	2.399	2.141	1.55	2.177	2.347	1.988	2.26	1.425	2.109
2.051	1.961	1.622	1.937	1.481	2.189	2.37	2.001	2.157	1.54	1.884
2.054	2.293	2.703	2.349	2.201	2.745	1.293	2.485	1.915	1.881	1.922
1.941	1.632	2.293	1.743	2.507	2.141	1.697	1.876	1.784	1.198	1.839
2.46	2.305	2.325	2.305	1.827	2.177	1.285	1.779	1.572	1.644	1.835
2.436	1.632	2.57	2.324	1.827	1.823	1.845	2.116	1.938	1.881	1.74
2.651	2.054	2.381	2.239	2.279	2.101	1.968	1.882	1.496	1.949	1.54
2.745	2.624	2.43	1.99	2.371	2.168	2.114	1.875	2.015	1.824	1.802
1.993	1.967	2.906	2.548	1.967	2.064	1.995	1.762	1.481	1.709	1.881
1.725	2.051	2.065	2.245	2.604	1.855	1.949	1.456	1.915	2.225	1.694
2.465	1.632	2.703	2.604	2.584	1.372	2.271	1.938	1.379	1.709	1.76
1.74	1.386	2.83	2.347	2.404	2.869	1.817	2.633	1.7	1.86	1.81
2.67	1.951	2.465	1.886	2.279	2.177	2.095	1.762	1.354	1.661	1.62
2.849	1.713	3.67	3.419	2.168	2.019	2.525	1.882	2.055	2.815	1.644
2.291	2.129	2.001	1.841	2.523	2.168	1.835	1.829	1.596	1.737	1.88
2.735	2.064	3.225	2.293	2.682	1.459	1.622	1.993	1.975	1.652	1.169
1.941	1.937	1.911	1.947	2.756	1.941	2.123	1.882	2.101	1.274	1.453
2.129	2.621	2.911	3.041	2.905	1.743	1.898	1.973	1.789	1.301	1.415
3.166	3.193	2.921	2.905	1.802	2.338	1.811	1.59	2.15	1.233	1.802
2.016	2.101	2.417	2.584	1.769	1.941	2.001	2.541	1.483	1.7	1.456
2.507	2.489	2.703	2.46	1.52	1.91	2.3	2.069	1.311	2.234	1.645
2.213	2.279	3.096	2.756	1.644	2.12	1.875	2.399	2.121	1.849	2.092
2.436	2.415	2.058	2.293	2.548	2.347	2.903	1.493	1.534	1.915	1.62
2.759	2.548	2.3	2.279	1.481	1.78	1.841	1.697	1.661	2.142	1.652
2.905	2.201	1.692	2.396	2.177	1.841	2.375	1.522	1.152	1.54	1.425
2.561	2.499	1.849	2.168	2.101	1.74	1.754	2.229	0.847	2.225	1.856
2.67	2.338	2.051	2.101	2.054	1.827	2.408	1.731	0.89	1.479	1.644
3.322	2.054	2.001	2.347	1.743	1.869	1.606	2.447	1.438	1.788	1.261
2.745	2.189	2.541	1.886	2.393	1.937	2.334	2.281	1.378	1.773	1.743
2.561	2.759	2.615	1.879	1.632	2.08	1.841	2.271	1.315	1.789	1.71
3.445	1.802	2.783	2.393	1.769	1.773	2.537	2.229	2.052	2.609	1.824
3.227	1.99	2.281	2.239	2.624	1.947	2.548	1.973	1.096	1.453	1.595
2.956	2.417	3.175	2.745	1.99	1.74	2.584	2.184	1.351	2.144	1.691
3.058	2.831	2.439	2.965	2.51	2.054	2.499	2.485	1.046	2.021	1.632
2.019	2.439	2.709	2.08	2.436	2.338	3.034	2.917	1.255	2.192	1.869
