X0,Y0,Y1,Y2
0.00000,67.556,113.4444,0
0.16949,63.518,106.5022,0
0.33898,65.560,110.5067,0
0.50847,75.171,110.7044,0
0.67797,84.329,93.5511,0
0.84746,91.000,65.1667,0
1.01695,94.449,48.6800,0
1.18644,101.093,44.1711,0
1.35593,123.960,42.2800,0
1.52542,143.736,44.6022,0
1.69492,150.000,45.5556,0
1.86441,153.973,41.0000,0
2.03390,143.027,37.2933,0
2.20339,165.080,39.9600,0
2.37288,197.827,41.4133,0
2.54237,228.611,43.5000,0
2.71186,239.009,40.6533,0
2.88136,189.280,37.8067,0
3.05085,152.178,36.3422,0
3.22034,143.904,36.1911,0
3.38983,125.000,36.3333,0
