 ;Label;Area;Angle;Circ.;AR;Round;Solidity;Length;SMI32
1;ms584(a1-b4)-1.tif:0002-0146-1211:2;0.488;82.875;0.856;0.000;0.000;NaN;2.677;1
2;ms584(a1-b4)-1.tif:0002-0187-1149:2;0.402;38.660;1.000;0.000;0.000;NaN;2.194;1
3;ms584(a1-b4)-1.tif:0002-0615-1101:2;0.259;-26.565;1.000;0.000;0.000;NaN;1.440;0
4;ms584(a1-b4)-1.tif:0002-0710-1119:2;0.345;56.310;1.000;0.000;0.000;NaN;1.944;1
5;ms584(a1-b4)-1.tif:0002-0702-1137:2;0.460;28.301;0.942;0.000;0.000;NaN;2.476;1
6;ms584(a1-b4)-1.tif:0002-0712-1022:2;0.402;17.103;0.965;0.000;0.000;NaN;2.288;1
7;ms584(a1-b4)-1.tif:0002-0722-0282:2;0.603;36.870;0.630;0.000;0.000;NaN;3.469;1
8;ms584(a1-b4)-1.tif:0002-0558-0211:2;0.517;23.629;0.742;0.000;0.000;NaN;2.960;1
9;ms584(a1-b4)-10.tif:0002-0130-0291:2;1.551;18.435;0.239;0.000;0.000;NaN;9.031;1
10;ms584(a1-b4)-10.tif:0002-0392-0328:2;0.862;50.440;0.444;0.000;0.000;NaN;4.937;1
11;ms584(a1-b4)-10.tif:0002-0338-0549:2;0.776;34.287;0.494;0.000;0.000;NaN;4.443;1
12;ms584(a1-b4)-10.tif:0002-0391-0838:2;1.092;-14.421;0.356;0.000;0.000;NaN;6.207;1
13;ms584(a1-b4)-10.tif:0002-0404-0849:2;0.977;-5.194;0.389;0.000;0.000;NaN;5.616;1
14;ms584(a1-b4)-10.tif:0002-0550-0612:2;1.178;19.359;0.330;0.000;0.000;NaN;6.700;1
15;ms584(a1-b4)-10.tif:0002-0132-0281:2;1.178;19.359;0.330;0.000;0.000;NaN;6.700;1
16;ms584(a1-b4)-10.tif:0002-0321-1072:2;0.862;24.775;0.460;0.000;0.000;NaN;4.853;1
17;ms584(a1-b4)-10.tif:0002-0290-1100:2;0.546;40.601;0.702;0.000;0.000;NaN;3.125;1
18;ms584(a1-b4)-10.tif:0002-0484-1253:2;0.948;37.235;0.413;0.000;0.000;NaN;5.374;1
19;ms584(a1-b4)-10.tif:0002-0388-1238:2;0.603;-38.660;0.687;0.000;0.000;NaN;3.322;1
20;ms584(a1-b4)-10.tif:0002-0688-1060:2;0.460;-19.654;0.855;0.000;0.000;NaN;2.600;0
21;ms584(a1-b4)-10.tif:0002-0783-0964:2;0.575;18.435;0.686;0.000;0.000;NaN;3.244;0
22;ms584(a1-b4)-10.tif:0002-0900-1122:2;0.402;-57.529;1.000;0.000;0.000;NaN;2.239;0
23;ms584(a1-b4)-10.tif:0002-0991-0923:2;0.747;11.768;0.539;0.000;0.000;NaN;4.173;1
24;ms584(a1-b4)-10.tif:0002-0927-0708:2;0.603;63.435;0.666;0.000;0.000;NaN;3.374;1
25;ms584(a1-b4)-10.tif:0002-0697-0211:2;0.661;50.528;0.617;0.000;0.000;NaN;3.668;1
26;ms584(a1-b4)-3.tif:0001-0697-0945:1;1.092;86.987;0.341;0.000;0.000;NaN;6.344;1
27;ms584(a1-b4)-3.tif:0001-0730-0945:1;0.546;-80.538;0.764;0.000;0.000;NaN;2.996;0
28;ms584(a1-b4)-3.tif:0001-0903-0175:1;0.373;-41.634;1.000;0.000;0.000;NaN;2.098;0
29;ms584(a1-b4)-3.tif:0001-0915-0184:1;0.402;-90.000;1.000;0.000;0.000;NaN;2.205;0
30;ms584(a1-b4)-3.tif:0001-0880-0351:1;0.402;77.005;1.000;0.000;0.000;NaN;2.200;0
31;ms584(a1-b4)-3.tif:0001-0861-0360:1;0.316;41.186;1.000;0.000;0.000;NaN;1.739;0
32;ms584(a1-b4)-3.tif:0001-0854-0322:1;0.316;71.565;1.000;0.000;0.000;NaN;1.665;0
33;ms584(a1-b4)-4.tif:0001-0148-0883:1;0.431;-33.690;0.930;0.000;0.000;NaN;2.414;1
34;ms584(a1-b4)-4.tif:0001-0488-0107:1;0.488;68.199;0.793;0.000;0.000;NaN;2.782;1
35;ms584(a1-b4)-4.tif:0001-0870-0546:1;0.259;-23.199;1.000;0.000;0.000;NaN;1.339;0
36;ms584(a1-b4)-4.tif:0001-0888-0529:1;0.230;-74.055;1.000;0.000;0.000;NaN;1.208;0
37;ms584(a1-b4)-4.tif:0001-0961-0510:1;0.488;75.069;0.825;0.000;0.000;NaN;2.727;1
38;ms584(a1-b4)-4.tif:0001-0937-0478:1;0.230;56.310;1.000;0.000;0.000;NaN;1.222;0
39;ms584(a1-b4)-4.tif:0001-0860-0951:1;0.316;-45.000;1.000;0.000;0.000;NaN;1.678;0
40;ms584(a1-b4)-4.tif:0001-0439-1175:1;0.287;49.399;1.000;0.000;0.000;NaN;1.598;1
41;ms584(a1-b4)-5.tif:0001-0377-0988:1;0.575;38.660;0.675;0.000;0.000;NaN;3.271;1
42;ms584(a1-b4)-5.tif:0001-0310-0097:1;0.373;-34.992;1.000;0.000;0.000;NaN;2.069;1
43;ms584(a1-b4)-5.tif:0001-0120-0423:1;0.747;108.435;0.530;0.000;0.000;NaN;4.208;1
44;ms584(a1-b4)-5.tif:0001-0294-0077:1;0.316;-48.814;1.000;0.000;0.000;NaN;1.682;1
45;ms584(a1-b4)-5.tif:0001-0263-0110:1;0.345;26.565;1.000;0.000;0.000;NaN;1.820;1
46;ms584(a1-b4)-5.tif:0001-0301-0161:1;0.575;57.995;0.717;0.000;0.000;NaN;3.173;1
47;ms584(a1-b4)-5.tif:0001-0163-0994:1;0.460;-53.130;0.904;0.000;0.000;NaN;2.528;0
48;ms584(a1-b4)-5.tif:0001-0647-1201:1;0.460;-61.699;0.893;0.000;0.000;NaN;2.544;0
49;ms584(a1-b4)-5.tif:0001-0666-1203:1;0.373;-24.444;1.000;0.000;0.000;NaN;1.971;0
50;ms584(a1-b4)-5.tif:0001-0911-1274:1;0.316;49.399;1.000;0.000;0.000;NaN;1.682;0
