 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,c76(a1-3d)-1.tif:0001-0283-0377:1,0.517,62.542,47.627,2.881,0.678,14.036,2.905
2,c76(a1-3d)-1.tif:0001-0281-0344:1,0.632,56.610,47.627,3.559,0.000,0.000,3.616
3,c76(a1-3d)-1.tif:0001-0422-0101:1,0.488,15.932,71.017,2.542,1.186,25.017,2.731
4,c76(a1-3d)-1.tif:0001-0352-0557:1,0.431,93.729,58.814,1.356,1.864,56.310,2.351
5,c76(a1-3d)-1.tif:0001-0468-0674:1,0.517,112.881,78.983,2.712,0.847,-17.354,2.825
6,c76(a1-3d)-1.tif:0001-0485-0648:1,0.488,108.983,81.186,1.695,2.034,50.194,2.648
7,c76(a1-3d)-1.tif:0001-0460-0294:1,0.316,49.492,77.288,0.678,1.525,66.038,1.618
8,c76(a1-3d)-1.tif:0001-0469-0412:1,0.287,69.153,79.492,1.525,0.169,5.711,1.598
9,c76(a1-3d)-1.tif:0001-0482-0392:1,0.259,65.932,81.356,1.017,0.847,39.806,1.288
10,c76(a1-3d)-1.tif:0001-0602-0267:1,0.546,44.746,100.678,1.186,2.881,67.620,3.042
11,c76(a1-3d)-1.tif:0001-0410-0513:1,0.345,86.441,68.814,1.186,1.356,48.814,1.839
12,c76(a1-3d)-1.tif:0001-1010-0829:1,0.431,139.322,171.186,2.373,0.169,-4.086,2.376
13,c76(a1-3d)-1.tif:0001-0954-0511:1,0.345,85.763,161.695,1.864,0.169,-10.305,1.934
14,c76(a1-3d)-1.tif:0001-0389-0291:1,0.345,48.814,65.254,1.186,1.525,56.310,1.853
15,c76(a1-3d)-1.tif:0001-0414-0330:1,0.345,55.424,69.492,1.186,1.525,45.000,1.924
16,c76(a1-3d)-1.tif:0001-0403-0295:1,0.201,49.661,67.966,0.678,0.678,45.000,0.959
17,c76(a1-3d)-1.tif:0001-0068-0815:1,0.316,137.797,10.847,0.678,1.525,66.038,1.721
