 ,Label,Area,BX,BY,Width,Height,Angle,Length
245,c74(a1-1d)-4.tif:0001-0194-0504:1,0.316,84.746,32.542,1.525,0.847,26.565,1.668
246,c74(a1-1d)-4.tif:0001-0351-0010:1,0.345,1.695,58.644,0.000,1.864,90.000,1.921
247,c74(a1-1d)-4.tif:0001-0375-0014:1,0.460,2.203,62.373,0.508,2.542,102.095,2.549
248,c74(a1-1d)-4.tif:0001-0413-0010:1,0.603,0.508,68.983,2.542,2.203,-39.094,3.444
249,c74(a1-1d)-4.tif:0001-0635-0556:1,0.431,93.390,106.949,1.864,1.525,39.289,2.418
250,c74(a1-1d)-4.tif:0001-0617-0570:1,0.488,95.424,104.068,2.373,1.186,26.565,2.679
251,c74(a1-1d)-4.tif:0001-0545-0660:1,0.345,111.186,91.864,1.525,1.186,-41.186,1.924
252,c74(a1-1d)-4.tif:0001-0844-0529:1,0.316,89.492,142.203,0.508,1.695,78.690,1.754
253,c74(a1-1d)-4.tif:0001-0845-0401:1,0.402,67.966,142.203,0.169,2.203,85.601,2.150
254,c74(a1-1d)-4.tif:0001-0884-0405:1,0.546,67.627,148.814,2.034,2.203,47.291,3.040
255,c74(a1-1d)-4.tif:0001-0901-0376:1,0.603,62.203,152.373,3.220,0.678,11.310,3.346
256,c74(a1-1d)-4.tif:0001-0740-0472:1,0.517,79.831,124.068,0.339,2.881,82.875,2.845
