 ;Label;Area;Angle;Circ.;AR;Round;Solidity;Length;SMI32
1;ms500(a1-5b)-1.tif:0001-0041-0218:1;0.402;38.660;1.000;0.000;0.000;NaN;2.127;1
2;ms500(a1-5b)-1.tif:0001-0094-0738:1;0.575;40.601;0.719;0.000;0.000;NaN;3.168;1
3;ms500(a1-5b)-1.tif:0001-0193-0775:1;0.546;76.759;0.748;0.000;0.000;NaN;3.028;1
4;ms500(a1-5b)-1.tif:0001-0179-1156:1;0.919;42.397;0.409;0.000;0.000;NaN;5.317;1
5;ms500(a1-5b)-1.tif:0001-0355-1184:1;0.804;-32.005;0.469;0.000;0.000;NaN;4.641;1
6;ms500(a1-5b)-1.tif:0001-0452-1311:1;0.373;-61.390;1.000;0.000;0.000;NaN;2.103;0
7;ms500(a1-5b)-1.tif:0001-0480-1329:1;0.316;-78.690;1.000;0.000;0.000;NaN;1.631;0
8;ms500(a1-5b)-1.tif:0001-0361-1288:1;0.345;65.556;1.000;0.000;0.000;NaN;1.899;1
9;ms500(a1-5b)-1.tif:0001-0496-1180:1;0.431;-68.962;0.972;0.000;0.000;NaN;2.361;1
10;ms500(a1-5b)-1.tif:0001-0853-1078:1;0.460;42.274;0.938;0.000;0.000;NaN;2.482;1
11;ms500(a1-5b)-1.tif:0001-0856-0993:1;0.316;45.000;1.000;0.000;0.000;NaN;1.760;0
12;ms500(a1-5b)-1.tif:0001-0919-0815:1;0.632;58.570;0.605;0.000;0.000;NaN;3.624;1
13;ms500(a1-5b)-1.tif:0001-0896-0799:1;0.345;-33.690;1.000;0.000;0.000;NaN;1.865;1
14;ms500(a1-5b)-1.tif:0001-0327-0488:1;0.632;48.814;0.612;0.000;0.000;NaN;3.603;1
15;ms500(a1-5b)-1.tif:0001-0245-0388:1;0.862;71.565;0.455;0.000;0.000;NaN;4.877;1
16;ms500(a1-5b)-1.tif:0002-0157-0098:2;0.373;90.000;1.000;0.000;0.000;NaN;2.093;0
17;ms500(a1-5b)-10.tif:0001-0348-0467:1;0.546;63.435;0.746;0.000;0.000;NaN;3.032;1
18;ms500(a1-5b)-10.tif:0001-0213-0090:1;0.833;-46.397;0.463;0.000;0.000;NaN;4.756;1
19;ms500(a1-5b)-10.tif:0001-0447-0385:1;0.948;-34.695;0.415;0.000;0.000;NaN;5.360;1
20;ms500(a1-5b)-10.tif:0001-0201-0879:1;0.689;80.134;0.557;0.000;0.000;NaN;3.943;1
21;ms500(a1-5b)-10.tif:0001-0864-0683:1;0.488;60.255;0.796;0.000;0.000;NaN;2.776;1
22;ms500(a1-5b)-10.tif:0001-0689-1205:1;0.431;-77.905;0.919;0.000;0.000;NaN;2.427;1
23;ms500(a1-5b)-2.tif:0001-0258-1175:1;0.460;-47.726;0.912;0.000;0.000;NaN;2.517;1
24;ms500(a1-5b)-2.tif:0001-0244-1146:1;0.689;-25.463;0.551;0.000;0.000;NaN;3.967;1
25;ms500(a1-5b)-2.tif:0001-0401-1273:1;0.575;67.620;0.710;0.000;0.000;NaN;3.190;1
26;ms500(a1-5b)-2.tif:0001-0490-1251:1;0.316;45.000;1.000;0.000;0.000;NaN;1.722;0
27;ms500(a1-5b)-2.tif:0001-0486-1264:1;0.172;21.801;1.000;0.000;0.000;NaN;0.913;0
28;ms500(a1-5b)-2.tif:0001-0767-1208:1;0.259;113.199;1.000;0.000;0.000;NaN;1.339;1
29;ms500(a1-5b)-2.tif:0001-0864-0852:1;0.517;69.444;0.766;0.000;0.000;NaN;2.912;1
30;ms500(a1-5b)-2.tif:0001-0763-0773:1;0.316;66.038;1.000;0.000;0.000;NaN;1.721;1
31;ms500(a1-5b)-2.tif:0001-0484-0460:1;0.402;-51.340;1.000;0.000;0.000;NaN;2.163;1
32;ms500(a1-5b)-2.tif:0001-0510-0476:1;1.149;-60.803;0.324;0.000;0.000;NaN;6.678;1
33;ms500(a1-5b)-2.tif:0001-0470-0523:1;0.431;45.000;0.910;0.000;0.000;NaN;2.440;1
34;ms500(a1-5b)-2.tif:0001-0476-0507:1;0.345;56.310;1.000;0.000;0.000;NaN;1.787;0
35;ms500(a1-5b)-2.tif:0001-0470-0547:1;0.345;5.711;1.000;0.000;0.000;NaN;1.816;0
36;ms500(a1-5b)-2.tif:0001-0438-0943:1;0.345;-36.870;1.000;0.000;0.000;NaN;1.787;0
37;ms500(a1-5b)-2.tif:0001-0424-0934:1;0.316;-45.000;1.000;0.000;0.000;NaN;1.680;0
38;ms500(a1-5b)-2.tif:0001-0865-1340:1;0.661;-50.528;0.586;0.000;0.000;NaN;3.763;1
39;ms500(a1-5b)-3.tif:0001-0219-0262:1;0.603;-57.095;0.681;0.000;0.000;NaN;3.338;1
40;ms500(a1-5b)-3.tif:0001-0067-0233:1;0.402;-30.256;0.991;0.000;0.000;NaN;2.258;1
41;ms500(a1-5b)-3.tif:0001-0699-0602:1;0.460;-39.806;0.852;0.000;0.000;NaN;2.604;1
42;ms500(a1-5b)-3.tif:0001-0826-1172:1;0.517;45.000;0.785;0.000;0.000;NaN;2.876;1
43;ms500(a1-5b)-3.tif:0001-0555-1276:1;0.316;-77.471;1.000;0.000;0.000;NaN;1.673;0
