 ,Label,Area,BX,BY,Width,Height,Angle,Length
224,pdc40(a1-c2)-7.tif:0001-0451-0583:1,0.345,98.475,75.593,0.678,1.695,-68.199,1.825
225,pdc40(a1-c2)-7.tif:0001-0388-0669:1,0.345,113.220,64.915,0.339,1.864,79.695,1.812
226,pdc40(a1-c2)-7.tif:0001-0477-0747:1,0.460,126.102,79.831,1.186,2.203,61.699,2.503
227,pdc40(a1-c2)-7.tif:0001-0543-0665:1,0.517,112.034,90.847,1.525,2.373,57.265,2.821
228,pdc40(a1-c2)-7.tif:0001-0310-0499:1,0.402,84.068,51.695,1.017,1.864,61.390,2.124
229,pdc40(a1-c2)-7.tif:0001-0439-0483:1,0.230,81.525,73.898,0.678,1.017,-51.340,1.153
230,pdc40(a1-c2)-7.tif:0001-0398-0484:1,0.373,82.034,66.441,0.169,2.034,94.764,2.041
231,pdc40(a1-c2)-7.tif:0001-0471-0415:1,0.488,69.492,78.983,1.864,1.864,-45.000,2.637
232,pdc40(a1-c2)-7.tif:0001-0519-0490:1,0.402,82.542,87.119,1.186,1.864,55.008,2.139
233,pdc40(a1-c2)-7.tif:0001-0410-0585:1,0.402,98.814,68.475,0.678,2.034,75.964,2.119
234,pdc40(a1-c2)-7.tif:0001-0251-0756:1,0.460,127.966,41.356,0.508,2.542,-81.870,2.494
235,pdc40(a1-c2)-7.tif:0001-0204-0897:1,0.287,151.525,34.068,1.186,1.017,45.000,1.499
236,pdc40(a1-c2)-7.tif:0001-0231-0872:1,0.316,147.458,38.475,0.847,1.525,60.945,1.705
237,pdc40(a1-c2)-7.tif:0001-0142-0777:1,0.402,131.186,23.051,1.017,2.034,65.556,2.161
238,pdc40(a1-c2)-7.tif:0001-0227-1094:1,0.460,185.085,37.288,0.847,2.373,70.346,2.492
239,pdc40(a1-c2)-7.tif:0001-0233-1112:1,0.316,188.136,38.814,0.678,1.525,71.565,1.637
240,pdc40(a1-c2)-7.tif:0001-0265-1081:1,0.402,182.542,44.068,1.525,1.695,48.013,2.280
241,pdc40(a1-c2)-7.tif:0001-0214-0718:1,0.488,121.017,35.085,1.525,2.373,55.305,2.750
242,pdc40(a1-c2)-7.tif:0001-0211-0208:1,0.345,34.576,35.085,1.356,1.356,45.000,1.859
243,pdc40(a1-c2)-7.tif:0001-0565-0176:1,0.287,29.831,95.085,0.169,1.525,-96.340,1.451
244,pdc40(a1-c2)-7.tif:0001-0577-0180:1,0.402,29.831,97.119,1.525,1.525,-45.000,2.157
245,pdc40(a1-c2)-7.tif:0001-0570-0307:1,0.259,52.034,95.932,0.169,1.356,-98.130,1.282
246,pdc40(a1-c2)-7.tif:0001-0584-0308:1,0.316,52.034,98.136,0.508,1.695,-73.301,1.770
247,pdc40(a1-c2)-7.tif:0001-0603-0314:1,0.431,53.051,101.017,0.508,2.373,-81.870,2.327
248,pdc40(a1-c2)-7.tif:0001-0728-0058:1,0.316,9.153,123.051,1.525,0.847,32.005,1.671
249,pdc40(a1-c2)-7.tif:0001-0743-0073:1,0.431,11.864,124.915,1.186,2.034,59.744,2.355
250,pdc40(a1-c2)-7.tif:0001-0536-0326:1,0.460,54.407,90.000,1.864,1.695,42.274,2.463
