 ,Label,Area,BX,BY,Width,Height,Angle,Length
1,c72(a1-c4)-1.tif:0001-0279-0466:1,0.345,78.814,46.441,0.508,1.864,78.690,1.864
2,c72(a1-c4)-1.tif:0001-0246-0487:1,0.431,82.034,40.678,1.186,2.203,59.744,2.426
3,c72(a1-c4)-1.tif:0001-0432-0600:1,0.517,101.017,72.034,1.525,2.542,56.310,2.947
4,c72(a1-c4)-1.tif:0001-0409-0611:1,0.373,102.712,68.983,1.864,0.678,18.435,2.037
5,c72(a1-c4)-1.tif:0001-0423-0514:1,0.431,86.780,70.678,0.847,2.203,-65.225,2.329
6,c72(a1-c4)-1.tif:0001-0412-0499:1,0.460,83.559,69.322,2.203,1.186,-28.301,2.527
7,c72(a1-c4)-1.tif:0001-0403-0804:1,0.603,135.085,67.119,2.373,2.373,45.000,3.356
8,c72(a1-c4)-1.tif:0001-0372-0821:1,0.575,138.305,61.864,1.864,2.542,51.340,3.142
9,c72(a1-c4)-1.tif:0001-0385-0735:1,0.287,124.576,64.576,0.169,1.525,-83.660,1.486
10,c72(a1-c4)-1.tif:0001-0361-0738:1,0.259,125.085,60.508,0.169,1.356,-82.875,1.375
11,c72(a1-c4)-1.tif:0001-0300-0837:1,0.517,141.356,49.661,1.186,2.542,63.435,2.881
12,c72(a1-c4)-1.tif:0001-0260-0732:1,0.373,123.729,43.220,0.847,1.864,65.556,1.973
13,c72(a1-c4)-1.tif:0001-0471-0801:1,0.316,135.254,79.322,1.186,1.186,36.870,1.680
14,c72(a1-c4)-1.tif:0001-0244-0851:1,0.488,143.051,41.017,2.542,0.847,14.931,2.717
15,c72(a1-c4)-1.tif:0001-0517-0378:1,0.488,63.898,86.441,0.508,2.542,82.405,2.638
16,c72(a1-c4)-1.tif:0001-0715-1196:1,0.373,202.373,120.339,0.847,1.864,65.556,2.021
17,c72(a1-c4)-1.tif:0001-0740-1218:1,0.373,206.271,124.576,0.508,1.864,-70.017,2.002
18,c72(a1-c4)-1.tif:0001-0846-1123:1,0.575,190.169,141.864,0.339,3.220,83.660,3.182
19,c72(a1-c4)-1.tif:0001-0887-1111:1,0.546,188.136,148.814,0.339,3.051,83.660,3.070
20,c72(a1-c4)-1.tif:0001-0840-1027:1,0.316,173.729,141.695,0.847,1.525,56.310,1.725
21,c72(a1-c4)-1.tif:0001-0970-1085:1,0.517,183.559,163.051,0.847,2.712,72.646,2.859
22,c72(a1-c4)-1.tif:0001-0998-1246:1,0.517,210.339,168.136,1.864,2.203,49.399,2.966
23,c72(a1-c4)-1.tif:0001-0769-0782:1,0.316,132.034,129.661,1.017,1.356,53.130,1.695
24,c72(a1-c4)-1.tif:0001-0827-0739:1,0.373,124.915,139.322,0.847,1.864,-65.556,2.077
25,c72(a1-c4)-1.tif:0001-0799-0743:1,0.402,124.915,135.424,2.203,0.169,0.000,2.263
26,c72(a1-c4)-1.tif:0001-0039-0763:1,0.488,129.153,5.254,0.508,2.712,79.380,2.770
27,c72(a1-c4)-1.tif:0001-0063-0761:1,0.402,128.983,9.661,0.169,2.203,94.399,2.271
28,c72(a1-c4)-1.tif:0001-0112-0871:1,0.316,146.949,18.644,1.356,0.847,-32.005,1.630
29,c72(a1-c4)-1.tif:0001-0120-0884:1,0.259,149.322,20.169,1.186,0.508,-29.745,1.365
30,c72(a1-c4)-1.tif:0001-0068-0993:1,0.488,167.797,10.339,1.186,2.542,64.983,2.779
31,c72(a1-c4)-1.tif:0001-0154-0588:1,0.287,99.153,25.763,1.186,0.847,35.538,1.447
32,c72(a1-c4)-1.tif:0001-0147-0654:1,0.316,110.339,24.237,1.017,1.356,53.130,1.695
33,c72(a1-c4)-1.tif:0001-0341-0882:1,0.373,148.814,57.119,1.525,1.356,41.634,2.084
34,c72(a1-c4)-1.tif:0001-0364-0865:1,0.488,146.271,60.508,0.678,2.542,75.964,2.686
35,c72(a1-c4)-1.tif:0001-0278-0832:1,0.373,140.508,46.271,1.017,1.864,61.390,2.074
36,c72(a1-c4)-1.tif:0001-0250-1083:1,0.287,183.559,41.695,0.169,1.525,-75.964,1.486
37,c72(a1-c4)-1.tif:0001-0145-1117:1,0.460,188.644,23.559,1.525,2.034,53.130,2.509
38,c72(a1-c4)-1.tif:0001-0393-1113:1,0.345,188.475,65.763,0.339,1.864,78.690,1.839
39,c72(a1-c4)-1.tif:0001-0053-1266:1,0.460,214.576,7.797,0.000,2.542,90.000,2.486
40,c72(a1-c4)-1.tif:0001-0031-1313:1,0.488,221.864,4.237,1.525,2.203,52.431,2.667
41,c72(a1-c4)-1.tif:0001-0043-1324:1,0.316,223.898,6.780,1.186,1.186,45.000,1.680
42,c72(a1-c4)-1.tif:0001-0061-1312:1,0.402,222.034,9.322,0.847,2.034,71.565,2.182
43,c72(a1-c4)-1.tif:0001-0355-1254:1,0.402,211.695,59.492,1.695,1.356,38.660,2.171
44,c72(a1-c4)-1.tif:0001-0320-0949:1,0.546,160.000,53.051,1.864,2.373,54.462,2.983
45,c72(a1-c4)-1.tif:0001-0452-0988:1,0.431,167.458,75.424,0.169,2.373,-85.914,2.384
46,c72(a1-c4)-1.tif:0001-0354-0813:1,0.431,137.458,58.983,0.847,2.203,68.962,2.434
47,c72(a1-c4)-1.tif:0001-0330-0821:1,0.287,138.983,55.254,0.508,1.525,69.444,1.574
48,c72(a1-c4)-1.tif:0001-0220-1106:1,0.460,187.119,36.102,0.847,2.373,74.055,2.501
49,c72(a1-c4)-10.tif:0001-0371-1075:1,0.259,181.525,62.712,1.356,0.508,-14.036,1.429
50,c72(a1-c4)-10.tif:0001-0237-0937:1,0.517,157.458,40.169,2.881,0.000,0.000,2.938
51,c72(a1-c4)-10.tif:0001-0168-0879:1,0.431,148.644,27.458,0.847,2.203,65.225,2.434
52,c72(a1-c4)-10.tif:0001-0150-0885:1,0.345,149.661,24.576,0.678,1.695,68.199,1.825
53,c72(a1-c4)-10.tif:0001-0027-1168:1,0.402,197.288,3.898,1.525,1.525,45.000,2.237
54,c72(a1-c4)-10.tif:0001-0047-1158:1,0.287,195.763,7.458,1.186,1.186,40.601,1.598
55,c72(a1-c4)-10.tif:0001-0147-1276:1,0.747,215.932,22.881,0.847,4.237,78.690,4.277
56,c72(a1-c4)-10.tif:0001-0317-1038:1,0.488,175.085,52.712,1.695,2.203,-52.431,2.735
57,c72(a1-c4)-10.tif:0001-0424-0162:1,0.402,27.119,70.847,0.847,2.034,67.380,2.226
58,c72(a1-c4)-10.tif:0001-0435-0144:1,0.431,23.220,73.559,2.373,0.508,8.130,2.416
59,c72(a1-c4)-10.tif:0001-0292-0419:1,0.316,70.339,48.983,1.356,1.186,-41.186,1.765
60,c72(a1-c4)-10.tif:0001-0392-0626:1,0.373,105.254,66.271,1.864,0.508,18.435,2.002
61,c72(a1-c4)-10.tif:0001-0391-0569:1,0.488,96.441,64.915,0.169,2.712,86.424,2.721
62,c72(a1-c4)-10.tif:0001-0391-0503:1,0.345,84.407,66.102,1.864,0.339,-11.310,1.839
63,c72(a1-c4)-10.tif:0001-0692-0268:1,0.402,45.424,116.271,0.169,2.203,85.601,2.271
64,c72(a1-c4)-10.tif:0001-0482-0427:1,0.575,70.847,81.525,3.220,0.339,-6.340,3.182
65,c72(a1-c4)-10.tif:0001-0510-0436:1,0.488,72.712,85.932,2.542,1.017,21.801,2.686
66,c72(a1-c4)-10.tif:0001-0500-0454:1,0.230,76.610,84.407,0.847,0.847,38.660,1.201
67,c72(a1-c4)-10.tif:0001-0398-0022:1,0.259,3.220,66.949,1.017,1.017,45.000,1.438
68,c72(a1-c4)-10.tif:0001-0491-0094:1,0.287,15.424,82.881,1.186,0.847,-32.005,1.473
69,c72(a1-c4)-10.tif:0001-0529-0106:1,0.259,17.458,89.322,1.017,0.847,-39.806,1.288
70,c72(a1-c4)-10.tif:0001-0458-0451:1,0.948,75.932,75.085,1.186,5.254,77.276,5.344
71,c72(a1-c4)-10.tif:0001-0306-0505:1,0.488,85.254,50.678,0.847,2.542,68.199,2.645
72,c72(a1-c4)-10.tif:0001-0119-0641:1,0.718,108.305,18.136,0.678,4.068,80.538,4.124
73,c72(a1-c4)-10.tif:0001-0316-0653:1,0.373,110.339,52.712,0.678,1.864,70.017,2.037
74,c72(a1-c4)-10.tif:0001-0285-0586:1,0.316,99.153,47.627,0.508,1.525,66.038,1.680
75,c72(a1-c4)-10.tif:0001-0230-0404:1,0.460,67.458,38.305,2.203,1.356,-33.690,2.539
76,c72(a1-c4)-10.tif:0001-0235-0430:1,0.230,72.373,39.831,1.186,0.000,0.000,1.243
77,c72(a1-c4)-10.tif:0001-0154-0337:1,0.259,56.441,26.102,1.356,0.169,7.125,1.375
78,c72(a1-c4)-10.tif:0001-0166-0369:1,0.287,61.864,27.966,1.525,0.508,-23.962,1.574
79,c72(a1-c4)-10.tif:0001-0030-0497:1,0.431,83.729,4.068,1.017,2.203,-63.435,2.376
80,c72(a1-c4)-10.tif:0001-0807-0652:1,0.316,110.000,136.271,1.186,1.186,-48.814,1.680
81,c72(a1-c4)-10.tif:0001-0549-0875:1,0.488,148.136,91.864,0.508,2.542,-97.125,2.638
82,c72(a1-c4)-10.tif:0001-0601-0705:1,0.345,119.492,101.017,0.169,1.864,-79.695,1.934
83,c72(a1-c4)-10.tif:0001-0784-0389:1,0.373,65.085,132.373,1.864,1.017,-30.964,2.074
84,c72(a1-c4)-10.tif:0001-0264-0836:1,0.460,140.847,43.898,1.864,1.695,42.274,2.478
85,c72(a1-c4)-10.tif:0001-0232-0913:1,0.259,154.237,39.153,1.186,0.508,-29.745,1.365
86,c72(a1-c4)-10.tif:0001-0424-0973:1,0.661,164.237,70.169,1.525,3.390,63.435,3.741
87,c72(a1-c4)-10.tif:0001-0330-1099:1,0.460,185.085,55.763,2.542,0.508,-15.945,2.549
88,c72(a1-c4)-10.tif:0001-0535-0842:1,0.316,142.373,90.000,0.678,1.525,66.038,1.721
89,c72(a1-c4)-10.tif:0001-0514-0851:1,0.345,144.237,86.271,0.169,1.864,79.695,1.822
90,c72(a1-c4)-10.tif:0001-0422-0756:1,0.230,128.136,71.017,0.169,1.186,90.000,1.248
91,c72(a1-c4)-2.tif:0002-0181-1082:2,0.603,182.373,29.322,2.034,2.712,53.130,3.390
92,c72(a1-c4)-2.tif:0002-0200-1066:2,0.373,180.000,33.220,1.356,1.525,48.366,2.084
93,c72(a1-c4)-2.tif:0002-0377-0681:2,0.891,115.254,61.356,0.508,5.085,84.289,5.116
94,c72(a1-c4)-2.tif:0002-0404-0694:2,0.488,116.780,67.627,1.864,1.864,-45.000,2.638
95,c72(a1-c4)-2.tif:0002-0441-0824:2,0.517,138.814,73.729,1.864,2.034,47.490,2.798
96,c72(a1-c4)-2.tif:0002-0485-0893:2,0.316,150.678,81.864,1.525,0.847,33.690,1.725
97,c72(a1-c4)-2.tif:0002-0123-1034:2,0.431,174.746,19.831,1.186,2.034,59.744,2.327
98,c72(a1-c4)-2.tif:0002-0618-1172:2,0.460,198.136,103.729,1.017,2.203,66.801,2.478
99,c72(a1-c4)-2.tif:0002-0640-1162:2,0.345,196.780,107.627,0.339,1.864,78.690,1.839
100,c72(a1-c4)-2.tif:0002-0662-1182:2,0.373,200.339,111.186,0.000,2.034,90.000,2.034
101,c72(a1-c4)-2.tif:0002-0641-1191:2,0.431,201.186,107.797,1.525,1.864,50.711,2.418
102,c72(a1-c4)-2.tif:0002-0677-1196:2,0.402,202.542,113.729,0.339,2.203,-80.538,2.173
103,c72(a1-c4)-2.tif:0002-0683-1212:2,0.316,204.576,115.763,1.695,0.169,0.000,1.699
104,c72(a1-c4)-2.tif:0002-0551-1102:2,0.718,184.746,93.051,4.068,0.678,9.462,4.124
105,c72(a1-c4)-2.tif:0002-0618-1078:2,0.488,182.712,103.390,0.000,2.712,90.000,2.712
106,c72(a1-c4)-2.tif:0002-0637-1077:2,0.201,182.203,107.627,0.847,0.678,38.660,1.042
107,c72(a1-c4)-2.tif:0002-0654-1054:2,0.373,178.644,109.831,0.169,2.034,-90.000,2.037
108,c72(a1-c4)-2.tif:0002-0649-0785:2,0.287,133.051,109.322,0.000,1.525,90.000,1.469
109,c72(a1-c4)-2.tif:0002-0749-0908:2,0.373,153.729,125.932,0.508,2.034,-108.435,2.111
110,c72(a1-c4)-2.tif:0002-0120-0336:2,0.373,56.441,19.492,1.017,1.864,61.390,2.074
111,c72(a1-c4)-2.tif:0002-0880-0058:2,0.431,9.322,148.136,1.186,2.034,59.744,2.327
112,c72(a1-c4)-2.tif:0002-0793-0255:2,0.603,42.034,133.390,2.542,2.203,42.879,3.360
113,c72(a1-c4)-2.tif:0002-0995-0761:2,0.546,127.627,167.966,2.712,1.525,26.565,3.084
114,c72(a1-c4)-2.tif:0002-0839-1124:2,0.172,190.169,142.034,0.847,0.339,-26.565,0.861
115,c72(a1-c4)-2.tif:0002-0814-1209:2,0.287,204.407,137.458,1.186,1.017,40.601,1.606
116,c72(a1-c4)-2.tif:0002-0802-1220:2,0.316,205.932,135.763,1.695,0.339,11.310,1.728
117,c72(a1-c4)-2.tif:0002-0913-1137:2,0.345,192.542,153.898,0.508,1.864,74.745,1.894
118,c72(a1-c4)-2.tif:0002-0925-1129:2,0.373,191.186,155.763,0.508,2.034,75.964,2.111
119,c72(a1-c4)-2.tif:0002-0948-1202:2,0.287,203.220,160.339,1.186,0.847,40.601,1.447
120,c72(a1-c4)-2.tif:0002-0750-0818:2,0.402,138.644,126.102,0.000,2.203,90.000,2.147
121,c72(a1-c4)-2.tif:0002-0763-0959:2,0.460,162.373,128.136,0.339,2.542,-82.405,2.509
122,c72(a1-c4)-3.tif:0002-0091-0636:2,0.431,107.627,14.407,0.508,2.203,77.905,2.305
123,c72(a1-c4)-3.tif:0002-0280-0294:2,0.345,49.661,46.610,0.508,1.864,-74.745,1.864
124,c72(a1-c4)-3.tif:0002-0260-0291:2,0.316,49.322,43.220,0.169,1.695,-84.289,1.710
125,c72(a1-c4)-3.tif:0002-0265-0335:2,0.316,56.610,44.237,0.508,1.525,78.690,1.645
126,c72(a1-c4)-3.tif:0002-0254-0337:2,0.172,57.119,42.712,0.000,0.847,-90.000,0.904
127,c72(a1-c4)-3.tif:0002-0237-0168:2,0.804,26.780,38.644,3.390,3.220,41.987,4.637
128,c72(a1-c4)-3.tif:0002-0268-0150:2,0.373,24.915,44.576,1.017,1.695,59.036,1.977
129,c72(a1-c4)-3.tif:0002-0154-0489:2,0.431,82.712,24.915,0.339,2.373,81.870,2.397
130,c72(a1-c4)-3.tif:0002-0175-0626:2,0.345,106.102,28.814,0.000,1.864,-90.000,1.808
131,c72(a1-c4)-3.tif:0002-0238-0569:2,0.402,95.932,39.492,1.186,1.864,61.390,2.229
132,c72(a1-c4)-3.tif:0002-0482-0361:2,0.316,61.017,81.017,0.508,1.525,77.471,1.645
133,c72(a1-c4)-3.tif:0002-0458-0378:2,0.431,63.220,76.949,1.864,1.525,39.289,2.402
134,c72(a1-c4)-3.tif:0002-0769-0667:2,0.345,112.712,129.492,0.678,1.695,68.199,1.825
135,c72(a1-c4)-3.tif:0002-0745-0669:2,0.287,113.390,125.593,0.169,1.525,77.471,1.598
136,c72(a1-c4)-3.tif:0002-0724-0556:2,0.259,94.068,122.034,0.508,1.356,-69.444,1.429
137,c72(a1-c4)-3.tif:0002-0709-0556:2,0.287,93.729,119.661,1.017,1.186,49.399,1.520
138,c72(a1-c4)-3.tif:0002-0994-0645:2,0.316,109.153,167.797,0.339,1.525,78.690,1.618
139,c72(a1-c4)-3.tif:0002-0827-0399:2,0.345,66.949,139.661,1.356,1.186,45.000,1.839
140,c72(a1-c4)-3.tif:0002-0863-0153:2,0.287,25.424,145.932,1.186,0.847,29.745,1.473
141,c72(a1-c4)-3.tif:0002-0866-0134:2,0.316,22.034,146.441,1.525,0.847,29.055,1.769
142,c72(a1-c4)-3.tif:0002-0860-0116:2,0.230,19.153,145.763,1.186,0.169,8.130,1.248
143,c72(a1-c4)-3.tif:0002-0635-0746:2,0.345,126.271,106.780,0.508,1.864,-105.255,1.864
144,c72(a1-c4)-3.tif:0002-0698-1019:2,0.402,172.203,117.458,1.186,1.864,-55.008,2.194
145,c72(a1-c4)-3.tif:0002-0709-0964:2,0.431,162.881,119.153,1.017,2.203,63.435,2.376
146,c72(a1-c4)-3.tif:0002-0690-0936:2,0.316,158.136,116.271,1.186,1.356,48.814,1.765
147,c72(a1-c4)-3.tif:0002-0599-0872:2,0.345,147.797,100.678,0.169,1.864,90.000,1.924
