Label,Angle,%Area,MinThr,MaxThr,Length,SMI32
ms500(a1-3d)-1.tif:0002-0148-0180:2,32.276,0,0,65535,3.809,1
ms500(a1-3d)-1.tif:0002-0123-0245:2,12.995,0,0,65535,2.384,1
ms500(a1-3d)-1.tif:0002-0590-1084:2,-15.945,0,0,65535,2.439,0
ms500(a1-3d)-1.tif:0002-0588-1111:2,-11.31,0,0,65535,2.549,0
ms500(a1-3d)-1.tif:0002-0573-1246:2,17.103,0,0,65535,4.649,0
ms500(a1-3d)-1.tif:0002-0983-1121:2,22.62,0,0,65535,2.174,0
ms500(a1-3d)-1.tif:0002-0970-1050:2,-17.103,0,0,65535,2.305,0
ms500(a1-3d)-1.tif:0002-0817-0196:2,-2.726,0,0,65535,3.676,1
ms500(a1-3d)-1.tif:0002-0808-0138:2,14.036,0,0,65535,2.727,0
ms500(a1-3d)-1.tif:0002-0961-0117:2,21.801,0,0,65535,2.843,0
ms500(a1-3d)-1.tif:0002-0711-0132:2,-3.576,0,0,65535,2.717,1
ms500(a1-3d)-1.tif:0002-0581-0106:2,32.005,0,0,65535,1.63,0
ms500(a1-3d)-1.tif:0002-0363-1086:2,-7.352,0,0,65535,5.313,1
ms500(a1-3d)-2.tif:0002-0157-0216:2,18.435,0,0,65535,2.252,0
ms500(a1-3d)-2.tif:0002-0169-0188:2,18.435,0,0,65535,1.637,0
ms500(a1-3d)-2.tif:0002-0237-0694:2,28.301,0,0,65535,2.503,1
ms500(a1-3d)-2.tif:0002-0546-1229:2,36.469,0,0,65535,4.798,1
ms500(a1-3d)-2.tif:0002-0585-1307:2,20.556,0,0,65535,2.948,0
ms500(a1-3d)-2.tif:0002-0597-1281:2,21.038,0,0,65535,2.361,0
ms500(a1-3d)-2.tif:0002-0902-0515:2,36.027,0,0,65535,2.305,0
ms500(a1-3d)-2.tif:0002-0932-0459:2,0,0,0,65535,2.29,0
ms500(a1-3d)-2.tif:0002-0957-0486:2,14.036,0,0,65535,2.817,0
ms500(a1-3d)-2.tif:0002-0817-0688:2,33.69,0,0,65535,3.103,1
ms500(a1-3d)-2.tif:0002-0699-0313:2,22.38,0,0,65535,3.227,0
ms500(a1-3d)-2.tif:0002-0518-0140:2,-45,0,0,65535,2.637,1
ms500(a1-3d)-2.tif:0002-0227-0337:2,18.435,0,0,65535,2.172,0
ms500(a1-3d)-2.tif:0002-0235-0307:2,28.301,0,0,65535,2.618,0
ms500(a1-3d)-3.tif:0001-0312-0157:1,-11.689,0,0,65535,5.019,1
ms500(a1-3d)-3.tif:0001-0308-0387:1,-32.735,0,0,65535,2.821,0
ms500(a1-3d)-3.tif:0001-0824-0304:1,-22.109,0,0,65535,5.854,1
ms500(a1-3d)-3.tif:0001-0843-0715:1,-4.764,0,0,65535,2.041,0
ms500(a1-3d)-3.tif:0001-0515-0969:1,0,0,0,65535,2.035,1
ms500(a1-3d)-3.tif:0001-0630-0843:1,-2.726,0,0,65535,3.507,1
ms500(a1-3d)-3.tif:0001-0632-0789:1,-9.462,0,0,65535,2.062,0
ms500(a1-3d)-3.tif:0001-0745-1094:1,-32.471,0,0,65535,2.054,0
ms500(a1-3d)-3.tif:0001-0913-1043:1,19.983,0,0,65535,1.931,0
ms500(a1-3d)-3.tif:0001-0460-0114:1,-14.036,0,0,65535,2.139,1
ms500(a1-3d)-3.tif:0001-0479-0220:1,-83.66,0,0,65535,1.591,0
ms500(a1-3d)-3.tif:0001-0500-0246:1,-28.61,0,0,65535,2.025,0
ms500(a1-3d)-3.tif:0001-0442-0017:1,-42.709,0,0,65535,3.003,1
ms500(a1-3d)-3.tif:0001-0509-0141:1,-81.87,0,0,65535,1.254,0
ms500(a1-3d)-3.tif:0001-0372-0282:1,-11.889,0,0,65535,3.18,1
ms500(a1-3d)-3.tif:0001-0301-0364:1,9.462,0,0,65535,1.942,1
ms500(a1-3d)-3.tif:0001-0158-0977:1,-26.565,0,0,65535,1.895,1
ms500(a1-3d)-3.tif:0001-0119-1125:1,-45,0,0,65535,1.758,0
ms500(a1-3d)-4.tif:0001-0846-0513:1,50.906,0,0,65535,3.441,1
ms500(a1-3d)-5.tif:0001-0846-0513:1,50.906,0,0,65535,3.441,1
ms500(a1-3d)-5.tif:0002-0244-0190:2,-45,0,0,65535,5.352,1
ms500(a1-3d)-5.tif:0002-0825-0986:2,92.663,0,0,65535,14.598,0
ms500(a1-3d)-5.tif:0002-0068-0480:2,-6.911,0,0,65535,5.586,0
