Label,Angle,%Area,MinThr,MaxThr,Length,SMI32
ms444(a1-b6)-2.tif:0001-0178-0079:1,-4.764,0,0,65535,2.05,1
ms444(a1-b6)-2.tif:0001-0066-0261:1,38.157,0,0,65535,2.966,0
ms444(a1-b6)-2.tif:0001-0021-0297:1,45,0,0,65535,2.816,0
ms444(a1-b6)-2.tif:0001-0095-0408:1,28.301,0,0,65535,2.503,1
ms444(a1-b6)-2.tif:0001-0320-1240:1,-135,0,0,65535,3.536,1
ms444(a1-b6)-2.tif:0001-0370-0901:1,46.736,0,0,65535,3.866,1
ms444(a1-b6)-2.tif:0001-0258-0421:1,39.289,0,0,65535,2.376,0
ms444(a1-b6)-2.tif:0001-0266-0398:1,38.157,0,0,65535,2.958,1
ms444(a1-b6)-2.tif:0001-0421-0325:1,-39.806,0,0,65535,1.204,0
ms444(a1-b6)-2.tif:0001-0422-0349:1,53.13,0,0,65535,1.754,0
ms444(a1-b6)-2.tif:0001-0497-0922:1,-64.799,0,0,65535,3.184,1
ms444(a1-b6)-2.tif:0001-0558-1038:1,57.529,0,0,65535,2.239,1
ms444(a1-b6)-2.tif:0001-0455-0921:1,37.569,0,0,65535,2.814,1
ms444(a1-b6)-2.tif:0001-0973-0104:1,59.534,0,0,65535,3.358,1
ms444(a1-b6)-2.tif:0001-0884-0246:1,5.194,0,0,65535,1.78,1
ms444(a1-b6)-3.tif:0001-0004-0022:1,-41.634,0,0,65535,2.013,1
ms444(a1-b6)-3.tif:0001-0259-0618:1,-48.366,0,0,65535,2.105,1
ms444(a1-b6)-3.tif:0001-0270-0718:1,4.086,0,0,65535,2.332,1
ms444(a1-b6)-3.tif:0001-0874-0911:1,96.71,0,0,65535,3.019,1
ms444(a1-b6)-3.tif:0001-0687-0331:1,0,0,0,65535,1.949,0
ms444(a1-b6)-3.tif:0001-0632-0212:1,65.225,0,0,65535,2.315,0
ms444(a1-b6)-3.tif:0001-0714-0041:1,11.31,0,0,65535,1.645,0
ms444(a1-b6)-3.tif:0001-0595-0084:1,67.38,0,0,65535,2.237,1
ms444(a1-b6)-3.tif:0001-0624-0301:1,64.654,0,0,65535,3.487,1
ms444(a1-b6)-3.tif:0001-0698-0594:1,37.875,0,0,65535,1.866,1
ms444(a1-b6)-3.tif:0001-0260-0618:1,-61.699,0,0,65535,2.544,1
ms444(a1-b6)-3.tif:0001-0976-1219:1,-90,0,0,65535,3.899,1
ms444(a1-b6)-3.tif:0001-0793-0800:1,-74.745,0,0,65535,3.865,1
ms444(a1-b6)-3.tif:0001-0856-0966:1,59.744,0,0,65535,2.355,0
ms444(a1-b6)-3.tif:0001-0804-1115:1,-90,0,0,65535,2.542,0
ms444(a1-b6)-3.tif:0001-0681-1003:1,-85.236,0,0,65535,2.12,0
ms444(a1-b6)-3.tif:0001-0503-1002:1,72.181,0,0,65535,4.96,0
ms444(a1-b6)-3.tif:0001-0540-0992:1,-111.801,0,0,65535,1.825,0
ms444(a1-b6)-3.tif:0001-0550-1004:1,40.914,0,0,65535,3.42,1
ms444(a1-b6)-3.tif:0001-0446-0857:1,-78.69,0,0,65535,4.305,1
ms444(a1-b6)-3.tif:0001-0960-0042:1,-47.49,0,0,65535,2.879,1
ms444(a1-b6)-3.tif:0001-0921-0014:1,-55.62,0,0,65535,3.882,1
ms444(a1-b6)-3.tif:0001-0970-0163:1,-8.13,0,0,65535,2.386,1
ms444(a1-b6)-3.tif:0001-0993-0296:1,0,0,0,65535,2.628,1
ms444(a1-b6)-4.tif:0001-0637-0149:1,-73.301,0,0,65535,1.77,0
ms444(a1-b6)-4.tif:0001-0623-0135:1,-60.255,0,0,65535,1.366,0
ms444(a1-b6)-4.tif:0001-0836-0054:1,85.601,0,0,65535,4.504,1
ms444(a1-b6)-4.tif:0001-0980-0494:1,9.462,0,0,65535,3.009,1
ms444(a1-b6)-4.tif:0001-0993-0503:1,-5.44,0,0,65535,3.669,1
ms444(a1-b6)-4.tif:0001-0896-0580:1,-61.928,0,0,65535,2.881,0
ms444(a1-b6)-5.tif:0001-0689-0348:1,68.749,0,0,65535,3.273,0
ms444(a1-b6)-5.tif:0001-0605-0389:1,73.811,0,0,65535,5.471,1
ms444(a1-b6)-5.tif:0001-0765-0826:1,-90,0,0,65535,1.866,0
ms444(a1-b6)-5.tif:0001-0932-0818:1,7.125,0,0,65535,2.745,0
ms444(a1-b6)-5.tif:0001-0966-0354:1,55.008,0,0,65535,2.022,0
