X0,Y0,Y1,Y2
0.00000,246.250,0,99.750
0.16949,255.000,0,111.648
0.33898,255.000,0,119.056
0.50847,249.583,0,132.583
0.67797,241.944,0,156.833
0.84746,219.449,0,170.644
1.01695,201.833,0,184.833
1.18644,203.583,0,200.389
1.35593,204.815,0,227.315
1.52542,190.125,0,248.250
1.69492,153.481,0,255.000
1.86441,112.287,0,255.000
2.03390,82.000,0,255.000
2.20339,69.106,0,253.625
2.37288,64.667,0,247.759
2.54237,62.583,0,250.500
2.71186,60.185,0,244.148
2.88136,55.597,0,249.653
3.05085,55.000,0,255.000
