 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
99,Control5.lif - Series005:0001-0261-0667:z:1/11 - Series005,0.488,101.849,64.181,150.464,120.355,46.988,63.435,2.462
100,Control5.lif - Series005:0001-0184-0838:z:1/11 - Series005,0.358,174.727,103.000,255.000,151.154,33.189,-90.000,1.804
101,Control5.lif - Series005:0001-0199-0842:z:1/11 - Series005,0.488,141.706,78.250,194.439,151.876,35.850,-85.601,2.442
102,Control5.lif - Series005:0001-0324-0946:z:1/11 - Series005,0.846,175.241,45.000,238.080,170.590,58.396,-2.291,4.420
103,Control5.lif - Series005:0007-0321-0658:z:7/11 - Series005,0.390,147.122,60.000,214.690,118.687,57.946,73.301,1.970
104,Control5.lif - Series005:0007-0152-0835:z:7/11 - Series005,0.260,138.330,61.000,181.143,150.478,27.282,-56.310,1.176
105,Control5.lif - Series005:0007-0140-0832:z:7/11 - Series005,0.293,142.301,67.500,203.461,150.027,25.343,-66.801,1.412
106,Control5.lif - Series005:0010-0098-0540:z:10/11 - Series005,0.521,100.409,55.000,138.160,97.493,17.677,-28.301,2.663
107,Control5.lif - Series005:0011-0168-0705:z:11/11 - Series005,0.260,186.365,90.500,247.082,127.119,30.348,-80.538,1.203
108,Control5.lif - Series005:0011-0590-0838:z:11/11 - Series005,0.423,147.104,105.222,175.185,151.215,106.391,14.036,2.205
109,Control5.lif - Series005:0011-0591-0825:z:11/11 - Series005,0.423,142.600,84.333,196.778,148.840,106.722,24.444,2.205
110,Control5.lif - Series005:0007-0513-0970:z:7/11 - Series005,0.390,185.869,74.444,255.000,174.934,92.442,63.435,1.911
111,Control5.lif - Series005:0007-0527-0961:z:7/11 - Series005,0.488,187.888,91.667,241.667,173.341,95.118,94.086,2.528
112,Control5.lif - Series005:0005-0408-0770:z:5/11 - Series005,0.358,152.999,83.333,187.760,138.859,73.683,-45.000,1.873
113,Control5.lif - Series005:0005-0532-0823:z:5/11 - Series005,0.586,176.300,99.667,254.700,148.539,95.990,-45.000,3.062
114,Control5.lif - Series005:0001-0535-0555:z:1/11 - Series005,0.260,136.750,64.333,209.238,100.198,96.561,-15.945,1.313
115,Control5.lif - Series005:0001-0540-0569:z:1/11 - Series005,0.293,158.413,84.333,191.306,102.603,97.433,-23.199,1.485
116,Control5.lif - Series005:0001-0558-0648:z:1/11 - Series005,0.293,152.970,94.000,182.000,116.973,100.740,-50.194,1.455
117,Control5.lif - Series005:0001-0572-0651:z:1/11 - Series005,0.390,157.743,82.000,200.273,117.394,103.325,-74.745,2.028
118,Control5.lif - Series005:0001-0749-0595:z:1/11 - Series005,0.390,186.414,80.333,251.804,107.413,135.251,-37.875,2.057
119,Control5.lif - Series005:0001-0763-0607:z:1/11 - Series005,0.390,166.502,101.778,211.455,109.548,137.747,-48.366,2.048
120,Control5.lif - Series005:0001-0840-0655:z:1/11 - Series005,0.390,141.859,96.000,166.402,118.146,151.515,-26.565,1.990
121,Control5.lif - Series005:0001-0940-0514:z:1/11 - Series005,0.358,194.508,65.667,253.600,92.773,169.583,101.310,1.879
122,Control5.lif - Series005:0001-0957-0509:z:1/11 - Series005,0.358,165.884,62.667,233.800,91.931,172.709,84.289,1.879
123,Control5.lif - Series004:0001-0731-0088:z:1/28 - Series004,0.455,129.665,90.000,158.462,15.783,131.899,-38.660,2.367
124,Control5.lif - Series004:0001-0739-0101:z:1/28 - Series004,0.325,148.787,111.500,170.963,18.173,133.297,-29.745,1.533
125,Control5.lif - Series004:0002-0731-0326:z:2/28 - Series004,0.293,122.167,82.500,158.000,58.712,131.854,-75.964,1.487
126,Control5.lif - Series004:0002-0746-0329:z:2/28 - Series004,0.325,162.660,62.500,239.685,59.434,134.470,-57.995,1.702
127,Control5.lif - Series004:0002-0840-0063:z:2/28 - Series004,0.325,74.037,39.556,102.537,11.364,151.515,-32.005,1.702
128,Control5.lif - Series004:0002-0845-0074:z:2/28 - Series004,0.325,95.369,58.500,110.000,13.438,152.372,-71.565,1.626
129,Control5.lif - Series004:0015-0806-0362:z:15/28 - Series004,0.553,135.885,70.556,171.667,65.476,145.503,-45.000,2.891
130,Control5.lif - Series004:0015-0796-0349:z:15/28 - Series004,0.260,124.305,61.000,151.939,62.891,143.759,-26.565,1.238
131,Control5.lif - Series004:0014-0849-0216:z:14/28 - Series004,0.423,113.251,50.667,136.333,38.901,153.259,-4.764,2.178
132,Control5.lif - Series004:0014-0849-0203:z:14/28 - Series004,0.228,128.292,74.667,189.139,36.646,153.169,18.435,1.065
133,Control5.lif - Series004:0014-0788-0508:z:14/28 - Series004,0.358,106.446,68.333,125.516,91.540,142.045,-36.870,1.720
134,Control5.lif - Series004:0012-0752-0432:z:12/28 - Series004,0.358,115.867,65.000,151.800,78.042,135.642,-48.814,1.878
135,Control5.lif - Series004:0012-0743-0424:z:12/28 - Series004,0.293,147.152,98.667,186.000,76.509,134.049,-39.806,1.455
136,Control5.lif - Series004:0017-0745-0634:z:17/28 - Series004,0.455,151.839,73.111,195.846,114.268,134.380,-41.987,2.342
137,Control5.lif - Series004:0017-0730-0624:z:17/28 - Series004,0.293,128.958,62.556,163.993,112.464,131.734,-56.310,1.372
138,Control5.lif - Series004:0004-0833-0476:z:4/28 - Series004,0.358,131.849,71.333,160.533,85.919,150.433,-77.471,1.751
139,Control5.lif - Series004:0004-0819-0469:z:4/28 - Series004,0.423,112.302,55.000,137.000,84.596,147.787,-80.538,2.076
140,Control5.lif - Series004:0024-0556-0642:z:24/28 - Series004,0.455,132.563,51.000,173.615,115.846,100.289,-90.000,2.347
141,Control5.lif - Series004:0024-0571-0647:z:24/28 - Series004,0.423,151.428,85.000,195.312,116.613,102.859,-90.000,2.074
142,Control5.lif - Series004:0025-0392-0723:z:25/28 - Series004,0.455,90.925,63.000,112.973,130.411,70.572,38.660,2.255
143,Control5.lif - Series004:0024-0378-0745:z:24/28 - Series004,0.423,68.197,29.500,103.694,134.244,68.182,34.992,2.129
144,Control5.lif - Series004:0019-0342-0785:z:19/28 - Series004,0.358,142.413,70.500,173.180,141.595,61.643,96.340,1.723
145,Control5.lif - Series004:0019-0355-0783:z:19/28 - Series004,0.325,136.038,81.750,166.457,141.234,63.943,57.995,1.702
146,Control5.lif - Series004:0019-0288-0667:z:19/28 - Series004,0.521,81.463,27.000,116.517,120.310,51.858,70.346,2.681
147,Control5.lif - Series004:0019-0264-0683:z:19/28 - Series004,0.390,87.642,59.500,102.467,123.061,47.574,48.366,2.045
148,Control5.lif - Series004:0019-0509-0788:z:19/28 - Series004,0.325,125.249,107.000,148.444,142.091,91.811,-69.444,1.575
149,Control5.lif - Series004:0021-0420-0755:z:21/28 - Series004,0.455,153.546,52.500,214.678,136.093,75.712,-53.973,2.381
150,Control5.lif - Series004:0021-0407-0746:z:21/28 - Series004,0.293,121.817,88.250,170.156,134.650,73.368,-54.462,1.479
151,Control5.lif - Series004:0023-0522-0789:z:23/28 - Series004,0.521,115.644,60.250,167.167,142.271,94.156,-50.711,2.622
152,Control5.lif - Series004:0023-0573-0644:z:23/28 - Series004,0.488,147.508,73.250,240.296,116.162,103.310,-94.399,2.442
153,Control5.lif - Series004:0023-0557-0642:z:23/28 - Series004,0.390,99.553,69.500,136.500,115.846,100.469,-90.000,1.986
154,Control5.lif - Series004:0004-0348-0820:z:4/28 - Series004,0.455,122.321,77.500,151.115,147.772,62.771,98.746,2.360
155,Control5.lif - Series004:0004-0329-0820:z:4/28 - Series004,0.358,134.705,74.000,205.250,147.908,59.298,90.000,1.714
156,Control5.lif - Series004:0004-0264-0819:z:4/28 - Series004,0.618,104.351,53.497,143.685,147.727,47.484,93.180,3.162
157,Control5.lif - Series004:0004-0243-0819:z:4/28 - Series004,0.488,102.783,42.000,149.786,147.727,43.696,85.914,2.442
158,Control5.lif - Series004:0004-0316-0615:z:4/28 - Series004,0.390,156.828,86.000,198.591,110.931,56.999,74.745,2.057
159,Control5.lif - Series004:0013-0338-0712:z:13/28 - Series004,0.325,165.852,83.500,205.722,128.382,61.012,-82.875,1.536
160,Control5.lif - Series004:0013-0327-0710:z:13/28 - Series004,0.358,156.336,95.500,238.700,128.157,58.892,-84.289,1.813
