 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,slice5-nmdablocker.lif - Series006:0002-0404-0212:z:2/21 - Series006,0.925,247.106,214.704,255,50.866,97.322,-36.870,3.495
2,slice5-nmdablocker.lif - Series006:0002-0472-0150:z:2/21 - Series006,0.694,252.213,221.556,255,36.075,113.596,-55.008,2.758
3,slice5-nmdablocker.lif - Series006:0002-0381-0228:z:2/21 - Series006,0.521,242.543,192.333,255,54.794,91.791,-54.462,1.912
4,slice5-nmdablocker.lif - Series006:0002-0388-0238:z:2/21 - Series006,0.521,241.647,160.111,255,57.279,93.555,-39.806,1.991
5,slice5-nmdablocker.lif - Series006:0001-0756-0798:z:1/21 - Series006,0.636,245.606,151.667,255,191.879,182.059,6.340,2.347
6,slice5-nmdablocker.lif - Series006:0001-0761-0783:z:1/21 - Series006,0.694,158.657,33.889,255,188.312,182.900,19.983,2.713
7,slice5-nmdablocker.lif - Series006:0001-0794-0711:z:1/21 - Series006,0.694,245.458,196.333,255,171.076,191.037,-45.000,2.730
8,slice5-nmdablocker.lif - Series006:0001-0785-0704:z:1/21 - Series006,0.578,242.248,139.333,255,169.232,188.953,-20.556,2.084
9,slice5-nmdablocker.lif - Series006:0001-0757-0688:z:1/21 - Series006,0.752,239.306,154.222,255,165.424,182.179,0.000,2.807
10,slice5-nmdablocker.lif - Series006:0001-0753-0673:z:1/21 - Series006,0.694,244.858,194.333,255,161.897,181.177,-21.801,2.665
11,slice5-nmdablocker.lif - Series006:0001-0712-0710:z:1/21 - Series006,0.521,173.270,27.000,255,170.835,171.356,60.255,2.023
12,slice5-nmdablocker.lif - Series006:0001-0511-0335:z:1/21 - Series006,0.521,248.722,208.000,255,80.568,122.956,-45.000,2.041
13,slice5-nmdablocker.lif - Series006:0001-0520-0345:z:1/21 - Series006,0.636,244.881,163.500,255,83.123,125.030,-29.055,2.518
14,slice5-nmdablocker.lif - Series006:0002-0647-0378:z:2/21 - Series006,0.347,215.375,63.250,255,91.029,155.634,-21.801,1.319
15,slice5-nmdablocker.lif - Series006:0002-0636-0338:z:2/21 - Series006,0.578,245.707,205.500,255,81.439,152.898,-6.340,2.228
16,slice5-nmdablocker.lif - Series006:0002-0635-0331:z:2/21 - Series006,0.289,227.456,146.875,255,79.636,152.718,-14.036,1.050
17,slice5-nmdablocker.lif - Series006:0002-0652-0388:z:2/21 - Series006,0.636,249.064,193.125,255,93.404,156.896,-26.565,2.289
18,slice5-nmdablocker.lif - Series006:0002-0690-0288:z:2/21 - Series006,0.636,187.359,76.550,255,69.114,165.945,0.000,2.345
