 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,z:6/33 - Series003:0001-0483-0180,0.423,15.026,10.500,21.333,23.268,12.491,0.000,2.166
2,z:6/33 - Series003:0001-0466-0649,0.911,19.200,7.957,40.130,23.449,12.536,23.749,4.927
3,z:6/33 - Series003:0001-0470-0519,0.683,16.455,7.000,29.400,23.359,12.401,21.251,3.517
4,z:6/33 - Series003:0011-0436-0857,2.212,15.823,6.561,40.785,23.223,12.446,13.829,12.162
5,z:6/33 - Series003:0011-0425-0919,1.074,19.387,7.281,40.176,23.313,12.626,8.881,5.753
6,z:6/33 - Series003:0011-0188-1005,0.423,15.712,9.750,22.250,23.359,12.536,0.000,2.165
7,z:6/33 - Series003:0009-0621-0570,0.878,18.426,7.528,38.544,23.268,12.491,32.471,4.753
8,z:6/33 - Series003:0009-0611-0596,0.521,18.387,8.860,29.733,23.313,12.536,36.870,2.634
9,z:6/33 - Series003:0009-0790-0917,0.455,17.093,7.385,29.923,23.449,12.491,28.610,2.305
10,z:6/33 - Series003:0009-0786-0935,0.521,14.268,9.016,20.500,23.404,12.491,0.000,2.617
11,z:6/33 - Series003:0010-0587-0919,0.878,18.202,7.225,36.501,23.359,12.401,25.560,4.638
12,z:6/33 - Series003:0014-0834-0720,0.683,17.881,7.380,27.190,23.313,12.626,39.094,3.649
13,z:6/33 - Series003:0008-0479-0440,0.781,18.776,7.489,37.181,23.313,12.491,26.565,4.155
14,z:6/33 - Series003:0023-0256-0078,1.724,19.673,10.015,43.953,23.449,12.446,50.477,9.353
15,z:6/33 - Series003:0023-0283-0049,0.553,15.696,8.209,23.348,23.313,12.491,7.125,2.832
16,z:6/33 - Series003:0023-0198-0300,0.423,19.281,10.250,26.750,23.223,12.626,52.125,2.113
17,z:6/33 - Series003:0023-0191-0313,0.325,18.115,10.086,28.864,23.313,12.491,45.000,1.658
18,z:6/33 - Series003:0023-0207-0396,0.390,19.676,10.996,26.740,23.223,12.446,73.301,1.911
19,z:6/33 - Series003:0023-0195-0407,0.390,17.396,11.116,23.438,23.404,12.446,63.435,1.978
20,z:6/33 - Series003:0023-0245-0375,0.423,15.837,10.000,22.250,23.359,12.626,-14.036,2.231
21,z:6/33 - Series003:0023-0095-0451,0.455,18.240,10.118,27.704,23.404,12.401,45.000,2.299
