 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
182,Slice1-nmdablocker.lif - Series001:0023-0613-0998:z:23/27 - Series001,0.636,230.220,132.000,255.000,240.079,147.306,53.130,2.479
183,Slice1-nmdablocker.lif - Series001:0023-0604-1007:z:23/27 - Series001,0.521,223.485,159.500,255.000,242.304,145.082,69.444,1.943
184,Slice1-nmdablocker.lif - Series001:0017-0628-0674:z:17/27 - Series001,0.578,186.475,137.500,221.944,162.097,151.094,-12.529,2.246
185,Slice1-nmdablocker.lif - Series001:0017-0624-0660:z:17/27 - Series001,0.752,235.174,129.000,255.000,158.550,149.952,-18.435,2.928
186,Slice1-nmdablocker.lif - Series001:0017-0728-0665:z:17/27 - Series001,0.694,250.172,225.000,255.000,159.812,174.904,149.036,2.745
187,Slice1-nmdablocker.lif - Series001:0017-0721-0649:z:17/27 - Series001,0.868,243.357,98.000,255.000,156.085,173.280,171.870,3.401
188,Slice1-nmdablocker.lif - Series001:0017-0748-0920:z:17/27 - Series001,0.694,237.936,138.000,255.000,221.200,179.954,48.814,2.573
189,Slice1-nmdablocker.lif - Series001:0017-0741-0929:z:17/27 - Series001,0.636,241.003,193.000,255.000,223.545,178.331,45.000,2.381
190,Slice1-nmdablocker.lif - Series001:0017-0762-0905:z:17/27 - Series001,0.752,128.032,59.000,220.944,217.532,183.381,34.992,2.936
191,Slice1-nmdablocker.lif - Series001:0017-0828-0707:z:17/27 - Series001,0.810,233.273,127.000,255.000,170.094,199.194,9.462,3.066
192,Slice1-nmdablocker.lif - Series001:0017-1014-0575:z:17/27 - Series001,0.521,253.889,245.000,255.000,138.167,243.687,-14.036,1.958
193,Slice1-nmdablocker.lif - Series001:0014-1021-0597:z:14/27 - Series001,1.330,50.870,8.000,191.000,143.579,245.551,0.000,5.291
194,Slice1-nmdablocker.lif - Series001:0014-0941-0799:z:14/27 - Series001,0.925,225.653,162.500,255.000,192.220,226.311,-36.870,3.704
195,Slice1-nmdablocker.lif - Series002:0001-0478-0212:z:1/13 - Series002,0.868,240.756,164.500,255.000,50.986,114.959,24.775,3.443
196,Slice1-nmdablocker.lif - Series002:0001-0483-0195:z:1/13 - Series002,1.099,243.203,142.750,255.000,46.777,116.162,29.358,4.415
197,Slice1-nmdablocker.lif - Series002:0001-0552-0179:z:1/13 - Series002,0.752,233.016,129.500,255.000,42.929,132.696,34.992,2.868
198,Slice1-nmdablocker.lif - Series002:0001-0561-0162:z:1/13 - Series002,1.215,191.431,71.920,255.000,38.961,134.800,23.962,4.737
199,Slice1-nmdablocker.lif - Series002:0001-0587-0159:z:1/13 - Series002,0.636,248.622,185.250,255.000,38.179,141.234,-12.529,2.363
200,Slice1-nmdablocker.lif - Series002:0001-0589-0176:z:1/13 - Series002,0.983,244.383,122.750,255.000,42.328,141.715,-14.931,3.766
