 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
144,Slice4-2doses-final.lif - Series003:0005-0885-0597:z:5/30 - Series003,0.455,141.868,57.000,221.702,107.804,159.662,-8.746,2.323
145,Slice4-2doses-final.lif - Series003:0030-0995-0476:z:30/30 - Series003,0.716,143.543,67.277,203.422,85.919,179.503,-21.801,3.797
146,Slice4-2doses-final.lif - Series003:0030-0991-0456:z:30/30 - Series003,0.390,176.214,83.667,252.107,82.341,178.662,-33.690,1.918
147,Slice4-2doses-final.lif - Series003:0030-0964-0475:z:30/30 - Series003,0.423,149.873,74.207,194.333,85.738,173.852,26.565,2.179
148,Slice4-2doses-final.lif - Series003:0007-0689-0503:z:7/30 - Series003,0.586,189.813,91.222,255.000,90.729,124.429,3.366,3.012
149,Slice4-2doses-final.lif - Series003:0010-0659-0503:z:10/30 - Series003,0.618,141.433,53.000,199.778,90.639,118.957,9.462,3.232
150,Slice4-2doses-final.lif - Series003:0006-0515-0959:z:6/30 - Series003,0.553,186.173,82.333,255.000,173.100,92.863,11.310,2.844
151,Slice4-2doses-final.lif - Series003:0024-0892-0352:z:24/30 - Series003,0.521,153.754,82.000,208.480,63.447,160.759,7.595,2.629
152,Slice4-2doses-final.lif - Series003:0024-0891-0332:z:24/30 - Series003,0.390,171.220,119.000,230.347,59.839,160.714,-10.305,1.928
153,Slice4-2doses-final.lif - Series003:0024-0911-0317:z:24/30 - Series003,0.683,175.237,52.000,244.000,57.134,164.232,11.889,3.591
154,Slice4-2doses-final.lif - Series003:0009-0912-0421:z:9/30 - Series003,0.358,119.249,83.100,180.080,75.938,164.502,23.962,1.776
155,Slice4-2doses-final.lif - Series003:0016-0977-0341:z:16/30 - Series003,0.455,141.798,36.000,221.541,61.418,176.091,38.660,2.255
156,Slice4-2doses-final.lif - Series003:0016-0973-0362:z:16/30 - Series003,0.748,139.958,60.500,238.439,65.341,175.460,19.290,3.879
157,Slice4-2doses-final.lif - Series003:0013-0949-0388:z:13/30 - Series003,0.455,177.515,28.500,248.787,69.940,171.176,32.471,2.428
158,Slice4-2doses-final.lif - Series003:0006-0697-0481:z:6/30 - Series003,0.781,178.634,28.000,255.000,86.760,125.676,23.199,4.086
159,Slice4-2doses-final.lif - Series003:0001-0825-0224:z:1/30 - Series003,0.586,70.540,53.000,86.938,40.494,148.900,25.017,2.986
160,Slice4-2doses-final.lif - Series002:0019-0583-0810:z:19/29 - Series002,0.878,135.165,79.000,193.445,146.059,105.069,23.499,4.607
161,Slice4-2doses-final.lif - Series002:0019-0763-0614:z:19/29 - Series002,0.488,80.431,62.500,117.561,110.660,137.671,26.565,2.462
162,Slice4-2doses-final.lif - Series002:0019-0710-0705:z:19/29 - Series002,0.455,138.396,56.000,221.976,127.119,128.021,57.529,2.327
163,Slice4-2doses-final.lif - Series002:0019-0724-0694:z:19/29 - Series002,0.586,115.217,16.000,161.647,125.225,130.592,61.928,3.110
164,Slice4-2doses-final.lif - Series002:0021-0877-0696:z:21/29 - Series002,0.553,44.115,30.092,79.578,125.406,158.189,32.735,2.927
165,Slice4-2doses-final.lif - Series002:0021-0790-0540:z:21/29 - Series002,0.813,83.783,53.000,114.667,97.357,142.451,45.000,4.338
166,Slice4-2doses-final.lif - Series002:0022-0658-0536:z:22/29 - Series002,0.488,140.323,73.000,210.327,96.726,118.777,53.973,2.507
167,Slice4-2doses-final.lif - Series002:0023-0572-0834:z:23/29 - Series002,0.618,120.871,66.500,164.000,150.433,103.084,40.601,3.326
168,Slice4-2doses-final.lif - Series002:0002-0695-0550:z:2/29 - Series002,0.618,115.621,55.500,139.500,99.161,125.225,42.709,3.199
