 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Control4.lif - Series004:0001-0505-0348:z:1/32 - Series004,0.586,198.564,64.000,255.000,62.725,91.089,28.072,2.987
2,Control4.lif - Series004:0001-0476-0208:z:1/32 - Series004,0.683,148.308,59.000,255.000,37.428,85.813,26.565,3.591
3,Control4.lif - Series004:0001-0515-0325:z:1/32 - Series004,0.553,125.678,66.000,204.000,58.712,92.893,21.801,2.914
4,Control4.lif - Series004:0001-0545-0385:z:1/32 - Series004,0.781,201.409,104.500,255.000,69.444,98.395,41.424,4.089
5,Control4.lif - Series004:0006-0515-0324:z:6/32 - Series004,0.618,187.754,106.000,253.833,58.487,92.803,26.565,3.308
6,Control4.lif - Series004:0006-0506-0348:z:6/32 - Series004,0.553,157.783,37.000,255.000,62.680,91.270,29.745,2.908
7,Control4.lif - Series004:0006-0321-0039:z:6/32 - Series004,0.455,233.385,181.000,255.000,6.944,57.855,81.254,2.283
8,Control4.lif - Series004:0006-0370-0367:z:6/32 - Series004,0.358,135.554,66.438,186.938,66.153,66.604,33.690,1.826
9,Control4.lif - Series004:0006-0591-0200:z:6/32 - Series004,0.716,153.532,105.365,213.000,36.165,106.557,57.095,3.728
10,Control4.lif - Series004:0006-0572-0323:z:6/32 - Series004,0.878,196.401,107.000,255.000,58.216,103.039,-96.582,4.622
11,Control4.lif - Series004:0024-0313-0403:z:24/32 - Series004,0.423,231.605,150.250,255.000,72.646,56.503,41.634,2.168
12,Control4.lif - Series004:0024-0325-0395:z:24/32 - Series004,0.358,202.909,81.000,255.000,71.338,58.622,73.301,1.883
13,Control4.lif - Series004:0022-0471-0433:z:22/32 - Series004,0.618,24.285,11.735,36.569,78.057,85.047,45.000,3.253
14,Control4.lif - Series004:0022-0461-0253:z:22/32 - Series004,0.553,157.321,57.750,235.805,45.590,83.198,21.801,2.866
15,Control4.lif - Series004:0022-0314-0404:z:22/32 - Series004,0.358,165.232,124.500,210.500,72.826,56.638,45.000,1.850
16,Control4.lif - Series004:0022-0034-0854:z:22/32 - Series004,0.423,220.407,99.000,255.000,153.950,6.133,48.366,2.172
17,Control4.lif - Series004:0022-0050-0843:z:22/32 - Series004,0.488,142.327,59.000,233.286,152.101,8.974,53.973,2.437
18,Control4.lif - Series004:0022-0151-0826:z:22/32 - Series004,0.813,201.306,126.500,255.000,148.990,27.192,51.710,4.296
19,Control4.lif - Series004:0018-0072-0601:z:18/32 - Series004,0.618,136.175,57.000,205.000,108.496,13.077,-67.620,3.316
20,Control4.lif - Series004:0018-0055-0591:z:18/32 - Series004,0.423,184.761,119.000,230.188,106.466,9.876,-48.366,2.183
21,Control4.lif - Series004:0018-0039-0725:z:18/32 - Series004,0.553,156.566,87.250,255.000,130.772,6.944,47.490,2.936
22,Control4.lif - Series004:0018-0022-0741:z:18/32 - Series004,0.455,127.264,68.808,168.559,133.703,3.878,51.340,2.367
23,Control4.lif - Series004:0018-0765-0287:z:18/32 - Series004,0.716,193.839,94.750,255.000,51.768,138.032,63.435,3.711
24,Control4.lif - Series004:0018-0853-0044:z:18/32 - Series004,0.586,168.386,110.250,211.683,7.937,153.905,47.490,3.003
25,Control4.lif - Series004:0018-0871-0033:z:18/32 - Series004,0.358,138.658,90.750,172.040,5.817,157.152,53.130,1.826
26,Control4.lif - Series004:0018-0920-0007:z:18/32 - Series004,0.716,210.205,68.000,255.000,1.127,166.035,100.784,3.840
27,Control4.lif - Series004:0018-0947-0005:z:18/32 - Series004,0.683,174.327,82.897,255.000,0.857,170.770,86.987,3.528
28,Control4.lif - Series004:0018-1009-0009:z:18/32 - Series004,0.423,139.960,65.000,198.833,1.488,181.953,-48.366,2.183
29,Control4.lif - Series004:0014-0901-0109:z:14/32 - Series004,0.455,131.683,90.820,171.198,19.616,162.563,41.634,2.299
30,Control4.lif - Series004:0014-0854-0046:z:14/32 - Series004,0.651,189.418,56.500,246.681,8.297,154.040,55.491,3.502
31,Control4.lif - Series004:0014-0872-0034:z:14/32 - Series004,0.586,177.982,68.158,254.323,6.043,157.152,54.462,3.030
32,Control4.lif - Series004:0014-0914-0098:z:14/32 - Series004,0.358,87.173,36.500,133.000,17.541,164.953,41.186,1.850
33,Control4.lif - Series004:0010-0138-0189:z:10/32 - Series004,0.455,133.187,92.538,170.308,34.046,24.847,57.529,2.383
34,Control4.lif - Series004:0010-0239-0151:z:10/32 - Series004,0.488,159.400,127.000,203.857,27.146,43.200,175.914,2.532
35,Control4.lif - Series004:0010-0240-0168:z:10/32 - Series004,0.390,167.591,106.000,213.773,30.393,43.200,10.305,2.017
