X0,Y0,Y1,Y2
0.00000,255.000,0,118.000
0.16949,255.000,0,109.515
0.33898,255.000,0,107.129
0.50847,246.056,0,108.706
0.67797,247.625,0,102.825
0.84746,250.510,0,113.948
1.01695,255.000,0,109.700
1.18644,255.000,0,105.358
1.35593,255.000,0,100.567
1.52542,255.000,0,98.881
1.69492,255.000,0,110.208
1.86441,255.000,0,127.742
2.03390,255.000,0,148.650
2.20339,255.000,0,198.087
2.37288,255.000,0,245.046
2.54237,255.000,0,254.750
2.71186,254.567,0,255.000
2.88136,233.823,0,255.000
3.05085,181.038,0,255.000
3.22034,133.802,0,255.000
3.38983,108.167,0,255.000
3.55932,94.444,0,255.000
3.72881,81.438,0,255.000
3.89831,65.906,0,255.000
4.06780,67.250,0,255.000
4.23729,61.521,0,255.000
4.40678,62.513,0,255.000
4.57627,61.894,0,255.000
4.74576,62.467,0,255.000
4.91525,58.425,0,255.000
5.08475,57.875,0,253.875
