X0,Y0,Y1,Y2
0.00000,229.750,0,66.250
0.16949,255.000,0,61.960
0.33898,247.920,0,66.600
0.50847,255.000,0,70.340
0.67797,255.000,0,65.070
0.84746,255.000,0,77.750
1.01695,255.000,0,78.880
1.18644,255.000,0,80.820
1.35593,255.000,0,80.740
1.52542,255.000,0,81.330
1.69492,255.000,0,78.000
1.86441,255.000,0,81.860
2.03390,255.000,0,85.150
2.20339,255.000,0,77.850
2.37288,255.000,0,68.480
2.54237,255.000,0,63.600
2.71186,239.880,0,64.420
2.88136,224.530,0,65.190
3.05085,216.100,0,76.740
3.22034,212.770,0,72.240
3.38983,216.050,0,77.050
3.55932,237.290,0,78.850
3.72881,227.500,0,80.980
3.89831,253.470,0,92.120
4.06780,251.030,0,103.090
4.23729,255.000,0,111.250
4.40678,255.000,0,125.800
4.57627,255.000,0,140.890
4.74576,241.710,0,143.450
4.91525,177.630,0,143.080
5.08475,119.200,0,141.100
5.25424,96.600,0,138.830
5.42373,89.940,0,140.250
5.59322,100.340,0,150.430
5.76271,127.760,0,139.020
5.93220,116.600,0,132.500
6.10170,117.730,0,131.310
6.27119,119.390,0,129.620
6.44068,96.440,0,141.880
6.61017,78.870,0,149.290
6.77966,75.350,0,158.400
6.94915,66.620,0,178.470
7.11864,52.060,0,181.200
7.28814,36.350,0,184.720
7.45763,35.880,0,199.660
7.62712,29.650,0,215.900
7.79661,28.540,0,213.700
7.96610,33.170,0,207.170
8.13559,38.900,0,198.890
8.30509,41.130,0,182.700
8.47458,32.500,0,165.000
