X0,Y0,Y1,Y2
0.00000,255.000,0,66.000
0.16949,255.000,0,64.527
0.33898,255.000,0,66.977
0.50847,255.000,0,69.392
0.67797,255.000,0,69.952
0.84746,255.000,0,68.604
1.01695,255.000,0,75.781
1.18644,255.000,0,78.252
1.35593,255.000,0,81.386
1.52542,241.514,0,92.772
1.69492,189.868,0,118.864
1.86441,158.150,0,144.878
2.03390,141.249,0,163.586
2.20339,134.305,0,171.592
2.37288,155.322,0,208.681
2.54237,147.938,0,214.535
2.71186,138.155,0,210.400
2.88136,124.067,0,205.303
3.05085,113.375,0,220.941
3.22034,103.476,0,219.590
3.38983,101.717,0,208.597
3.55932,108.489,0,200.582
3.72881,113.630,0,183.852
3.89831,108.049,0,182.257
4.06780,98.483,0,188.947
4.23729,89.825,0,182.214
4.40678,82.332,0,173.692
4.57627,70.094,0,178.406
4.74576,66.704,0,167.614
4.91525,59.070,0,169.196
5.08475,50.336,0,165.283
5.25424,46.000,0,161.000
