X0,Y0,Y1,Y2
0.00000,61.062,155.375,0
0.16949,57.725,222.139,0
0.33898,58.983,255.000,0
0.50847,61.751,253.233,0
0.67797,59.427,214.127,0
0.84746,65.655,103.943,0
1.01695,66.932,81.302,0
1.18644,71.760,77.969,0
1.35593,79.668,72.772,0
1.52542,87.134,65.811,0
1.69492,99.357,64.308,0
1.86441,113.156,50.906,0
2.03390,128.924,72.474,0
2.20339,142.317,75.822,0
2.37288,165.101,71.005,0
2.54237,203.143,78.162,0
2.71186,228.009,82.158,0
2.88136,232.832,74.199,0
3.05085,224.254,88.262,0
3.22034,222.770,94.543,0
3.38983,213.383,113.442,0
3.55932,211.943,88.925,0
3.72881,184.375,75.500,0
