X0,Y0,Y1,Y2
0.0000,114.000,0,62.000
0.1695,141.556,0,66.778
0.3390,170.222,0,67.333
0.5085,182.333,0,70.667
0.6780,185.889,0,74.333
0.8475,195.444,0,75.222
1.0169,208.333,0,83.333
1.1864,224.667,0,85.889
1.3559,228.333,0,77.222
1.5254,229.000,0,88.000
1.6949,236.333,0,86.444
1.8644,247.222,0,83.444
2.0339,249.667,0,84.333
2.2034,255.000,0,78.444
2.3729,255.000,0,75.111
2.5424,255.000,0,73.333
2.7119,255.000,0,75.000
2.8814,255.000,0,74.667
3.0508,255.000,0,69.000
3.2203,255.000,0,67.667
3.3898,251.667,0,74.111
3.5593,238.333,0,69.333
3.7288,228.333,0,64.000
3.8983,216.667,0,63.556
4.0678,212.333,0,68.000
4.2373,200.556,0,66.111
4.4068,186.556,0,69.889
4.5763,180.000,0,63.000
4.7458,175.778,0,73.556
4.9153,152.000,0,78.000
5.0847,137.667,0,91.667
5.2542,117.667,0,105.667
5.4237,107.889,0,125.333
5.5932,103.000,0,145.667
5.7627,107.333,0,166.667
5.9322,93.667,0,190.333
6.1017,77.000,0,208.000
6.2712,74.889,0,218.889
6.4407,70.556,0,226.222
6.6102,67.333,0,225.000
6.7797,65.444,0,226.556
6.9492,65.111,0,217.111
7.1186,65.667,0,208.667
7.2881,73.000,0,215.000
7.4576,75.556,0,219.667
7.6271,73.000,0,214.000
7.7966,65.111,0,204.889
7.9661,68.667,0,210.333
8.1356,68.333,0,214.667
8.3051,70.333,0,210.556
8.4746,72.667,0,214.667
8.6441,66.000,0,218.333
8.8136,62.333,0,209.444
8.9831,56.333,0,211.667
9.1525,56.000,0,212.000
9.3220,60.333,0,217.222
9.4915,68.444,0,211.000
9.6610,64.667,0,210.667
9.8305,62.222,0,211.889
10.0000,60.889,0,217.556
10.1695,54.667,0,221.667
10.3390,54.667,0,222.333
10.5085,54.000,0,235.222
10.6780,51.000,0,248.000
10.8475,55.000,0,253.889
11.0169,61.556,0,255.000
11.1864,64.333,0,242.333
