X0,Y0,Y1,Y2
0.00000,0.000,187.444,0
0.16949,0.000,186.093,0
0.33898,12.942,110.813,0
0.50847,41.564,35.387,0
0.67797,87.840,4.960,0
0.84746,131.444,0.000,0
1.01695,147.151,0.000,0
1.18644,190.120,0.000,0
1.35593,156.902,0.000,0
1.52542,133.853,0.000,0
1.69492,160.000,0.000,0
1.86441,88.951,0.000,0
2.03390,68.178,0.000,0
2.20339,92.453,0.000,0
2.37288,84.938,0.000,0
2.54237,140.000,3.556,0
2.71186,185.773,0.853,0
2.88136,228.111,0.000,0
3.05085,191.560,0.000,0
3.22034,110.013,0.000,0
3.38983,29.333,0.000,0
