X0,Y0,Y1,Y2
0.00000,183.000,0,97.333
0.16949,233.838,0,102.887
0.33898,253.694,0,106.476
0.50847,249.238,0,113.187
0.67797,201.542,0,127.556
0.84746,143.080,0,156.027
1.01695,140.359,0,176.226
1.18644,111.261,0,211.534
1.35593,83.152,0,239.701
1.52542,76.487,0,255.000
1.69492,70.400,0,255.000
1.86441,57.971,0,255.000
2.03390,54.100,0,255.000
2.20339,48.610,0,255.000
2.37288,48.321,0,255.000
2.54237,42.080,0,255.000
2.71186,42.154,0,255.000
2.88136,40.659,0,254.495
3.05085,42.459,0,255.000
3.22034,44.855,0,254.757
3.38983,42.613,0,249.720
3.55932,46.446,0,253.477
3.72881,47.541,0,241.483
3.89831,50.397,0,241.425
4.06780,47.094,0,235.962
4.23729,47.000,0,222.667
