X0,Y0,Y1,Y2
0.00000,20.444,80.4382,0
0.16949,21.562,87.0171,0
0.33898,23.568,95.8145,0
0.50847,22.705,91.1792,0
0.67797,24.000,94.4667,0
0.84746,23.822,94.5282,0
1.01695,19.194,103.2558,0
1.18644,20.950,113.5465,0
1.35593,22.895,116.4000,0
1.52542,35.780,122.2606,0
1.69492,45.421,147.8064,0
1.86441,48.712,147.6383,0
2.03390,58.300,112.1273,0
2.20339,96.516,83.5141,0
2.37288,210.611,79.0701,0
2.54237,255.000,76.5000,0
2.71186,255.000,69.1806,0
2.88136,255.000,63.8146,0
3.05085,255.000,64.0772,0
3.22034,255.000,66.2817,0
3.38983,255.000,67.4488,0
3.55932,252.736,67.7612,0
3.72881,255.000,67.3366,0
3.89831,255.000,64.7495,0
4.06780,240.935,63.8787,0
4.23729,217.844,65.1734,0
