X0,Y0,Y1,Y2
0.00000,255.000,0,104.500
0.16949,255.000,0,112.535
0.33898,255.000,0,123.558
0.50847,255.000,0,130.349
0.67797,252.953,0,140.547
0.84746,244.988,0,147.174
1.01695,211.593,0,163.453
1.18644,166.953,0,185.744
1.35593,138.093,0,194.314
1.52542,130.767,0,187.698
1.69492,136.756,0,176.116
1.86441,146.291,0,181.337
2.03390,143.640,0,186.221
2.20339,138.360,0,184.465
2.37288,145.942,0,184.837
2.54237,133.221,0,191.000
2.71186,122.279,0,199.988
2.88136,115.221,0,213.023
3.05085,116.581,0,231.047
3.22034,127.279,0,246.279
3.38983,122.372,0,253.674
3.55932,115.826,0,254.674
3.72881,107.872,0,255.000
3.89831,106.372,0,247.453
4.06780,104.814,0,241.058
4.23729,100.512,0,230.919
4.40678,91.965,0,219.977
4.57627,91.151,0,224.221
4.74576,93.651,0,226.349
4.91525,92.872,0,222.128
5.08475,88.791,0,214.686
5.25424,85.314,0,219.093
5.42373,83.686,0,221.791
5.59322,79.058,0,216.593
5.76271,79.047,0,223.419
5.93220,77.930,0,226.663
6.10170,79.651,0,221.826
6.27119,81.116,0,217.744
6.44068,78.512,0,209.686
6.61017,81.372,0,214.035
6.77966,84.744,0,209.558
6.94915,80.081,0,197.023
7.11864,79.140,0,183.581
7.28814,85.500,0,188.000
