X0,Y0,Y1,Y2
0.00000,223.250,0.000,0
0.17094,255.000,0.000,0
0.34188,205.896,0.000,0
0.51282,255.000,0.000,0
0.68376,200.650,0.000,0
0.85470,255.000,0.000,0
1.02564,253.800,0.000,0
1.19658,255.000,0.000,0
1.36752,255.000,0.000,0
1.53846,255.000,0.000,0
1.70940,255.000,0.000,0
1.88034,255.000,0.000,0
2.05128,255.000,5.161,0
2.22222,255.000,20.467,0
2.39316,255.000,104.130,0
2.56410,255.000,228.502,0
2.73504,255.000,254.008,0
2.90598,255.000,255.000,0
3.07692,255.000,255.000,0
3.24786,255.000,255.000,0
3.41880,255.000,255.000,0
3.58974,255.000,255.000,0
3.76068,231.635,255.000,0
3.93162,128.000,255.000,0
4.10256,3.539,255.000,0
4.27350,0.000,255.000,0
4.44444,0.000,255.000,0
4.61538,0.000,255.000,0
4.78632,0.000,205.196,0
4.95726,0.000,144.528,0
5.12821,0.000,156.066,0
5.29915,0.000,183.107,0
5.47009,0.000,219.617,0
5.64103,0.000,249.767,0
5.81197,0.000,255.000,0
5.98291,4.129,252.269,0
6.15385,0.000,255.000,0
6.32479,92.733,234.635,0
6.49573,0.000,255.000,0
6.66667,0.000,255.000,0
6.83761,0.000,255.000,0
7.00855,0.000,222.884,0
7.17949,0.000,193.813,0
7.35043,0.000,201.718,0
7.52137,0.000,196.509,0
7.69231,15.412,195.123,0
7.86325,32.000,255.000,0
