 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice4-3doses.lif - Image008:0111-0221,0.716,215.570,89.250,255.000,39.728,19.931,48.814,3.776
2,Slice4-3doses.lif - Image008:0096-0237,0.358,171.527,111.550,232.800,42.839,17.361,57.995,1.779
3,Slice4-3doses.lif - Image008:0190-0262,0.586,241.210,169.000,255.000,47.213,34.226,49.764,3.085
4,Slice4-3doses.lif - Image008:0195-0172,0.521,229.858,56.000,255.000,31.115,35.128,55.305,2.778
5,Slice4-3doses.lif - Image008:0323-0078,0.586,245.917,149.750,255.000,13.979,58.171,45.000,3.061
6,Slice4-3doses.lif - Image008:0298-0088,0.748,209.588,117.000,251.831,15.738,53.707,79.216,3.929
7,Slice4-3doses.lif - Image008:0306-0094,0.455,65.646,30.169,95.139,16.910,55.285,57.529,2.401
8,Slice4-3doses.lif - Image008:0177-0184,0.293,189.911,152.000,255.000,33.189,32.017,66.801,1.374
9,Slice4-3doses.lif - Image008:0485-0379,0.683,250.236,182.250,255.000,68.407,87.392,53.130,3.662
10,Slice4-3doses.lif - Image008:0491-0355,0.651,243.078,94.000,255.000,64.078,88.609,49.399,3.453
11,Slice4-3doses.lif - Image008:0503-0367,0.358,191.455,63.500,253.425,66.243,90.639,53.130,1.859
12,Slice4-3doses.lif - Image008:0510-0342,0.683,240.114,159.000,255.000,61.598,91.946,51.340,3.536
13,Slice4-3doses.lif - Image008:0684-0140,0.390,212.394,55.500,255.000,25.117,123.467,56.310,1.903
14,Slice4-3doses.lif - Image008:0719-0114,2.017,154.543,48.401,255.000,20.473,129.645,60.489,11.064
15,Slice4-3doses.lif - Image008:0477-0035,0.488,241.652,162.000,255.000,6.313,86.084,48.013,2.494
16,Slice4-3doses.lif - Image008:0463-0048,0.455,158.036,71.500,219.882,8.748,83.514,57.529,2.352
17,Slice4-3doses.lif - Image008:0818-0050,0.586,248.221,147.000,255.000,8.883,147.547,54.462,3.052
18,Slice4-3doses.lif - Image008:0805-0062,0.358,191.144,82.500,255.000,11.138,145.202,57.995,1.751
19,Slice4-3doses.lif - Image008:0894-0058,0.423,239.339,103.000,255.000,10.507,161.120,90.000,2.076
20,Slice4-3doses.lif - Image008:0708-0282,0.423,234.285,148.000,255.000,50.866,127.570,90.000,2.074
21,Slice4-3doses.lif - Series006:0002-0854-0240:z:2/27 - Series006,0.748,239.853,163.750,255.000,43.245,153.995,59.931,3.995
22,Slice4-3doses.lif - Series006:0002-0872-0226:z:2/27 - Series006,0.586,151.121,44.500,198.478,40.630,157.242,47.291,3.064
23,Slice4-3doses.lif - Series006:0002-0770-0398:z:2/27 - Series006,0.651,146.483,47.000,232.298,71.654,138.934,71.565,3.481
24,Slice4-3doses.lif - Series006:0002-0795-0389:z:2/27 - Series006,0.651,215.505,138.427,255.000,70.076,143.353,72.474,3.508
25,Slice4-3doses.lif - Series006:0002-0720-0397:z:2/27 - Series006,0.423,100.251,30.000,231.889,71.699,129.960,65.556,2.179
26,Slice4-3doses.lif - Series006:0002-0417-0191:z:2/27 - Series006,0.488,230.357,97.500,255.000,34.452,75.216,-77.905,2.583
27,Slice4-3doses.lif - Series006:0002-0402-0185:z:2/27 - Series006,0.325,240.733,183.000,255.000,33.369,72.466,-60.255,1.533
28,Slice4-3doses.lif - Series006:0002-0589-0131:z:2/27 - Series006,0.748,237.223,146.750,255.000,23.584,106.196,-64.654,3.913
29,Slice4-3doses.lif - Series006:0002-0596-0272:z:2/27 - Series006,0.521,222.293,106.500,255.000,49.017,107.368,70.346,2.629
30,Slice4-3doses.lif - Series006:0002-0645-0198:z:2/27 - Series006,0.455,232.701,104.500,255.000,35.804,116.342,32.471,2.352
31,Slice4-3doses.lif - Series006:0002-0281-0538:z:2/27 - Series006,0.553,250.036,226.000,255.000,97.042,50.776,-127.569,2.958
32,Slice4-3doses.lif - Series006:0002-0348-0421:z:2/27 - Series006,0.455,225.890,93.000,255.000,75.938,62.816,28.610,2.305
33,Slice4-3doses.lif - Series006:0002-0262-0549:z:2/27 - Series006,0.390,228.441,172.000,255.000,98.891,47.213,79.695,1.913
34,Slice4-3doses.lif - Series006:0002-0491-0471:z:2/27 - Series006,0.846,225.623,92.500,255.000,84.912,88.564,59.421,4.564
35,Slice4-3doses.lif - Series006:0002-0375-0386:z:2/27 - Series006,0.455,233.223,150.750,255.000,69.535,67.505,38.660,2.255
36,Slice4-3doses.lif - Series006:0002-0135-0754:z:2/27 - Series006,0.293,223.479,152.000,255.000,135.868,24.215,63.435,1.493
37,Slice4-3doses.lif - Series006:0002-0121-0761:z:2/27 - Series006,0.325,245.975,188.750,255.000,137.175,21.825,77.471,1.663
38,Slice4-3doses.lif - Series006:0002-0173-0789:z:2/27 - Series006,0.553,162.870,127.750,198.906,142.226,31.295,26.565,2.823
39,Slice4-3doses.lif - Series006:0002-0167-0770:z:2/27 - Series006,0.325,195.967,130.333,244.000,138.979,30.213,71.565,1.711
40,Slice4-3doses.lif - Series006:0002-0185-0761:z:2/27 - Series006,0.553,161.166,78.125,253.477,137.356,33.369,63.435,2.823
41,Slice4-3doses.lif - Series006:0002-0256-0737:z:2/27 - Series006,0.228,227.598,152.000,255.000,132.891,46.221,38.660,1.148
42,Slice4-3doses.lif - Series006:0002-0269-0725:z:2/27 - Series006,0.358,110.245,63.230,199.760,130.862,48.611,45.000,1.786
43,Slice4-3doses.lif - Series006:0002-0253-0801:z:2/27 - Series006,0.521,253.000,223.000,255.000,144.435,45.635,61.699,2.707
44,Slice4-3doses.lif - Series006:0002-0247-0782:z:2/27 - Series006,0.390,249.483,213.500,255.000,141.098,44.598,68.199,2.061
45,Slice4-3doses.lif - Series006:0002-0270-0793:z:2/27 - Series006,0.293,194.153,107.000,247.000,143.038,48.701,45.000,1.531
46,Slice4-3doses.lif - Series006:0002-0031-1013:z:2/27 - Series006,0.553,244.996,92.000,255.000,182.585,5.637,-7.125,2.832
47,Slice4-3doses.lif - Series006:0002-0033-0994:z:2/27 - Series006,0.390,202.502,77.000,255.000,179.293,5.817,21.801,1.911
