Length 
3.652
2.282
2.706
3.37
3.082
2.345
3.088
3.15
2.352
3.072
3.956
2.583
2.453
3.155
2.936
1.804
2.975
2.345
3.072
1.663
3.719
2.583
3.956
2.747
2.852
2.282
3.553
2.26
4.164
2.986
4.113
2.407
3.355
1.951
3.072
4.857
3.885
3.608
2.369
3.103
3.587
3.271
2.776
2.977
2.551
3.689
3.282
3.082
2.016
2.858
3.512
3.553
3.129
3.487
2.548
2.044
3.487
2.637
2.83
3.651
3.97
3.551
3.127
3.405
2.805
2.67
2.626
2.797
3.462
2.689
2.807
3.028
4.311
2.582
1.99
2.297
3.073
3.163
3.066
3.496
3.496
3.317
2.453
3.284
1.972
2.745
3.401
2.217
3.569
2.381
2.058
2.64
2.194
2.768
2.211
3.302
3.575
2.648
2.211
2.211
2.055
2.127
2.479
1.832
3.236
2.131
3.066
2.297
3.009
1.407
2.747
3.487
1.901
2.502
3.227
1.563
1.701
2.069
2.31
2.048
2.573
1.99
2.557
1.775
2.891
2.141
3.127
2.435
2.288
3.403
2.044
3.103
3.618
3.446
2.525
2.852
2.42
1.663
1.663
1.663
2.506
3.082
3.326
3.061
2.512
3.15
3.403
2.975
2.017
2.706
1.992
2.936
3.902
3.227
3.252
1.917
2.681
2.352
3.835
2.506
3.066
3.894
2.26
2.753
3.155
2.712
3.252
2.017
2.852
2.345
3.719
2.806
2.42
3.316
2.31
3.247
3.292
3.608
4.704
2.31
2.892
2.936
2.823
3.326
3.63
3.826
4.089
4.524
2.852
3.652
2.886
2.525
3.63
1.613
2.706
3.15
3.252
2.747
4.053
2.806
3.227
