 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice1-3doses.lif - Image006:0230-0221,1.171,180.374,75.302,255,39.728,41.531,-30.964,6.281
2,Slice1-3doses.lif - Image006:0218-0190,0.293,221.413,92,255,34.181,39.277,-20.556,1.512
3,Slice1-3doses.lif - Image006:0248-0042,0.553,234.889,98.75,255,7.486,44.688,-26.565,2.865
4,Slice1-3doses.lif - Image006:0363-0351,0.553,99.081,0,255,63.312,65.566,-26.565,2.823
5,Slice1-3doses.lif - Image006:0341-0334,0.813,224.17,107,255,60.2,61.508,-31.759,4.379
6,Slice1-3doses.lif - Image006:0482-0305,0.651,198.001,33,255,54.969,87.031,-53.746,3.409
7,Slice1-3doses.lif - Image006:0461-0284,0.748,207.442,103.975,255,51.091,83.153,-37.875,4.042
8,Slice1-3doses.lif - Image006:0537-0517,0.651,212.6,75.75,255,93.299,96.771,-32.005,3.48
9,Slice1-3doses.lif - Image006:0547-0540,0.488,194.941,21,255,97.493,98.62,-21.038,2.546
10,Slice1-3doses.lif - Image006:0719-0733,1.009,206.318,118.823,254.137,132.08,129.6,-36.87,5.339
11,Slice1-3doses.lif - Image006:0735-0762,0.716,230.158,68,255,137.311,132.576,-31.43,3.728
12,Slice1-3doses.lif - Image006:0686-0616,0.521,160.941,31,248.093,111.021,123.782,-33.69,2.652
13,Slice1-3doses.lif - Image006:0701-0628,0.39,164.182,76.75,230.636,113.276,126.398,-29.055,1.903
14,Slice1-3doses.lif - Image006:0740-0656,0.716,228.235,44,255,118.281,133.478,-43.025,3.767
15,Slice1-3doses.lif - Image006:0313-0668,0.488,235.209,131.5,255,120.4,56.503,-26.565,2.462
16,Slice1-3doses.lif - Image006:0833-0649,0.716,132.294,45.956,255,117.063,150.162,-22.834,3.719
17,Slice1-3doses.lif - Image006:0883-0805,0.488,191.066,13,255,145.157,159.361,-21.038,2.597
18,Slice1-3doses.lif - Image006:0892-0826,0.521,221.888,72,255,148.99,160.759,-23.199,2.713
19,Slice1-3doses.lif - Image006:0722-0951,0.651,223.234,69.893,255,171.537,130.186,-27.897,3.428
20,Slice1-3doses.lif - Image006:0762-0994,0.586,233.98,128,255,179.293,137.446,-30.964,3.155
21,Slice1-3doses.lif - Image006:0775-1012,0.455,193.369,55,247.25,182.449,139.655,-38.66,2.255
22,Slice1-3doses.lif - Image006:0867-0882,0.586,213.942,0,255,159.136,156.25,-20.556,3.137
23,Slice1-3doses.lif - Image006:0874-0905,0.553,222.844,80.594,255,163.149,157.738,-10.62,2.936
24,Slice1-3doses.lif - Image006:0823-0982,0.586,130.58,12.673,255,177.128,148.313,-20.556,3.052
25,Slice1-3doses.lif - Image006:0820-0960,0.553,193.616,38.5,255,173.205,147.772,-23.199,2.797
26,Slice1-3doses.lif - Image006:0601-0877,0.358,226.1,50,255,158.054,108.496,-16.699,1.797
27,Slice1-3doses.lif - Image006:0607-0893,0.423,217.294,38,255,161.165,109.533,-19.983,2.144
28,Slice1-3doses.lif - Image006:0591-0732,0.488,227.095,23.5,255,131.944,106.602,-30.256,2.506
29,Slice1-3doses.lif - Image006:0601-0751,0.488,144.741,72.193,211.597,135.507,108.36,-22.62,2.463
