 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
100,Control6.lif - Series003:0007-0386-0878:z:7/16 - Series003,0.694,75.686,62.500,93.835,211.039,92.833,26.565,2.689
101,Control6.lif - Series003:0007-0395-0863:z:7/16 - Series003,0.694,70.059,37.500,98.368,207.431,94.998,41.186,2.557
102,Control6.lif - Series003:0016-0604-0597:z:16/16 - Series003,0.694,137.464,57.333,202.769,143.579,145.262,79.695,2.610
103,Control6.lif - Series003:0016-0536-0667:z:16/16 - Series003,0.636,102.188,42.000,138.889,160.574,128.988,23.962,2.367
104,Control6.lif - Series003:0001-0230-0646:z:1/16 - Series003,0.578,57.065,13.191,110.605,155.303,55.375,40.601,2.211
105,Control6.lif - Series003:0001-0385-0512:z:1/16 - Series003,1.041,102.624,27.606,173.454,122.956,92.593,38.157,4.188
106,Control6.lif - Series003:0001-0215-0777:z:1/16 - Series003,0.694,71.517,22.500,100.407,186.869,51.527,63.435,2.582
107,Control6.lif - Series003:0001-0226-0800:z:1/16 - Series003,0.694,53.922,19.000,93.545,192.220,54.293,26.565,2.640
108,Control6.lif - Series003:0001-0378-0526:z:1/16 - Series003,0.347,107.842,82.500,131.750,126.503,90.789,21.801,1.295
109,Control6.lif - Series003:0001-0384-0775:z:1/16 - Series003,0.578,73.926,33.000,111.315,186.207,92.292,49.399,2.048
110,Control6.lif - Series002:0001-0361-0377:z:1/19 - Series002,0.578,200.621,165.352,254.605,90.789,86.881,82.875,2.058
111,Control6.lif - Series002:0001-0474-0378:z:1/19 - Series002,0.636,187.705,84.000,246.150,90.729,113.997,78.690,2.432
112,Control6.lif - Series002:0001-0463-0446:z:1/19 - Series002,0.521,221.069,98.500,255.000,107.383,111.231,82.875,1.939
113,Control6.lif - Series002:0001-0376-0375:z:1/19 - Series002,0.636,205.700,113.850,255.000,90.067,90.308,78.690,2.453
114,Control6.lif - Series002:0001-0465-0524:z:1/19 - Series002,1.272,174.101,69.333,240.793,126.182,111.913,98.531,5.012
115,Control6.lif - Series002:0001-0957-0410:z:1/19 - Series002,0.752,176.962,103.417,255.000,98.605,230.159,85.236,2.896
116,Control6.lif - Series002:0001-0977-0407:z:1/19 - Series002,0.868,199.470,68.194,255.000,97.703,234.788,81.870,3.267
117,Control6.lif - Series002:0001-0840-0368:z:1/19 - Series002,0.636,185.432,79.000,246.900,88.324,202.020,-78.690,2.432
118,Control6.lif - Series002:0001-0826-0368:z:1/19 - Series002,0.463,196.500,95.000,255.000,88.384,198.773,90.000,1.684
119,Control6.lif - Series002:0001-0835-0447:z:1/19 - Series002,0.694,196.330,140.500,229.029,107.323,200.878,101.310,2.551
120,Control6.lif - Series002:0001-0858-0212:z:1/19 - Series002,0.868,212.513,124.500,255.000,50.866,206.169,81.870,3.282
121,Control6.lif - Series002:0007-0858-0268:z:7/19 - Series002,0.810,208.098,108.000,255.000,64.274,206.349,-71.565,3.006
122,Control6.lif - Series002:0007-0844-0261:z:7/19 - Series002,0.752,211.802,93.000,255.000,62.831,203.102,-70.017,2.858
123,Control6.lif - Series002:0007-0599-0444:z:7/19 - Series002,0.578,251.350,218.500,255.000,106.902,144.060,-96.340,2.178
124,Control6.lif - Series002:0007-0611-0445:z:7/19 - Series002,0.694,196.818,123.750,255.000,107.083,146.946,79.695,2.713
125,Control6.lif - Series002:0007-0460-0380:z:7/19 - Series002,0.694,143.291,35.000,222.314,91.450,110.570,90.000,2.528
126,Control6.lif - Series002:0007-0646-0280:z:7/19 - Series002,0.810,212.029,125.340,255.000,67.220,155.363,51.340,3.080
127,Control6.lif - Series002:0007-0740-0666:z:7/19 - Series002,0.463,226.635,173.500,255.000,160.113,178.030,99.462,1.568
