 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice2-2doses.lif - Series002:0001-0301-0871:z:1/57 - Series002,0.716,162.869,58.500,255.000,157.152,54.383,54.782,3.806
2,Slice2-2doses.lif - Series002:0001-0321-0854:z:1/57 - Series002,0.683,94.958,19.200,253.000,154.040,57.900,45.000,3.571
3,Slice2-2doses.lif - Series002:0001-0476-0815:z:1/57 - Series002,0.651,181.466,111.000,238.530,147.096,85.813,45.000,3.381
4,Slice2-2doses.lif - Series002:0007-0187-0800:z:7/57 - Series002,0.813,193.434,75.000,254.590,144.165,33.685,66.501,4.405
5,Slice2-2doses.lif - Series002:0007-0207-0784:z:7/57 - Series002,0.521,221.296,83.500,255.000,141.504,37.338,61.699,2.663
6,Slice2-2doses.lif - Series002:0007-0303-0775:z:7/57 - Series002,0.553,186.059,82.500,253.418,139.655,54.609,42.510,2.809
7,Slice2-2doses.lif - Series002:0007-0359-0754:z:7/57 - Series002,0.716,202.055,70.500,255.000,136.003,64.845,81.870,3.826
8,Slice2-2doses.lif - Series002:0007-0381-0747:z:7/57 - Series002,0.455,201.767,103.000,251.428,134.605,68.678,41.987,2.423
9,Slice2-2doses.lif - Series002:0007-0413-0879:z:7/57 - Series002,0.390,194.661,118.000,225.223,158.505,74.360,48.814,1.913
10,Slice2-2doses.lif - Series002:0001-0499-0929:z:1/57 - Series002,0.618,44.233,26.312,72.660,167.433,89.872,32.005,3.279
11,Slice2-2doses.lif - Series002:0001-0424-0604:z:1/57 - Series002,0.358,141.901,50.250,193.000,108.811,76.434,77.471,1.735
12,Slice2-2doses.lif - Series002:0001-0403-0614:z:1/57 - Series002,0.683,130.618,65.750,159.560,110.750,72.736,68.749,3.568
13,Slice2-2doses.lif - Series002:0007-0485-0791:z:7/57 - Series002,0.683,156.334,81.000,209.562,142.632,87.572,75.256,3.568
14,Slice2-2doses.lif - Series002:0007-0466-0794:z:7/57 - Series002,0.325,119.568,66.000,154.611,143.308,84.010,96.340,1.544
15,Slice2-2doses.lif - Series002:0010-0515-0855:z:10/57 - Series002,0.488,164.967,67.408,253.143,154.221,92.848,53.973,2.527
16,Slice2-2doses.lif - Series002:0010-0498-0867:z:10/57 - Series002,0.618,171.912,34.000,255.000,156.385,89.917,70.560,3.252
17,Slice2-2doses.lif - Series002:0010-0545-0810:z:10/57 - Series002,0.586,128.317,47.839,176.675,146.149,98.304,-75.964,2.998
18,Slice2-2doses.lif - Series002:0001-0831-0442:z:1/57 - Series002,0.325,171.654,59.000,226.809,79.636,149.892,63.435,1.613
19,Slice2-2doses.lif - Series002:0001-0818-0454:z:1/57 - Series002,0.455,98.993,49.947,129.883,81.845,147.592,67.380,2.396
20,Slice2-2doses.lif - Series002:0001-0937-0424:z:1/57 - Series002,0.553,175.627,71.500,239.020,76.524,168.966,82.405,2.832
21,Slice2-2doses.lif - Series002:0001-0956-0418:z:1/57 - Series002,0.488,175.279,33.000,230.526,75.307,172.529,72.897,2.453
22,Slice2-2doses.lif - Series002:0001-0936-0688:z:1/57 - Series002,0.586,154.087,52.000,233.809,124.008,168.831,83.290,3.088
23,Slice2-2doses.lif - Series002:0001-0996-0653:z:1/57 - Series002,1.139,195.936,101.583,255.000,117.650,179.744,65.695,6.099
24,Slice2-2doses.lif - Series002:0001-0921-0692:z:1/57 - Series002,0.293,172.639,104.000,217.500,124.820,166.035,75.964,1.487
25,Slice2-2doses.lif - Series002:0006-0945-0519:z:6/57 - Series002,0.586,196.444,87.250,255.000,93.570,170.455,79.992,3.131
26,Slice2-2doses.lif - Series002:0006-0968-0513:z:6/57 - Series002,0.358,180.082,94.500,217.250,92.487,174.513,95.711,1.806
27,Slice2-2doses.lif - Series002:0018-0675-0554:z:18/57 - Series002,0.358,63.177,42.263,84.390,99.883,121.708,-60.945,1.735
28,Slice2-2doses.lif - Series002:0018-0654-0555:z:18/57 - Series002,0.911,126.091,73.000,164.508,100.153,117.920,72.255,4.848
29,Slice2-2doses.lif - Series002:0018-0848-0507:z:18/57 - Series002,0.553,216.119,93.000,255.000,91.540,152.823,72.646,2.938
30,Slice2-2doses.lif - Series002:0043-0660-0456:z:43/57 - Series002,0.944,230.987,113.500,255.000,82.341,118.957,57.995,5.105
31,Slice2-2doses.lif - Series002:0043-0681-0444:z:43/57 - Series002,0.293,222.208,113.000,255.000,79.996,122.835,60.255,1.454
32,Slice2-2doses.lif - Series002:0033-0566-0531:z:33/57 - Series002,0.521,159.212,39.000,248.500,95.869,101.957,63.435,2.743
33,Slice2-2doses.lif - Series002:0033-0546-0542:z:33/57 - Series002,0.553,130.966,76.500,182.844,97.628,98.530,66.801,2.797
34,Slice2-2doses.lif - Series002:0038-0276-0472:z:38/57 - Series002,0.455,183.382,53.000,242.284,85.092,49.784,-67.380,2.312
35,Slice2-2doses.lif - Series002:0038-0256-0466:z:38/57 - Series002,0.651,144.748,40.000,204.122,84.055,46.131,-72.474,3.508
36,Slice2-2doses.lif - Series002:0043-0334-0524:z:43/57 - Series002,0.781,196.950,78.750,255.000,94.381,60.200,-80.134,4.107
37,Slice2-2doses.lif - Series002:0043-0369-0378:z:43/57 - Series002,0.651,199.820,73.000,255.000,68.182,66.558,83.991,3.446
38,Slice2-2doses.lif - Series002:0043-0393-0376:z:43/57 - Series002,0.716,206.882,59.500,255.000,67.821,70.887,84.560,3.805
39,Slice2-2doses.lif - Series002:0050-0338-0445:z:50/57 - Series002,0.390,186.652,125.025,245.157,80.267,60.922,-41.186,1.978
40,Slice2-2doses.lif - Series002:0050-0361-0454:z:50/57 - Series002,0.683,169.001,43.944,254.700,81.890,64.980,-75.964,3.631
41,Slice2-2doses.lif - Series002:0029-0155-0443:z:29/57 - Series002,0.651,225.039,141.500,255.000,79.996,27.958,-93.013,3.432
42,Slice2-2doses.lif - Series002:0029-0138-0441:z:29/57 - Series002,0.488,146.057,81.000,252.918,79.636,24.756,-102.095,2.494
43,Slice2-2doses.lif - Series002:0011-0036-0232:z:11/57 - Series002,0.651,200.120,106.000,247.978,41.802,6.358,-55.491,3.377
44,Slice2-2doses.lif - Series002:0011-0065-0246:z:11/57 - Series002,0.716,203.097,103.456,255.000,44.372,11.634,-73.301,3.766
45,Slice2-2doses.lif - Series002:0001-0023-0413:z:1/57 - Series002,0.455,146.590,79.500,223.074,74.405,4.104,-61.390,2.340
