 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
65,Slice6-3doses.lif - Series007:0022-0353-0357:z:22/43 - Series007,0.586,204.677,50.000,255.000,64.349,63.627,-16.390,3.085
66,Slice6-3doses.lif - Series007:0022-0308-0325:z:22/43 - Series007,0.521,114.339,75.000,155.480,58.622,55.556,15.945,2.626
67,Slice6-3doses.lif - Series007:0022-0534-0167:z:22/43 - Series007,0.553,229.325,31.000,255.000,29.987,96.411,-10.620,2.848
68,Slice6-3doses.lif - Series007:0022-0531-0148:z:22/43 - Series007,0.521,197.354,41.500,255.000,26.786,95.689,-7.595,2.730
69,Slice6-3doses.lif - Series007:0022-0698-0213:z:22/43 - Series007,0.651,134.269,84.000,174.380,38.510,125.902,38.660,3.465
70,Slice6-3doses.lif - Series007:0022-0712-0197:z:22/43 - Series007,0.390,190.753,117.000,236.136,35.489,128.472,48.814,2.045
71,Slice6-3doses.lif - Series007:0022-0834-0378:z:22/43 - Series007,0.455,218.236,66.500,255.000,68.272,150.298,17.103,2.428
72,Slice6-3doses.lif - Series007:0022-0837-0363:z:22/43 - Series007,0.455,185.889,34.500,255.000,65.431,150.839,8.746,2.271
73,Slice6-3doses.lif - Series007:0022-0829-0338:z:22/43 - Series007,0.423,200.293,25.000,255.000,60.922,149.576,0.000,2.076
74,Slice6-3doses.lif - Series007:0022-0828-0322:z:22/43 - Series007,0.521,212.483,76.000,255.000,58.126,149.306,-4.086,2.617
75,Slice6-3doses.lif - Series007:0022-0861-0313:z:22/43 - Series007,0.455,208.374,45.000,255.000,56.548,155.303,8.746,2.372
76,Slice6-3doses.lif - Series007:0022-0864-0295:z:22/43 - Series007,0.521,223.600,69.500,255.000,53.211,155.934,11.310,2.759
77,Slice6-3doses.lif - Series007:0022-0941-0283:z:22/43 - Series007,0.390,164.783,95.000,239.959,51.136,169.733,37.875,2.057
78,Slice6-3doses.lif - Series007:0022-0949-0270:z:22/43 - Series007,0.488,178.563,77.250,255.000,48.566,171.221,33.690,2.579
79,Slice6-3doses.lif - Series007:0022-0992-0137:z:22/43 - Series007,0.455,221.352,44.500,255.000,24.666,179.022,32.471,2.276
80,Slice6-3doses.lif - Series007:0022-0987-0152:z:22/43 - Series007,0.390,147.250,66.000,195.500,27.507,177.940,0.000,1.984
81,Slice6-3doses.lif - Series007:0022-0928-0047:z:22/43 - Series007,0.618,133.285,60.000,201.253,8.478,167.343,38.157,3.268
82,Slice6-3doses.lif - Series007:0022-0803-0182:z:22/43 - Series007,0.423,128.112,34.000,198.833,32.828,144.886,9.462,2.211
83,Slice6-3doses.lif - Series007:0022-0803-0197:z:22/43 - Series007,0.423,123.519,22.000,194.097,35.624,144.841,-24.444,2.179
84,Slice6-3doses.lif - Series007:0022-0731-0329:z:22/43 - Series007,0.748,226.048,83.000,255.000,59.253,131.854,7.765,4.005
85,Slice6-3doses.lif - Series007:0022-0318-0053:z:22/43 - Series007,0.683,173.204,85.484,239.891,9.425,57.404,-53.130,3.628
86,Slice6-3doses.lif - Series007:0028-0339-0176:z:28/43 - Series007,0.846,189.772,58.168,255.000,31.701,61.237,-38.290,4.438
87,Slice6-3doses.lif - Series007:0028-0325-0153:z:28/43 - Series007,0.748,216.443,65.000,255.000,27.552,58.712,-18.435,3.907
88,Slice6-3doses.lif - Series007:0028-0348-0139:z:28/43 - Series007,0.651,192.184,32.500,255.000,24.937,62.816,-23.962,3.509
89,Slice6-3doses.lif - Series007:0028-0359-0159:z:28/43 - Series007,0.618,185.575,144.856,255.000,28.635,64.845,-36.254,3.283
90,Slice6-3doses.lif - Series007:0028-0369-0029:z:28/43 - Series007,0.521,138.511,63.000,205.040,5.186,66.423,14.931,2.691
91,Slice6-3doses.lif - Series007:0028-0271-0274:z:28/43 - Series007,0.618,135.875,61.500,203.639,49.513,48.837,-16.390,3.223
92,Slice6-3doses.lif - Series007:0028-0262-0258:z:28/43 - Series007,0.455,211.055,52.000,254.408,46.492,47.348,-12.995,2.319
93,Slice6-3doses.lif - Series007:0028-0122-0031:z:28/43 - Series007,0.488,205.815,77.500,255.000,5.501,22.051,-26.565,2.462
94,Slice6-3doses.lif - Series007:0028-0113-0018:z:28/43 - Series007,0.293,221.853,82.000,255.000,3.337,20.247,-29.745,1.412
95,Slice6-3doses.lif - Series007:0028-0123-0469:z:28/43 - Series007,0.781,219.146,129.500,255.000,84.551,22.051,-50.194,4.099
96,Slice6-3doses.lif - Series007:0028-0244-0665:z:28/43 - Series007,0.781,194.843,60.000,255.000,119.949,44.012,30.964,4.207
97,Slice6-3doses.lif - Series007:0028-0239-0689:z:28/43 - Series007,0.423,100.001,62.910,161.792,124.143,43.019,18.435,2.196
98,Slice6-3doses.lif - Series007:0028-0306-0678:z:28/43 - Series007,0.781,140.901,48.536,235.048,122.159,55.195,-39.806,4.157
99,Slice6-3doses.lif - Series007:0028-0290-0662:z:28/43 - Series007,0.488,213.415,29.500,255.000,119.408,52.264,-53.973,2.527
100,Slice6-3doses.lif - Series007:0028-0198-0530:z:28/43 - Series007,0.553,205.634,102.250,255.000,95.509,35.624,-50.194,2.818
101,Slice6-3doses.lif - Series007:0028-0041-0655:z:28/43 - Series007,0.488,194.980,66.779,255.000,118.101,7.350,-68.962,2.463
102,Slice6-3doses.lif - Series007:0037-0862-0633:z:37/43 - Series007,0.748,107.016,54.041,146.483,114.132,155.393,27.759,3.953
103,Slice6-3doses.lif - Series007:0037-0855-0656:z:37/43 - Series007,0.488,92.472,50.000,114.666,118.281,154.311,21.038,2.597
104,Slice6-3doses.lif - Series007:0037-0806-0560:z:37/43 - Series007,0.423,157.885,112.000,212.556,100.920,145.337,48.366,2.240
105,Slice6-3doses.lif - Series007:0037-0791-0575:z:37/43 - Series007,0.521,187.780,52.000,255.000,103.671,142.677,34.695,2.778
106,Slice6-3doses.lif - Series007:0037-0632-0468:z:37/43 - Series007,0.390,137.756,68.250,242.359,84.416,113.997,-37.875,2.057
107,Slice6-3doses.lif - Series007:0037-0623-0452:z:37/43 - Series007,0.586,149.003,83.106,241.690,81.530,112.374,-30.964,3.155
108,Slice6-3doses.lif - Series007:0037-0587-0708:z:37/43 - Series007,0.553,201.061,100.000,255.000,127.570,105.925,-66.801,2.797
109,Slice6-3doses.lif - Series007:0037-0447-0689:z:37/43 - Series007,0.748,187.457,62.000,255.000,124.369,80.628,-30.069,3.960
110,Slice6-3doses.lif - Series007:0037-0252-0864:z:37/43 - Series007,0.618,203.656,89.790,255.000,155.844,45.455,-16.390,3.196
111,Slice6-3doses.lif - Series007:0037-0246-0843:z:37/43 - Series007,0.586,207.830,66.500,255.000,152.011,44.327,-16.390,3.137
112,Slice6-3doses.lif - Series007:0037-0224-0844:z:37/43 - Series007,0.455,217.853,69.000,255.000,152.282,40.449,9.462,2.299
113,Slice6-3doses.lif - Series007:0037-0223-0860:z:37/43 - Series007,0.390,171.816,56.750,239.159,155.123,40.224,5.194,1.992
114,Slice6-3doses.lif - Series007:0037-0191-0831:z:37/43 - Series007,0.455,83.670,25.538,160.385,149.982,34.542,-12.995,2.407
115,Slice6-3doses.lif - Series007:0037-0031-0863:z:37/43 - Series007,0.455,142.648,44.500,195.000,155.709,5.592,51.340,2.367
116,Slice6-3doses.lif - Series007:0037-0082-0837:z:37/43 - Series007,0.455,214.212,87.500,255.000,150.974,14.791,-41.987,2.427
117,Slice6-3doses.lif - Series007:0037-0172-0789:z:37/43 - Series007,0.553,172.118,55.000,255.000,142.316,31.025,-14.036,2.975
118,Slice6-3doses.lif - Series007:0037-0267-1004:z:37/43 - Series007,0.455,190.839,50.250,244.351,181.006,48.070,-26.565,2.420
119,Slice6-3doses.lif - Series007:0037-0100-0703:z:37/43 - Series007,0.521,219.520,139.000,255.000,126.804,17.992,-28.301,2.622
120,Slice6-3doses.lif - Series007:0040-0059-0832:z:40/43 - Series007,0.878,133.105,100.164,178.408,150.027,10.732,-48.180,4.659
121,Slice6-3doses.lif - Series007:0040-0179-0810:z:40/43 - Series007,0.586,214.961,87.000,255.000,146.059,32.287,3.366,2.982
122,Slice6-3doses.lif - Series007:0040-0172-0787:z:40/43 - Series007,0.455,140.882,77.500,176.565,141.955,31.115,-32.471,2.352
123,Slice6-3doses.lif - Series007:0040-0259-0887:z:40/43 - Series007,0.553,204.611,127.500,255.000,160.038,46.627,23.199,2.831
124,Slice6-3doses.lif - Series007:0040-0321-0796:z:40/43 - Series007,0.423,178.214,90.500,234.528,143.534,57.855,52.125,2.076
125,Slice6-3doses.lif - Series007:0043-0100-1000:z:43/43 - Series007,0.651,181.523,92.500,255.000,180.240,17.992,-64.799,3.434
126,Slice6-3doses.lif - Series007:0043-0080-0992:z:43/43 - Series007,0.423,212.400,99.500,255.000,178.797,14.430,-61.390,2.218
127,Slice6-3doses.lif - Series007:0043-0793-0606:z:43/43 - Series007,0.651,184.089,86.750,249.917,109.217,142.992,-34.509,3.452
128,Slice6-3doses.lif - Series007:0043-0805-0622:z:43/43 - Series007,0.455,190.946,57.000,255.000,112.148,145.202,-32.471,2.276
129,Slice6-3doses.lif - Series007:0043-0063-0240:z:43/43 - Series007,0.488,194.339,156.786,235.071,43.335,11.454,-30.256,2.584
130,Slice6-3doses.lif - Series007:0043-0075-0261:z:43/43 - Series007,0.651,218.003,55.000,255.000,47.078,13.393,-25.201,3.352
131,Slice6-3doses.lif - Series007:0033-0322-0133:z:33/43 - Series007,0.683,203.511,122.750,254.738,23.900,58.036,39.094,3.662
132,Slice6-3doses.lif - Series007:0033-0335-0109:z:33/43 - Series007,0.651,205.599,117.000,255.000,19.661,60.381,27.897,3.428
133,Slice6-3doses.lif - Series007:0033-0210-0040:z:33/43 - Series007,0.455,161.398,97.750,198.837,7.170,37.879,-45.000,2.360
134,Slice6-3doses.lif - Series007:0033-0197-0031:z:33/43 - Series007,0.423,207.820,16.500,255.000,5.547,35.579,-33.690,2.076
135,Slice6-3doses.lif - Series007:0033-0079-0102:z:33/43 - Series007,0.423,183.659,46.000,252.969,18.488,14.205,-45.000,2.233
136,Slice6-3doses.lif - Series007:0033-0355-0298:z:33/43 - Series007,0.553,228.566,89.500,255.000,53.752,63.988,-55.305,2.927
137,Slice6-3doses.lif - Series005:0001-0292-0425:z:1/24 - Series005,0.651,154.892,95.778,206.623,76.599,52.850,-51.340,3.512
138,Slice6-3doses.lif - Series005:0001-0313-0437:z:1/24 - Series005,0.553,229.664,114.000,255.000,78.824,56.397,-82.875,2.908
139,Slice6-3doses.lif - Series005:0001-0306-0148:z:1/24 - Series005,0.586,214.637,111.000,255.000,26.816,55.315,-30.964,3.136
140,Slice6-3doses.lif - Series005:0001-0298-0130:z:1/24 - Series005,0.455,134.767,80.000,234.540,23.509,53.812,-9.462,2.313
141,Slice6-3doses.lif - Series005:0001-0377-0119:z:1/24 - Series005,0.846,224.360,127.053,255.000,21.465,68.122,26.565,4.464
142,Slice6-3doses.lif - Series005:0001-0434-0331:z:1/24 - Series005,0.651,99.128,27.333,211.082,59.764,78.343,-53.130,3.512
143,Slice6-3doses.lif - Series005:0001-0313-1009:z:1/24 - Series005,0.716,49.653,24.512,67.111,182.059,56.638,14.036,3.734
144,Slice6-3doses.lif - Series005:0018-0422-0839:z:18/24 - Series005,0.586,185.831,128.648,232.542,151.275,76.299,-61.928,3.120
145,Slice6-3doses.lif - Series005:0018-0408-0811:z:18/24 - Series005,0.618,207.679,74.000,254.671,146.405,73.593,-25.201,3.335
146,Slice6-3doses.lif - Series005:0018-0439-0857:z:18/24 - Series005,0.618,203.915,85.333,254.989,154.582,79.185,-45.000,3.231
147,Slice6-3doses.lif - Series005:0018-0214-0899:z:18/24 - Series005,0.716,145.457,50.621,255.000,162.097,38.781,-19.290,3.842
148,Slice6-3doses.lif - Series005:0022-0068-0774:z:22/24 - Series005,0.521,235.667,133.000,255.000,139.671,12.266,-23.199,2.747
149,Slice6-3doses.lif - Series005:0022-0075-0793:z:22/24 - Series005,0.488,223.068,112.889,255.000,142.947,13.438,-15.945,2.552
150,Slice6-3doses.lif - Series005:0022-0010-0849:z:22/24 - Series005,0.358,129.317,43.000,161.111,153.048,1.774,-41.186,1.794
151,Slice6-3doses.lif - Series005:0022-0228-0802:z:22/24 - Series005,0.586,221.422,100.333,255.000,144.811,41.065,-28.072,3.066
152,Slice6-3doses.lif - Series005:0022-0144-0836:z:22/24 - Series005,0.553,210.937,91.667,255.000,150.764,26.034,-21.801,2.851
153,Slice6-3doses.lif - Series005:0022-0142-0852:z:22/24 - Series005,0.390,225.655,73.333,255.000,153.770,25.703,-26.565,2.071
154,Slice6-3doses.lif - Series005:0022-0168-0844:z:22/24 - Series005,0.358,186.045,76.333,230.080,152.207,30.303,-23.962,1.887
155,Slice6-3doses.lif - Series005:0022-0177-0857:z:22/24 - Series005,0.423,122.081,55.778,158.333,154.642,31.956,4.764,2.172
156,Slice6-3doses.lif - Series005:0022-0298-0909:z:22/24 - Series005,0.455,241.078,111.667,255.000,163.931,53.842,-41.634,2.302
157,Slice6-3doses.lif - Series005:0022-0288-0895:z:22/24 - Series005,0.390,227.760,84.111,255.000,161.526,52.038,-21.801,2.021
158,Slice6-3doses.lif - Series005:0022-0258-0916:z:22/24 - Series005,0.390,199.687,84.000,255.000,165.344,46.507,-37.875,1.936
159,Slice6-3doses.lif - Series005:0022-0252-0904:z:22/24 - Series005,0.358,195.571,69.556,255.000,163.089,45.605,-32.005,1.753
160,Slice6-3doses.lif - Series005:0022-0263-0952:z:22/24 - Series005,0.488,176.220,90.000,230.000,171.687,47.559,-32.471,2.486
161,Slice6-3doses.lif - Series005:0022-0256-0936:z:22/24 - Series005,0.358,157.525,82.222,199.000,169.012,46.176,-29.055,1.882
162,Slice6-3doses.lif - Series005:0013-0377-0963:z:13/24 - Series005,0.488,222.391,110.667,255.000,173.701,68.122,-28.301,2.582
163,Slice6-3doses.lif - Series005:0013-0366-0948:z:13/24 - Series005,0.390,224.699,80.444,255.000,171.056,65.987,-26.565,2.073
164,Slice6-3doses.lif - Series005:0013-0315-0891:z:13/24 - Series005,0.390,202.639,93.222,255.000,160.714,56.999,-15.255,2.016
165,Slice6-3doses.lif - Series005:0013-0311-0877:z:13/24 - Series005,0.390,227.270,110.444,255.000,158.249,56.277,-16.699,1.901
166,Slice6-3doses.lif - Series005:0013-0444-0921:z:13/24 - Series005,0.455,146.639,66.333,208.187,166.216,80.147,-38.660,2.286
167,Slice6-3doses.lif - Series005:0013-0449-0936:z:13/24 - Series005,0.358,178.796,42.333,254.733,168.861,81.049,-40.601,1.744
168,Slice6-3doses.lif - Series005:0007-0458-0861:z:7/24 - Series005,0.390,162.386,63.222,201.445,155.393,82.642,-16.699,1.941
169,Slice6-3doses.lif - Series005:0007-0466-0881:z:7/24 - Series005,0.781,183.591,48.498,255.000,158.971,84.055,-17.650,4.146
170,Slice6-3doses.lif - Series005:0003-0359-0834:z:3/24 - Series005,0.521,163.437,86.667,211.481,150.463,64.785,-14.931,2.785
171,Slice6-3doses.lif - Series005:0003-0354-0814:z:3/24 - Series005,0.488,241.594,136.000,255.000,146.825,63.973,-12.095,2.571
172,Slice6-3doses.lif - Series005:0003-0095-0770:z:3/24 - Series005,0.358,125.664,100.013,150.667,138.889,17.166,-23.962,1.748
173,Slice6-3doses.lif - Series005:0003-0098-0785:z:3/24 - Series005,0.358,141.877,70.444,203.933,141.595,17.827,-29.055,1.805
174,Slice6-3doses.lif - Series005:0008-0203-0855:z:8/24 - Series005,0.521,216.403,122.439,255.000,154.251,36.556,-50.194,2.779
175,Slice6-3doses.lif - Series005:0008-0192-0841:z:8/24 - Series005,0.423,152.865,85.111,229.333,151.756,34.782,-48.366,2.172
176,Slice6-3doses.lif - Series005:0008-0041-0945:z:8/24 - Series005,0.651,147.038,90.889,225.205,170.545,7.305,32.005,3.423
177,Slice6-3doses.lif - Series005:0008-0051-0929:z:8/24 - Series005,0.521,99.440,20.480,244.333,167.599,9.169,19.654,2.780
178,Slice6-3doses.lif - Series005:0013-0158-0767:z:13/24 - Series005,0.716,114.055,64.000,190.528,138.408,28.529,21.801,3.863
179,Slice6-3doses.lif - Series005:0013-0167-0744:z:13/24 - Series005,0.521,149.081,35.000,251.716,134.319,30.153,24.775,2.663
180,Slice6-3doses.lif - Series005:0013-0125-0875:z:13/24 - Series005,0.455,223.199,56.000,255.000,157.949,22.547,-8.746,2.313
181,Slice6-3doses.lif - Series005:0013-0121-0860:z:13/24 - Series005,0.455,209.021,33.000,255.000,155.183,21.795,-14.036,2.323
182,Slice6-3doses.lif - Series005:0013-0162-0845:z:13/24 - Series005,0.358,219.878,68.444,255.000,152.327,29.371,-16.699,1.826
183,Slice6-3doses.lif - Series005:0013-0172-0861:z:13/24 - Series005,0.521,210.374,93.778,255.000,155.333,31.055,-31.608,2.785
184,Slice6-3doses.lif - Series005:0015-0154-0874:z:15/24 - Series005,0.618,190.434,70.333,255.000,157.678,27.838,-40.601,3.296
185,Slice6-3doses.lif - Series005:0015-0125-0876:z:15/24 - Series005,0.455,207.179,63.000,255.000,158.009,22.637,-12.995,2.348
186,Slice6-3doses.lif - Series005:0020-0173-0857:z:20/24 - Series005,0.390,225.523,128.333,255.000,154.762,31.265,-10.305,2.058
187,Slice6-3doses.lif - Series005:0020-0168-0843:z:20/24 - Series005,0.390,238.905,153.778,255.000,151.966,30.393,-21.801,1.911
188,Slice6-3doses.lif - Series005:0020-0069-0775:z:20/24 - Series005,0.390,184.655,151.667,208.701,139.851,12.386,-21.801,2.055
189,Slice6-3doses.lif - Series005:0020-0074-0793:z:20/24 - Series005,0.521,184.981,115.667,250.556,143.098,13.408,-15.945,2.662
190,Slice6-3doses.lif - Series005:0020-0130-0755:z:20/24 - Series005,0.455,223.198,82.667,255.000,136.273,23.569,-45.000,2.339
191,Slice6-3doses.lif - Series005:0020-0306-0826:z:20/24 - Series005,0.488,189.442,136.000,232.262,149.110,55.285,-24.775,2.554
192,Slice6-3doses.lif - Series005:0020-0288-0894:z:20/24 - Series005,0.423,226.082,68.333,255.000,161.376,52.068,-24.444,2.211
193,Slice6-3doses.lif - Series005:0020-0299-0908:z:20/24 - Series005,0.390,85.704,59.333,114.284,163.781,53.962,-37.875,2.009
194,Slice6-3doses.lif - Series004:0001-0830-0099:z:1/31 - Series004,0.683,121.544,73.500,155.837,17.812,149.802,-27.897,3.550
195,Slice6-3doses.lif - Series004:0001-0837-0122:z:1/31 - Series004,0.521,74.796,16.000,130.100,22.051,150.929,4.086,2.629
196,Slice6-3doses.lif - Series004:0001-0851-0168:z:1/31 - Series004,0.488,222.086,146.000,255.000,30.303,153.499,-30.256,2.506
197,Slice6-3doses.lif - Series004:0001-0846-0151:z:1/31 - Series004,0.488,186.351,38.000,255.000,27.192,152.552,-4.399,2.437
198,Slice6-3doses.lif - Series004:0001-0789-0175:z:1/31 - Series004,0.390,197.648,95.750,255.000,31.566,142.226,33.690,1.951
199,Slice6-3doses.lif - Series004:0001-0855-0302:z:1/31 - Series004,0.521,236.026,151.000,255.000,54.518,154.085,15.945,2.691
200,Slice6-3doses.lif - Series004:0001-0986-0254:z:1/31 - Series004,0.553,186.533,110.000,254.500,45.815,177.895,-7.125,2.921
