 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
163,Slice3-3doses.lif - Series003:0015-0445-0152:z:15/58 - Series003,0.325,163.729,106.444,204.889,27.477,80.267,-77.471,1.604
164,Slice3-3doses.lif - Series003:0029-0365-0360:z:29/58 - Series003,1.139,143.542,57.642,255.000,64.935,65.897,-20.556,6.165
165,Slice3-3doses.lif - Series003:0026-0153-0217:z:26/58 - Series003,0.586,225.345,73.444,255.000,39.202,27.718,-42.510,2.977
166,Slice3-3doses.lif - Series003:0026-0176-0230:z:26/58 - Series003,0.813,220.990,125.296,255.000,41.546,31.806,-80.538,4.251
167,Slice3-3doses.lif - Series003:0025-0420-0918:z:25/58 - Series003,0.976,187.410,102.468,255.000,165.705,75.758,-88.025,5.176
168,Slice3-3doses.lif - Series003:0025-0449-0933:z:25/58 - Series003,0.781,192.755,64.000,255.000,168.290,81.109,-39.806,4.188
169,Slice3-3doses.lif - Series003:0025-0282-0815:z:25/58 - Series003,0.878,217.527,57.000,255.000,147.066,50.926,12.995,4.725
170,Slice3-3doses.lif - Series003:0037-0655-0855:z:37/58 - Series003,0.618,203.587,103.889,255.000,154.161,118.206,-77.471,3.326
171,Slice3-3doses.lif - Series003:0042-0260-0680:z:42/58 - Series003,0.586,187.132,60.667,249.806,122.715,47.018,90.000,3.009
172,Slice3-3doses.lif - Series003:0048-0316-0724:z:48/58 - Series003,0.911,218.563,149.000,255.000,130.712,56.938,-37.304,4.810
173,Slice3-3doses.lif - Series003:0048-0415-0699:z:48/58 - Series003,0.521,170.440,106.333,242.383,126.263,74.976,-28.301,2.689
174,Slice3-3doses.lif - Series003:0048-0434-0722:z:48/58 - Series003,0.683,219.396,123.333,255.000,130.231,78.223,-53.130,3.608
175,Slice3-3doses.lif - Series003:0048-0421-0769:z:48/58 - Series003,0.488,165.637,88.000,238.111,138.709,75.938,-50.711,2.479
176,Slice3-3doses.lif - Series003:0001-0557-0595:z:1/58 - Series003,0.521,124.812,38.000,196.556,107.383,100.409,-45.000,2.637
177,Slice3-3doses.lif - Series003:0012-0710-0248:z:12/58 - Series003,0.423,226.363,122.667,255.000,44.793,128.066,-45.000,2.127
178,Slice3-3doses.lif - Series003:0012-0702-0218:z:12/58 - Series003,0.521,230.037,42.667,255.000,39.382,126.683,-56.310,2.640
179,Slice3-3doses.lif - Series003:0012-0762-0288:z:12/58 - Series003,0.390,178.445,50.667,228.033,51.948,137.446,74.745,1.983
180,Slice3-3doses.lif - Series003:0012-0738-0542:z:12/58 - Series003,0.651,85.867,13.107,169.774,97.944,133.297,53.746,3.439
181,Slice3-3doses.lif - Series003:0012-0707-0562:z:12/58 - Series003,0.586,204.142,131.333,252.746,101.491,127.585,72.646,3.042
182,Slice3-3doses.lif - Series003:0012-0866-0489:z:12/58 - Series003,0.553,209.972,112.889,255.000,88.264,156.325,-58.392,2.805
183,Slice3-3doses.lif - Series003:0012-0841-0321:z:12/58 - Series003,0.716,208.488,48.000,255.000,58.021,151.756,58.570,3.736
184,Slice3-3doses.lif - Series003:0012-0636-0343:z:12/58 - Series003,0.521,203.001,128.333,255.000,61.929,114.839,97.595,2.689
185,Slice3-3doses.lif - Series003:0012-0962-0833:z:12/58 - Series003,0.651,240.175,137.000,255.000,150.313,173.521,-40.601,3.418
186,Slice3-3doses.lif - Series003:0012-0948-0584:z:12/58 - Series003,0.455,207.159,118.778,250.140,105.399,171.056,99.462,2.313
187,Slice3-3doses.lif - Series003:0012-0969-0589:z:12/58 - Series003,0.358,242.236,210.200,255.000,106.361,174.784,-84.289,1.808
188,Slice3-3doses.lif - Series003:0012-0580-0928:z:12/58 - Series003,0.944,174.591,79.000,255.000,167.569,104.798,-14.534,5.105
189,Slice3-3doses.lif - Series003:0012-0818-0887:z:12/58 - Series003,0.651,225.949,74.222,255.000,160.173,147.607,-60.642,3.446
