 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Slice2-3doses.lif - Series006:0001-0059-0483:z:1/27 - Series006,0.423,159.754,85.500,222.250,87.121,10.597,-65.556,2.098
2,Slice2-3doses.lif - Series006:0001-0088-0526:z:1/27 - Series006,0.521,168.174,33.000,255.000,94.787,15.873,-74.055,2.626
3,Slice2-3doses.lif - Series006:0001-0159-0309:z:1/27 - Series006,0.553,110.339,72.875,158.750,55.601,28.589,-60.255,2.865
4,Slice2-3doses.lif - Series006:0001-0287-0459:z:1/27 - Series006,0.586,106.239,62.000,150.412,82.747,51.768,86.634,3.068
5,Slice2-3doses.lif - Series006:0001-0043-0277:z:1/27 - Series006,0.586,210.421,75.500,255.000,50.009,7.801,90.000,2.978
6,Slice2-3doses.lif - Series006:0001-0188-0318:z:1/27 - Series006,0.976,179.937,71.000,252.979,57.359,33.820,-74.055,5.253
7,Slice2-3doses.lif - Series006:0001-0463-0569:z:1/27 - Series006,0.586,238.740,103.500,255.000,102.633,83.604,-86.634,3.072
8,Slice2-3doses.lif - Series006:0001-0487-0573:z:1/27 - Series006,0.488,211.136,124.250,255.000,103.355,87.798,-68.962,2.597
9,Slice2-3doses.lif - Series006:0001-0641-0434:z:1/27 - Series006,0.878,212.188,100.000,255.000,78.373,115.620,-79.114,4.776
10,Slice2-3doses.lif - Series006:0001-0723-0493:z:1/27 - Series006,0.488,190.653,76.898,255.000,88.925,130.276,-74.055,2.540
11,Slice2-3doses.lif - Series006:0001-0708-0452:z:1/27 - Series006,0.683,234.190,176.688,255.000,81.530,127.570,-60.945,3.636
12,Slice2-3doses.lif - Series006:0001-0639-0486:z:1/27 - Series006,0.488,166.939,81.500,230.375,87.572,115.215,-90.000,2.435
13,Slice2-3doses.lif - Series006:0001-0742-0497:z:1/27 - Series006,0.521,189.957,67.000,245.549,89.646,133.793,-75.069,2.713
14,Slice2-3doses.lif - Series006:0001-0778-0418:z:1/27 - Series006,0.553,115.804,15.500,253.880,75.262,140.287,-82.405,2.809
15,Slice2-3doses.lif - Series006:0001-0555-0367:z:1/27 - Series006,0.618,198.195,103.889,255.000,66.153,100.018,-51.843,3.157
16,Slice2-3doses.lif - Series006:0001-0696-0721:z:1/27 - Series006,0.586,143.006,30.500,247.003,130.141,125.451,-72.646,3.024
17,Slice2-3doses.lif - Series006:0001-0722-0726:z:1/27 - Series006,0.553,209.124,19.500,255.000,130.952,130.186,-78.690,2.848
18,Slice2-3doses.lif - Series006:0001-0846-0730:z:1/27 - Series006,0.748,220.444,149.244,255.000,131.539,152.688,43.152,3.891
19,Slice2-3doses.lif - Series006:0011-0716-0478:z:11/27 - Series006,0.683,194.369,98.250,255.000,86.219,129.013,81.469,3.559
20,Slice2-3doses.lif - Series006:0011-0768-0447:z:11/27 - Series006,0.651,145.550,64.421,228.816,80.673,138.618,83.991,3.457
21,Slice2-3doses.lif - Series006:0011-0735-0474:z:11/27 - Series006,0.325,227.700,95.750,255.000,85.408,132.576,-90.000,1.623
22,Slice2-3doses.lif - Series006:0011-0785-0443:z:11/27 - Series006,0.390,195.903,16.000,255.000,79.951,141.640,90.000,1.896
23,Slice2-3doses.lif - Series006:0011-0917-0507:z:11/27 - Series006,0.423,172.223,115.000,211.719,91.315,165.359,70.017,2.168
