Length 
3.432
3.252
3.894
4.113
1.943
1.776
2.111
2.512
2.372
2.345
2.583
3.484
2.31
2.017
4.873
6.313
3.15
1.839
3.066
2.8
3.15
2.372
7.437
9.602
3.326
3.211
3.072
2.886
4.117
3.155
2.057
2.352
2.512
2.747
1.633
2.26
3.47
4.211
3.066
4.226
4.923
3.652
2.26
3.355
3.389
4.623
2.818
2.512
2.681
2.681
1.917
2.231
3.96
2.506
3.002
3.072
1.786
2.601
2.512
2.512
2.041
1.804
1.804
3.061
1.663
2.105
3.052
1.93
1.678
2.151
1.606
1.685
2.383
2.327
3.577
2.041
2.507
1.826
1.913
3.189
1.877
2.183
2.552
5.528
2.227
2.255
2.383
2.352
2.749
2.743
2.622
1.678
3.078
1.606
2.233
1.086
2.383
2.017
2.113
1.804
2.165
2.512
1.943
3.088
3.326
2.512
2.372
2.282
2.296
2.202
2.583
1.943
3.47
3.252
1.813
2.372
2.512
2.017
2.564
2.231
2.407
2.352
2.681
1.776
2.759
1.813
1.883
2.453
1.883
2.172
2.172
2.31
2.057
1.917
3.211
2.041
2.525
2.626
3.066
2.532
2.73
2.626
3.354
2.712
1.677
1.918
2.298
2.172
2.978
1.884
2.607
2.372
2.829
2.372
2.89
2.372
2.505
2.573
2.326
2.791
2.736
2.165
1.563
1.082
1.323
2.537
1.839
1.568
1.521
2.511
1.604
2.747
2.131
2.048
1.226
1.808
1.808
1.453
1.882
1.701
1.82
1.468
2.151
2.313
5.348
6.609
9.052
7.218
5.275
9.056
6.352
5.981
4.243
7.102
2.8
1.784
6.88
7.977
8.545
7.725
6.109
