 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,Control3.lif - Series003:0001-0176-0877:z:1/14 - Series003,0.455,66.946,19.000,90.370,158.144,31.701,77.005,2.299
2,Control3.lif - Series003:0001-0168-0839:z:1/14 - Series003,0.553,85.038,20.000,130.229,151.380,30.258,68.199,2.866
3,Control3.lif - Series003:0001-0188-0872:z:1/14 - Series003,0.260,76.017,41.500,124.776,157.377,33.956,80.538,1.186
4,Control3.lif - Series003:0001-0121-0717:z:1/14 - Series003,0.488,31.086,9.500,51.878,129.329,21.780,81.254,2.462
5,Control3.lif - Series003:0001-0134-0715:z:1/14 - Series003,0.325,77.560,32.000,111.926,128.923,24.215,97.125,1.536
6,Control3.lif - Series003:0001-0201-0761:z:1/14 - Series003,0.455,84.886,38.000,118.061,137.130,36.210,-72.897,2.341
7,Control3.lif - Series003:0001-0354-0660:z:1/14 - Series003,0.358,68.805,21.000,87.680,118.912,63.943,-66.038,1.742
8,Control3.lif - Series003:0001-0372-0657:z:1/14 - Series003,0.390,134.406,42.750,234.886,118.461,67.145,73.301,1.947
9,Control3.lif - Series003:0003-0168-0839:z:3/14 - Series003,0.455,90.100,42.000,130.411,151.335,30.258,61.390,2.340
10,Control3.lif - Series003:0003-0176-0876:z:3/14 - Series003,0.455,92.742,36.500,134.675,158.009,31.701,81.254,2.283
11,Control3.lif - Series003:0003-0190-0871:z:3/14 - Series003,0.293,88.312,21.000,128.125,157.197,34.136,82.875,1.365
12,Control3.lif - Series003:0009-0032-0903:z:9/14 - Series003,0.488,62.482,19.000,92.939,162.969,5.862,50.711,2.564
13,Control3.lif - Series003:0009-0070-0729:z:9/14 - Series003,0.423,82.006,48.500,122.500,131.493,12.581,-52.125,2.129
14,Control3.lif - Series003:0009-0136-0794:z:9/14 - Series003,0.488,91.965,35.250,135.459,143.173,24.441,59.744,2.462
15,Control3.lif - Series003:0009-0118-0803:z:9/14 - Series003,0.586,92.679,35.000,141.730,144.706,21.239,61.928,3.106
16,Control3.lif - Series003:0009-0239-0768:z:9/14 - Series003,0.488,98.942,43.000,144.500,138.393,43.019,74.055,2.603
17,Control3.lif - Series003:0011-0070-0728:z:11/14 - Series003,0.488,76.632,35.500,111.959,131.358,12.671,-63.435,2.541
18,Control3.lif - Series003:0011-0044-0889:z:11/14 - Series003,0.423,111.901,43.500,162.250,160.308,7.937,55.008,2.151
19,Control3.lif - Series003:0011-0032-0902:z:11/14 - Series003,0.553,131.695,60.000,192.609,162.698,5.862,45.000,2.806
20,Control3.lif - Series003:0011-0128-0771:z:11/14 - Series003,0.455,75.906,53.000,100.518,139.114,23.133,80.538,2.299
21,Control3.lif - Series003:0011-0142-0772:z:11/14 - Series003,0.260,81.589,17.500,120.357,139.295,25.703,90.000,1.266
22,Control3.lif - Series003:0011-0239-0767:z:11/14 - Series003,0.423,89.708,59.000,126.146,138.393,43.019,80.538,2.211
23,Control3.lif - Series003:0001-0282-0749:z:1/14 - Series003,0.358,97.612,65.250,141.750,135.146,50.821,90.000,1.716
24,Control3.lif - Series003:0007-0092-0690:z:7/14 - Series003,0.390,85.697,53.000,131.091,124.414,16.685,-84.806,2.002
25,Control3.lif - Series003:0007-0109-0691:z:7/14 - Series003,0.553,93.256,40.500,160.984,124.549,19.616,-75.069,2.887
26,Control3.lif - Series003:0007-0080-0857:z:7/14 - Series003,0.618,101.377,66.000,139.611,154.582,14.340,77.471,3.326
27,Control3.lif - Series003:0007-0100-0851:z:7/14 - Series003,0.455,77.665,30.000,112.923,153.454,18.128,77.005,2.428
28,Control3.lif - Series003:0001-0426-0783:z:1/14 - Series003,0.488,108.077,73.000,150.755,141.279,76.840,63.435,2.462
29,Control3.lif - Series003:0001-0411-0792:z:1/14 - Series003,0.325,97.233,46.000,140.667,142.857,74.224,71.565,1.711
30,Control3.lif - Series003:0001-0491-0792:z:1/14 - Series003,0.390,68.873,34.500,96.388,142.902,88.564,68.199,1.978
31,Control3.lif - Series003:0001-0505-0787:z:1/14 - Series003,0.423,86.603,31.500,130.792,141.865,91.180,70.017,2.111
32,Control3.lif - Series003:0001-0603-0510:z:1/14 - Series003,0.390,72.845,44.500,101.136,91.901,108.856,79.695,2.017
33,Control3.lif - Series003:0001-0624-0507:z:1/14 - Series003,0.390,82.185,46.033,111.860,91.540,112.509,95.194,1.903
34,Control3.lif - Series003:0001-0442-0666:z:1/14 - Series003,0.390,75.167,58.000,89.000,120.130,79.816,90.000,1.984
35,Control3.lif - Series003:0001-0458-0644:z:1/14 - Series003,0.455,52.266,37.250,61.478,116.162,82.477,67.380,2.262
