X0,Y0,Y1,Y2
0.00000,79.111,99.1111,0
0.16949,69.652,114.6639,0
0.33898,63.100,126.0562,0
0.50847,56.716,127.8889,0
0.67797,51.889,120.8176,0
0.84746,53.396,110.0069,0
1.01695,56.753,86.2840,0
1.18644,60.112,70.8834,0
1.35593,68.985,60.5734,0
1.52542,92.000,55.0000,0
1.69492,136.745,51.5542,0
1.86441,183.523,49.6255,0
2.03390,200.691,48.6914,0
2.20339,213.746,47.3114,0
2.37288,216.381,46.2401,0
2.54237,225.630,43.8395,0
2.71186,242.295,43.4636,0
2.88136,244.645,47.2579,0
3.05085,214.333,49.5556,0
