X0,Y0,Y1,Y2
0.00000,89.500,114.0000,0
0.16949,78.439,110.4388,0
0.33898,72.143,117.3878,0
0.50847,69.969,122.0000,0
0.67797,70.122,120.3163,0
0.84746,84.031,116.8469,0
1.01695,132.071,105.3367,0
1.18644,202.500,92.0000,0
1.35593,218.561,84.0612,0
1.52542,220.969,73.2041,0
1.69492,192.663,69.1020,0
1.86441,209.204,66.7959,0
2.03390,232.102,68.6939,0
2.20339,239.592,72.9898,0
2.37288,242.500,74.0000,0
2.54237,255.000,69.5918,0
2.71186,255.000,71.8367,0
2.88136,255.000,72.7041,0
3.05085,255.000,75.0510,0
3.22034,255.000,71.8163,0
3.38983,220.306,69.9082,0
3.55932,182.000,75.5000,0
