X0,Y0,Y1,Y2
0.00000,255.000,0,177.8889
0.16949,255.000,0,170.9098
0.33898,255.000,0,166.3906
0.50847,255.000,0,173.8230
0.67797,255.000,0,185.6974
0.84746,255.000,0,186.6427
1.01695,255.000,0,178.6968
1.18644,255.000,0,180.8932
1.35593,255.000,0,208.5769
1.52542,240.951,0,221.2963
1.69492,197.351,0,241.9191
1.86441,181.869,0,255.0000
2.03390,168.180,0,254.4307
2.20339,178.129,0,248.7743
2.37288,159.105,0,239.0805
2.54237,148.658,0,255.0000
2.71186,127.779,0,255.0000
2.88136,136.752,0,255.0000
3.05085,140.506,0,255.0000
3.22034,124.427,0,255.0000
3.38983,118.589,0,254.9371
3.55932,113.199,0,254.1619
3.72881,123.733,0,251.9648
3.89831,114.951,0,242.5988
4.06780,118.645,0,251.6502
4.23729,119.701,0,250.6043
4.40678,104.083,0,253.1033
4.57627,106.000,0,211.0000
