X0,Y0,Y1,Y2
0.00000,244.000,0,115.500
0.16949,242.564,0,117.144
0.33898,247.116,0,127.008
0.50847,243.356,0,130.000
0.67797,237.388,0,142.979
0.84746,221.354,0,145.941
1.01695,183.992,0,154.645
1.18644,159.346,0,158.432
1.35593,151.190,0,178.620
1.52542,135.085,0,191.136
1.69492,126.281,0,199.306
1.86441,123.625,0,208.500
2.03390,128.917,0,215.298
2.20339,106.094,0,222.440
2.37288,126.157,0,212.579
2.54237,114.918,0,205.803
2.71186,100.492,0,205.558
2.88136,121.580,0,198.665
3.05085,118.174,0,236.686
3.22034,134.129,0,238.183
3.38983,118.384,0,246.607
3.55932,127.989,0,193.667
3.72881,118.000,0,213.000
