X0,Y0,Y1,Y2
0.00000,202.000,0,131.000
0.16949,227.334,0,144.233
0.33898,245.656,0,144.233
0.50847,245.725,0,145.417
0.67797,206.110,0,151.510
0.84746,172.761,0,173.774
1.01695,141.584,0,186.952
1.18644,119.531,0,187.688
1.35593,111.163,0,197.587
1.52542,99.985,0,211.537
1.69492,104.777,0,216.612
1.86441,96.605,0,236.248
2.03390,91.467,0,243.980
2.20339,94.319,0,250.096
2.37288,96.688,0,247.125
2.54237,108.319,0,245.192
2.71186,93.311,0,252.000
2.88136,100.550,0,253.756
3.05085,100.739,0,255.000
3.22034,103.809,0,255.000
3.38983,104.082,0,255.000
3.55932,110.938,0,255.000
3.72881,115.283,0,255.000
3.89831,129.557,0,255.000
4.06780,131.026,0,255.000
4.23729,125.439,0,255.000
4.40678,123.986,0,255.000
4.57627,131.714,0,255.000
4.74576,141.250,0,255.000
