X0,Y0,Y1,Y2
0.00000,255.000,0,96.000
0.16949,255.000,0,102.084
0.33898,255.000,0,95.189
0.50847,255.000,0,114.432
0.67797,255.000,0,121.071
0.84746,255.000,0,130.251
1.01695,255.000,0,125.975
1.18644,255.000,0,122.612
1.35593,255.000,0,151.361
1.52542,253.365,0,187.621
1.69492,255.000,0,228.333
1.86441,255.000,0,251.412
2.03390,255.000,0,234.254
2.20339,254.062,0,255.000
2.37288,252.914,0,251.845
2.54237,253.662,0,248.951
2.71186,250.704,0,226.349
2.88136,245.648,0,229.527
3.05085,190.407,0,219.999
3.22034,165.992,0,250.610
3.38983,120.988,0,255.000
3.55932,104.501,0,255.000
3.72881,87.630,0,255.000
3.89831,73.929,0,247.319
4.06780,71.216,0,240.778
4.23729,57.999,0,212.617
4.40678,57.750,0,187.000
