X0,Y0,Y1,Y2
0.00000,29.000,207.000,0
0.16949,26.040,244.200,0
0.33898,26.600,251.480,0
0.50847,25.840,244.080,0
0.67797,26.040,201.360,0
0.84746,24.000,165.500,0
1.01695,22.040,142.680,0
1.18644,24.160,107.040,0
1.35593,29.040,70.880,0
1.52542,28.840,46.220,0
1.69492,26.000,47.000,0
1.86441,31.620,35.300,0
2.03390,38.520,26.400,0
2.20339,45.160,9.100,0
2.37288,61.120,2.080,0
2.54237,83.500,5.116E-13,0
2.71186,110.920,0.000,0
2.88136,142.460,0.240,0
3.05085,168.880,7.000,0
3.22034,204.400,10.800,0
3.38983,242.000,9.000,0
3.55932,225.500,5.400,0
3.72881,195.640,1.880,0
3.89831,171.240,0.420,0
4.06780,162.200,0.000,0
4.23729,163.500,3.500,0
4.40678,161.120,6.280,0
4.57627,149.300,6.680,0
4.74576,135.240,11.520,0
4.91525,127.880,15.400,0
5.08475,113.000,12.000,0
