X0,Y0,Y1,Y2
0.00000,42.889,219.222,0
0.16949,40.905,195.288,0
0.33898,41.014,163.761,0
0.50847,42.916,144.197,0
0.67797,47.138,123.043,0
0.84746,46.559,93.555,0
1.01695,54.163,71.020,0
1.18644,59.321,61.160,0
1.35593,70.381,42.174,0
1.52542,76.871,38.599,0
1.69492,84.499,42.702,0
1.86441,107.816,46.099,0
2.03390,139.388,52.685,0
2.20339,177.255,56.268,0
2.37288,221.432,53.716,0
2.54237,235.286,51.878,0
2.71186,235.844,37.766,0
2.88136,228.945,39.891,0
3.05085,220.615,40.673,0
3.22034,207.564,48.493,0
3.38983,180.769,50.247,0
3.55932,160.556,54.556,0
